"Symbol: VIQ20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2004-04-02,VIK04,19.47,19.47,18.84,18.89,0,187,1297
2004-04-05,VIK04,18.8,18.8,18.53,18.53,-0.35999999999999943,343,1399
2004-04-06,VIK04,18.57,18.89,18.57,18.79,0.259999999999998,171,368
2004-04-07,VIK04,18.97,19.25,18.89,19.09,0.3000000000000007,140,2057
2004-04-08,VIK04,18.95,19.15,18.95,19.05,-0.03999999999999915,7,2244
2004-04-12,VIK04,18.78,18.78,18.67,18.67,-0.379999999999999,83,2245
2004-04-13,VIK04,19,19.31,18.89,19.3,0.629999999999999,356,2232
2004-04-14,VIK04,19.38,19.5,19.38,19.46,0.16000000000000014,138,2232
2004-04-15,VIK04,19.33,19.44,19.26,19.35,-0.10999999999999943,116,2232
2004-04-16,VIK04,19.18,19.19,19,19.01,-0.33999999999999986,122,2795
2004-04-19,VIK04,19.1,19.14,18.85,18.87,-0.14000000000000057,175,2795
2004-04-20,VIK04,18.87,19.11,18.65,19.11,0.23999999999999844,51,3070
2004-04-21,VIK04,19.09,19.1,18.64,18.68,-0.4299999999999997,236,3070
2004-04-22,VIK04,18.55,18.55,17.14,17.27,-1.4100000000000001,1194,3226
2004-04-23,VIK04,17.23,17.5,17.23,17.34,0.07000000000000028,594,3372
2004-04-26,VIK04,17.3,17.39,17.13,17.13,-0.21000000000000085,360,3484
2004-04-27,VIK04,16.8,16.8,16.5,16.8,-0.3299999999999983,1022,3644
2004-04-28,VIM04,19.27,19.27,19.27,19.27,2.469999999999999,1449,3986
2004-04-29,VIM04,19.34,19.71,19.14,19.64,0.370000000000001,384,4444
2004-04-30,VIM04,19.47,19.85,19.35,19.85,0.21000000000000085,98,4449
2004-05-03,VIM04,19.56,19.56,19.27,19.27,-0.5800000000000018,148,4397
2004-05-04,VIM04,19.15,19.21,18.97,19.2,-0.07000000000000028,716,4440
2004-05-05,VIM04,19.09,19.23,18.79,18.79,-0.41000000000000014,488,4678
2004-05-06,VIM04,19,19.85,19,19.41,0.620000000000001,531,4678
2004-05-07,VIM04,19.51,19.87,19.25,19.87,0.46000000000000085,871,4924
2004-05-10,VIM04,20.22,20.67,20.22,20.43,0.5599999999999987,235,5196
2004-05-11,VIM04,20.2,20.25,19.87,19.97,-0.46000000000000085,378,4988
2004-05-12,VIM04,19.8,20.79,19.57,19.61,-0.35999999999999943,377,4988
2004-05-13,VIM04,19.77,19.77,19.4,19.58,-0.030000000000001137,78,4839
2004-05-14,VIM04,19.33,19.82,19.32,19.67,0.09000000000000341,525,4879
2004-05-17,VIM04,19.87,20.29,19.82,20.21,0.5399999999999991,131,4768
2004-05-18,VIM04,19.96,20.09,19.96,20.07,-0.14000000000000057,469,3626
2004-05-19,VIM04,19.6,19.64,18.74,19.17,-0.8999999999999986,96,3838
2004-05-20,VIM04,19.06,19.34,18.99,19.34,0.16999999999999815,185,3838
2004-05-21,VIM04,19.32,19.33,19.1,19.24,-0.10000000000000142,1594,3829
2004-05-24,VIM04,18.61,19,18.6,18.77,-0.46999999999999886,772,3961
2004-05-25,VIM04,18.9,18.9,17.44,17.5,-1.2699999999999996,257,3961
2004-05-26,VIM04,17.6,17.75,17.53,17.6,0.10000000000000142,441,4487
2004-05-27,VIM04,17.46,17.6,17.29,17.35,-0.25,97,4654
