"Symbol: ZQV20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1988-10-06,ZQV88,91.78,91.79,91.75,91.75,0,,
1988-10-07,ZQV88,91.75999,91.78,91.75999,91.78,0.030000000000001137,,
1988-10-10,ZQV88,91.77,91.78,91.77,91.77,-0.010000000000005116,,
1988-10-11,ZQV88,91.75,91.75999,91.74,91.75999,-0.01000999999999408,,
1988-10-12,ZQV88,91.73,91.73,91.73,91.73,-0.029989999999997963,,
1988-10-13,ZQV88,91.74,91.75,91.74,91.75,0.01999999999999602,,
1988-10-14,ZQV88,91.75999,91.77,91.75999,91.77,0.01999999999999602,,
1988-10-17,ZQV88,91.77,91.77,91.75,91.75999,-0.01000999999999408,,
1988-10-18,ZQV88,91.75,91.75,91.74,91.75,-0.009990000000001942,,
1988-10-19,ZQV88,91.74,91.74,91.72,91.72,-0.030000000000001137,,
1988-10-20,ZQV88,91.7,91.72,91.68999,91.72,0,,
1988-10-21,ZQV88,91.71,91.71,91.7,91.71,-0.010000000000005116,,
1988-10-24,ZQV88,91.71,91.72,91.71,91.71,0,,
1988-10-25,ZQX88,91.71,91.73,91.71,91.71,0,,
1988-10-26,ZQX88,91.7,91.74,91.7,91.73,0.020000000000010232,,
1988-10-27,ZQX88,91.74,91.75,91.74,91.75,0.01999999999999602,,
1988-10-28,ZQX88,91.74,91.75,91.74,91.74,-0.010000000000005116,,
1988-10-31,ZQX88,91.72,91.73,91.72,91.73,-0.009999999999990905,,
1988-11-01,ZQX88,91.75999,91.75999,91.73,91.74,0.009999999999990905,,
1988-11-02,ZQX88,91.71,91.71,91.71,91.71,-0.030000000000001137,,
1988-11-03,ZQX88,91.7,91.7,91.68,91.68,-0.029999999999986926,,
1988-11-04,ZQX88,91.67,91.7,91.65,91.66,-0.020000000000010232,,
1988-11-07,ZQX88,91.65,91.65,91.62,91.62,-0.03999999999999204,,
1988-11-08,ZQX88,91.63,91.63,91.6,91.6,-0.020000000000010232,,
1988-11-09,ZQX88,91.59,91.6,91.57999,91.6,0,,
1988-11-10,ZQX88,91.57999,91.6,91.57999,91.6,0,,
1988-11-11,ZQX88,91.57999,91.6,91.57999,91.6,0,,
1988-11-14,ZQX88,91.6,91.62,91.6,91.62,0.020000000000010232,,
1988-11-15,ZQX88,91.62,91.62,91.55,91.55,-0.07000000000000739,,
1988-11-16,ZQX88,91.57,91.57999,91.56,91.57999,0.029989999999997963,,
1988-11-17,ZQX88,91.57999,91.64,91.57999,91.63,0.05001000000000033,,
1988-11-18,ZQX88,91.65,91.66,91.65,91.66,0.030000000000001137,,
1988-11-21,ZQX88,91.66,91.66,91.66,91.66,0,,
1988-11-22,ZQX88,91.65,91.65,91.65,91.65,-0.009999999999990905,,
1988-11-23,ZQX88,91.66,91.66,91.66,91.66,0.009999999999990905,,
1988-11-25,ZQZ88,90.9,91,90.9,91,-0.6599999999999966,,
1988-11-28,ZQZ88,90.95,90.95,90.9,90.9,-0.09999999999999432,,
1988-11-29,ZQZ88,90.91,90.95,90.89,90.93,0.030000000000001137,,
1988-11-30,ZQZ88,91,91.07999,90.99,91.06,0.12999999999999545,,
1988-12-01,ZQZ88,91.06,91.11,91.02,91.06,0,,
1988-12-02,ZQZ88,91.06,91.06,90.95,90.95,-0.10999999999999943,,
1988-12-05,ZQZ88,90.95,90.98,90.95,90.95,0,,
1988-12-06,ZQZ88,90.96,91.04,90.96,91.04,0.09000000000000341,,
1988-12-07,ZQZ88,91.05,91.09,91.05,91.07,0.029999999999986926,,
1988-12-08,ZQZ88,91.09,91.09,91.09,91.09,0.020000000000010232,,
1988-12-09,ZQZ88,91.1,91.1,91.1,91.1,0.009999999999990905,,
1988-12-12,ZQZ88,91.1,91.1,91.07999,91.1,0,,
1988-12-13,ZQZ88,91.1,91.1,91.07999,91.1,0,,
1988-12-14,ZQZ88,91.1,91.13,91.07999,91.13,0.030000000000001137,,
1988-12-15,ZQZ88,91.12,91.12,91.1,91.12,-0.009999999999990905,,
1988-12-16,ZQZ88,91.11,91.11,91.05,91.09,-0.030000000000001137,,
1988-12-19,ZQZ88,91.12,91.12,91.1,91.1,0.009999999999990905,,
1988-12-20,ZQZ88,91.12,91.12,91.07999,91.07999,-0.020009999999999195,,
1988-12-21,ZQZ88,91.1,91.1,91.1,91.1,0.020009999999999195,,
1988-12-22,ZQZ88,91.12,91.12,91.1,91.1,0,,
1988-12-23,ZQZ88,91.15,91.15,91.13,91.14,0.04000000000000625,,
1988-12-27,ZQF89,90.93,90.93,90.88,90.88,-0.2600000000000051,,
1988-12-28,ZQF89,90.84,90.84,90.8,90.8,-0.0799999999999983,,
1988-12-29,ZQF89,90.86,90.87,90.86,90.86,0.060000000000002274,,
1988-12-30,ZQF89,90.91,90.91,90.9,90.91,0.04999999999999716,,
1989-01-03,ZQF89,90.9,90.91,90.88,90.9,-0.009999999999990905,,
1989-01-04,ZQF89,90.9,90.9,90.85,90.85,-0.05000000000001137,,
1989-01-05,ZQF89,90.84,90.88,90.84,90.87,0.020000000000010232,,
1989-01-06,ZQF89,90.9,90.9,90.88,90.89,0.01999999999999602,,
1989-01-09,ZQF89,90.89,90.89,90.88,90.88,-0.010000000000005116,,
1989-01-10,ZQF89,90.87,90.88,90.86,90.86,-0.01999999999999602,,
1989-01-11,ZQF89,90.85,90.85,90.82999,90.82999,-0.03001000000000431,,
1989-01-12,ZQF89,90.82,90.85,90.82,90.85,0.020009999999999195,,
1989-01-13,ZQF89,90.86,90.87,90.86,90.87,0.020000000000010232,,
1989-01-16,ZQF89,90.87,90.87,90.87,90.87,0,,
1989-01-17,ZQF89,90.87,90.87,90.84,90.85,-0.020000000000010232,,
1989-01-18,ZQF89,90.86,90.87,90.86,90.87,0.020000000000010232,,
1989-01-19,ZQF89,90.88,90.89,90.88,90.89,0.01999999999999602,,
1989-01-20,ZQF89,90.9,90.9,90.89,90.9,0.010000000000005116,,
1989-01-23,ZQF89,90.9,90.9,90.9,90.9,0,,
1989-01-24,ZQF89,90.9,90.9,90.9,90.9,0,,
1989-01-25,ZQG89,90.82,90.82,90.8,90.8,-0.10000000000000853,,
1989-01-26,ZQG89,90.75999,90.75999,90.75,90.75,-0.04999999999999716,,
1989-01-27,ZQG89,90.77,90.79,90.77,90.77,0.01999999999999602,,
1989-01-30,ZQG89,90.78,90.79,90.77,90.78,0.010000000000005116,,
