"Symbol: ZCY00",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,ZCY00,262.5,262.5,262.5,262.5,0,,
1980-01-03,ZCY00,262.5,262.5,262.5,262.5,0,,
1980-01-04,ZCY00,256.25,256.25,256.25,256.25,-6.25,,
1980-01-07,ZCY00,256.25,256.25,256.25,256.25,0,,
1980-01-08,ZCY00,256.25,256.25,256.25,256.25,0,,
1980-01-09,ZCY00,239.25,239.25,239.25,239.25,-17,,
1980-01-10,ZCY00,230.25,230.25,230.25,230.25,-9,,
1980-01-11,ZCY00,253,253,253,253,22.75,,
1980-01-14,ZCY00,250.5,250.5,250.5,250.5,-2.5,,
1980-01-15,ZCY00,251.5,251.5,251.5,251.5,1,,
1980-01-16,ZCY00,249.75,249.75,249.75,249.75,-1.75,,
1980-01-17,ZCY00,257,257,257,257,7.25,,
1980-01-18,ZCY00,253.25,253.25,253.25,253.25,-3.75,,
1980-01-21,ZCY00,253.25,253.25,253.25,253.25,0,,
1980-01-22,ZCY00,252.5,252.5,252.5,252.5,-0.75,,
1980-01-23,ZCY00,257,257,257,257,4.5,,
1980-01-24,ZCY00,254.25,254.25,254.25,254.25,-2.75,,
1980-01-25,ZCY00,254.75,254.75,254.75,254.75,0.5,,
1980-01-28,ZCY00,256.75,256.75,256.75,256.75,2,,
1980-01-29,ZCY00,257.25,257.25,257.25,257.25,0.5,,
1980-01-30,ZCY00,261.5,261.5,261.5,261.5,4.25,,
1980-01-31,ZCY00,260.75,260.75,260.75,260.75,-0.75,,
1980-02-01,ZCY00,262.5,262.5,262.5,262.5,1.75,,
1980-02-04,ZCY00,264.75,264.75,264.75,264.75,2.25,,
1980-02-05,ZCY00,267.75,267.75,267.75,267.75,3,,
1980-02-06,ZCY00,265.75,265.75,265.75,265.75,-2,,
1980-02-07,ZCY00,265.75,265.75,265.75,265.75,0,,
1980-02-08,ZCY00,265,265,265,265,-0.75,,
1980-02-11,ZCY00,267.5,267.5,267.5,267.5,2.5,,
1980-02-12,ZCY00,266.25,266.25,266.25,266.25,-1.25,,
1980-02-13,ZCY00,268,268,268,268,1.75,,
1980-02-14,ZCY00,265.5,265.5,265.5,265.5,-2.5,,
1980-02-15,ZCY00,264.75,264.75,264.75,264.75,-0.75,,
1980-02-19,ZCY00,263.5,263.5,263.5,263.5,-1.25,,
1980-02-20,ZCY00,264,264,264,264,0.5,,
1980-02-21,ZCY00,263.25,263.25,263.25,263.25,-0.75,,
1980-02-22,ZCY00,261.75,261.75,261.75,261.75,-1.5,,
1980-02-25,ZCY00,263.5,263.5,263.5,263.5,1.75,,
1980-02-26,ZCY00,262.75,262.75,262.75,262.75,-0.75,,
1980-02-27,ZCY00,265.25,265.25,265.25,265.25,2.5,,
1980-02-28,ZCY00,264.5,264.5,264.5,264.5,-0.75,,
1980-02-29,ZCY00,263,263,263,263,-1.5,,
1980-03-03,ZCY00,261.75,261.75,261.75,261.75,-1.25,,
1980-03-04,ZCY00,265.25,265.25,265.25,265.25,3.5,,
1980-03-05,ZCY00,266.5,266.5,266.5,266.5,1.25,,
1980-03-06,ZCY00,265.75,265.75,265.75,265.75,-0.75,,
1980-03-07,ZCY00,264.75,264.75,264.75,264.75,-1,,
1980-03-10,ZCY00,261.75,261.75,261.75,261.75,-3,,
1980-03-11,ZCY00,262,262,262,262,0.25,,
1980-03-12,ZCY00,262,262,262,262,0,,
1980-03-13,ZCY00,260.5,260.5,260.5,260.5,-1.5,,
1980-03-14,ZCY00,263.25,263.25,263.25,263.25,2.75,,
1980-03-17,ZCY00,261.75,261.75,261.75,261.75,-1.5,,
1980-03-18,ZCY00,261.25,261.25,261.25,261.25,-0.5,,
1980-03-19,ZCY00,263,263,263,263,1.75,,
1980-03-20,ZCY00,260.25,260.25,260.25,260.25,-2.75,,
1980-03-21,ZCY00,259.25,259.25,259.25,259.25,-1,,
1980-03-24,ZCY00,256.75,256.75,256.75,256.75,-2.5,,
1980-03-25,ZCY00,258,258,258,258,1.25,,
1980-03-26,ZCY00,256.5,256.5,256.5,256.5,-1.5,,
1980-03-27,ZCY00,249.5,249.5,249.5,249.5,-7,,
1980-03-28,ZCY00,251,251,251,251,1.5,,
1980-03-31,ZCY00,249.25,249.25,249.25,249.25,-1.75,,
1980-04-01,ZCY00,255,255,255,255,5.75,,
1980-04-02,ZCY00,257.25,257.25,257.25,257.25,2.25,,
1980-04-03,ZCY00,261.75,261.75,261.75,261.75,4.5,,
1980-04-07,ZCY00,261,261,261,261,-0.75,,
1980-04-08,ZCY00,265.5,265.5,265.5,265.5,4.5,,
1980-04-09,ZCY00,268.75,268.75,268.75,268.75,3.25,,
1980-04-10,ZCY00,263.5,263.5,263.5,263.5,-5.25,,
1980-04-11,ZCY00,263.75,263.75,263.75,263.75,0.25,,
1980-04-14,ZCY00,259.25,259.25,259.25,259.25,-4.5,,
1980-04-15,ZCY00,261,261,261,261,1.75,,
1980-04-16,ZCY00,262.5,262.5,262.5,262.5,1.5,,
1980-04-17,ZCY00,260.25,260.25,260.25,260.25,-2.25,,
1980-04-18,ZCY00,258.5,258.5,258.5,258.5,-1.75,,
1980-04-21,ZCY00,261.75,261.75,261.75,261.75,3.25,,
1980-04-22,ZCY00,261.5,261.5,261.5,261.5,-0.25,,
1980-04-23,ZCY00,260.5,260.5,260.5,260.5,-1,,
1980-04-24,ZCY00,260.75,260.75,260.75,260.75,0.25,,
1980-04-25,ZCY00,263.5,263.5,263.5,263.5,2.75,,
1980-04-28,ZCY00,261.5,261.5,261.5,261.5,-2,,
1980-04-29,ZCY00,260.5,260.5,260.5,260.5,-1,,
1980-04-30,ZCY00,260.75,260.75,260.75,260.75,0.25,,
1980-05-01,ZCY00,265.25,265.25,265.25,265.25,4.5,,
1980-05-02,ZCY00,266.5,266.5,266.5,266.5,1.25,,
1980-05-05,ZCY00,270.5,270.5,270.5,270.5,4,,
1980-05-06,ZCY00,270.75,270.75,270.75,270.75,0.25,,
1980-05-07,ZCY00,271.75,271.75,271.75,271.75,1,,
1980-05-08,ZCY00,274.75,274.75,274.75,274.75,3,,
1980-05-09,ZCY00,273.5,273.5,273.5,273.5,-1.25,,
1980-05-12,ZCY00,267.75,267.75,267.75,267.75,-5.75,,
1980-05-13,ZCY00,270.25,270.25,270.25,270.25,2.5,,
1980-05-14,ZCY00,271,271,271,271,0.75,,
1980-05-15,ZCY00,273,273,273,273,2,,
1980-05-16,ZCY00,269.5,269.5,269.5,269.5,-3.5,,
1980-05-19,ZCY00,270.25,270.25,270.25,270.25,0.75,,
1980-05-20,ZCY00,270.75,270.75,270.75,270.75,0.5,,
1980-05-21,ZCY00,269.75,269.75,269.75,269.75,-1,,
1980-05-22,ZCY00,271,271,271,271,1.25,,
1980-05-23,ZCY00,271,271,271,271,0,,
1980-05-27,ZCY00,273.5,273.5,273.5,273.5,2.5,,
1980-05-28,ZCY00,271.5,271.5,271.5,271.5,-2,,
1980-05-29,ZCY00,267.25,267.25,267.25,267.25,-4.25,,
1980-05-30,ZCY00,266.75,266.75,266.75,266.75,-0.5,,
1980-06-02,ZCY00,263.75,263.75,263.75,263.75,-3,,
1980-06-03,ZCY00,265.5,265.5,265.5,265.5,1.75,,
1980-06-04,ZCY00,265.5,265.5,265.5,265.5,0,,
1980-06-05,ZCY00,263.75,263.75,263.75,263.75,-1.75,,
1980-06-06,ZCY00,263.75,263.75,263.75,263.75,0,,
1980-06-09,ZCY00,263.75,263.75,263.75,263.75,0,,
1980-06-10,ZCY00,265.25,265.25,265.25,265.25,1.5,,
1980-06-11,ZCY00,266.5,266.5,266.5,266.5,1.25,,
1980-06-12,ZCY00,269.5,269.5,269.5,269.5,3,,
1980-06-13,ZCY00,270.75,270.75,270.75,270.75,1.25,,
1980-06-16,ZCY00,272.5,272.5,272.5,272.5,1.75,,
1980-06-17,ZCY00,271.75,271.75,271.75,271.75,-0.75,,
1980-06-18,ZCY00,272.75,272.75,272.75,272.75,1,,
1980-06-19,ZCY00,272,272,272,272,-0.75,,
1980-06-20,ZCY00,273,273,273,273,1,,
1980-06-23,ZCY00,275.25,275.25,275.25,275.25,2.25,,
1980-06-24,ZCY00,275.75,275.75,275.75,275.75,0.5,,
1980-06-25,ZCY00,276.75,276.75,276.75,276.75,1,,
1980-06-26,ZCY00,276,276,276,276,-0.75,,
1980-06-27,ZCY00,274.75,274.75,274.75,274.75,-1.25,,
1980-06-30,ZCY00,276.5,276.5,276.5,276.5,1.75,,
1980-07-01,ZCY00,280.75,280.75,280.75,280.75,4.25,,
1980-07-02,ZCY00,290.75,290.75,290.75,290.75,10,,
1980-07-03,ZCY00,292.75,292.75,292.75,292.75,2,,
1980-07-07,ZCY00,291.5,291.5,291.5,291.5,-1.25,,
1980-07-08,ZCY00,295.75,295.75,295.75,295.75,4.25,,
1980-07-09,ZCY00,293.5,293.5,293.5,293.5,-2.25,,
1980-07-10,ZCY00,299.25,299.25,299.25,299.25,5.75,,
1980-07-11,ZCY00,304.25,304.25,304.25,304.25,5,,
1980-07-14,ZCY00,314.25,314.25,314.25,314.25,10,,
1980-07-15,ZCY00,311.25,311.25,311.25,311.25,-3,,
1980-07-16,ZCY00,315.75,315.75,315.75,315.75,4.5,,
1980-07-17,ZCY00,320.25,320.25,320.25,320.25,4.5,,
1980-07-18,ZCY00,317.5,317.5,317.5,317.5,-2.75,,
1980-07-21,ZCY00,310.25,310.25,310.25,310.25,-7.25,,
1980-07-22,ZCY00,310.75,310.75,310.75,310.75,0.5,,
1980-07-23,ZCY00,320,320,320,320,9.25,,
1980-07-24,ZCY00,318.5,318.5,318.5,318.5,-1.5,,
1980-07-25,ZCY00,313,313,313,313,-5.5,,
1980-07-28,ZCY00,315.75,315.75,315.75,315.75,2.75,,
1980-07-29,ZCY00,318.75,318.75,318.75,318.75,3,,
1980-07-30,ZCY00,317.25,317.25,317.25,317.25,-1.5,,
1980-07-31,ZCY00,327.25,327.25,327.25,327.25,10,,
1980-08-01,ZCY00,331.75,331.75,331.75,331.75,4.5,,
1980-08-04,ZCY00,325.5,325.5,325.5,325.5,-6.25,,
1980-08-05,ZCY00,331,331,331,331,5.5,,
1980-08-06,ZCY00,335.75,335.75,335.75,335.75,4.75,,
1980-08-07,ZCY00,336.5,336.5,336.5,336.5,0.75,,
1980-08-08,ZCY00,332.25,332.25,332.25,332.25,-4.25,,
1980-08-11,ZCY00,330.75,330.75,330.75,330.75,-1.5,,
1980-08-12,ZCY00,340.5,340.5,340.5,340.5,9.75,,
1980-08-13,ZCY00,337.25,337.25,337.25,337.25,-3.25,,
1980-08-14,ZCY00,331,331,331,331,-6.25,,
1980-08-15,ZCY00,327.25,327.25,327.25,327.25,-3.75,,
1980-08-18,ZCY00,330.5,330.5,330.5,330.5,3.25,,
1980-08-19,ZCY00,332.75,332.75,332.75,332.75,2.25,,
1980-08-20,ZCY00,333.75,333.75,333.75,333.75,1,,
1980-08-21,ZCY00,340,340,340,340,6.25,,
1980-08-22,ZCY00,336.25,336.25,336.25,336.25,-3.75,,
1980-08-25,ZCY00,340.5,340.5,340.5,340.5,4.25,,
1980-08-26,ZCY00,346,346,346,346,5.5,,
1980-08-27,ZCY00,344.75,344.75,344.75,344.75,-1.25,,
1980-08-28,ZCY00,344.25,344.25,344.25,344.25,-0.5,,
1980-08-29,ZCY00,351.5,351.5,351.5,351.5,7.25,,
1980-09-02,ZCY00,354,354,354,354,2.5,,
1980-09-03,ZCY00,350.75,350.75,350.75,350.75,-3.25,,
1980-09-04,ZCY00,348.75,348.75,348.75,348.75,-2,,
1980-09-05,ZCY00,350,350,350,350,1.25,,
