"Symbol: YRU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2016-09-21,YRZ16,97.296875,97.3125,97.25,97.2578125,0,3261,24922
2016-09-22,YRZ16,97.328125,97.3515625,97.328125,97.3515625,0.09375,834,25268
2016-09-23,YRZ16,97.3515625,97.40625,97.3515625,97.40625,0.0546875,3276,23843
2016-09-26,YRZ16,97.4140625,97.4296875,97.40625,97.421875,0.015625,1869,23420
2016-09-27,YRZ16,97.4375,97.4375,97.40625,97.40625,-0.015625,402,23417
2016-09-28,YRZ16,97.4609375,97.4609375,97.4375,97.4453125,0.0390625,3501,23314
2016-09-29,YRZ16,97.421875,97.4453125,97.421875,97.4375,-0.0078125,2124,23183
2016-09-30,YRZ16,97.4765625,97.515625,97.4765625,97.515625,0.078125,,23083
2016-10-03,YRZ16,97.4375,97.4375,97.4375,97.4375,-0.078125,1905,23410
2016-10-04,YRZ16,97.390625,97.3984375,97.3515625,97.3984375,-0.0390625,10450,28849
2016-10-05,YRZ16,97.34375,97.3515625,97.328125,97.3359375,-0.0625,1840,29941
2016-10-06,YRZ16,97.328125,97.328125,97.2734375,97.2734375,-0.0625,1724,30879
2016-10-07,YRZ16,97.25,97.2734375,97.25,97.2578125,-0.015625,626,31098
2016-10-10,YRZ16,97.25,97.2578125,97.2421875,97.25,-0.0078125,3871,31461
2016-10-11,YRZ16,97.2109375,97.2109375,97.1875,97.203125,-0.046875,6957,30884
2016-10-12,YRZ16,97.1953125,97.21875,97.1640625,97.1640625,-0.0390625,6542,31144
2016-10-13,YRZ16,97.1640625,97.234375,97.1640625,97.21875,0.0546875,1490,31602
2016-10-14,YRZ16,97.25,97.2578125,97.1953125,97.203125,-0.015625,1180,30926
2016-10-17,YRZ16,97.1875,97.1875,97.1484375,97.1484375,-0.0546875,4327,30104
2016-10-18,YRZ16,97.15625,97.171875,97.09375,97.1171875,-0.03125,1693,30403
2016-10-19,YRZ16,97.140625,97.1484375,97.140625,97.1484375,0.03125,1010,30328
2016-10-20,YRZ16,97.1171875,97.15625,97.1015625,97.15625,0.0078125,1833,31313
2016-10-21,YRZ16,97.15625,97.171875,97.15625,97.171875,0.015625,1407,32323
2016-10-24,YRZ16,97.1640625,97.21875,97.1640625,97.21875,0.046875,1696,31368
2016-10-25,YRZ16,97.2109375,97.2265625,97.1796875,97.1875,-0.03125,2166,31663
2016-10-26,YRZ16,97.171875,97.21875,97.171875,97.203125,0.015625,426,31498
2016-10-27,YRZ16,97.171875,97.171875,97.1328125,97.1328125,-0.0703125,1197,31643
2016-10-28,YRZ16,97.078125,97.09375,97.078125,97.078125,-0.0546875,1665,32161
2016-10-31,YRZ16,97.109375,97.109375,97.1015625,97.109375,0.03125,947,31792
2016-11-01,YRZ16,97.1171875,97.1171875,97.0703125,97.0703125,-0.0390625,1540,32206
2016-11-02,YRZ16,97.1015625,97.1171875,97.09375,97.109375,0.0390625,1117,32688
2016-11-03,YRZ16,97.1171875,97.15625,97.1171875,97.15625,0.046875,796,32776
2016-11-04,YRZ16,97.1171875,97.125,97.1015625,97.125,-0.03125,912,32907
2016-11-07,YRZ16,97.09375,97.1015625,97.09375,97.09375,-0.03125,2147,33307
2016-11-08,YRZ16,97.1015625,97.1015625,97.0859375,97.09375,0,1369,33288
2016-11-09,YRZ16,97.09375,97.21875,97.09375,97.2109375,0.1171875,1680,33453
2016-11-10,YRZ16,96.8984375,96.9375,96.875,96.890625,-0.3203125,1512,33779
2016-11-11,YRZ16,96.8125,96.8125,96.78125,96.796875,-0.09375,248,33882
2016-11-14,YRZ16,96.7265625,96.7265625,96.6875,96.6875,-0.109375,3037,36216
2016-11-15,YRZ16,96.6875,96.6875,96.6171875,96.671875,-0.015625,2239,35719
2016-11-16,YRZ16,96.6875,96.75,96.6875,96.75,0.078125,2043,34789
2016-11-17,YRZ16,96.6796875,96.84375,96.6796875,96.84375,0.09375,5027,36290
2016-11-18,YRZ16,96.84375,96.84375,96.6796875,96.6875,-0.15625,1650,35763
2016-11-21,YRZ16,96.71875,96.7265625,96.71875,96.7265625,0.0390625,1832,35313
2016-11-22,YRZ16,96.7265625,96.796875,96.7265625,96.7578125,0.03125,4691,34204
2016-11-23,YRZ16,96.7421875,96.7421875,96.7265625,96.734375,-0.0234375,575,34402
2016-11-24,YRZ16,96.6953125,96.6953125,96.6640625,96.671875,-0.0625,1567,35093
2016-11-25,YRZ16,96.671875,96.671875,96.671875,96.671875,0,230,35028
2016-11-28,YRZ16,96.734375,96.734375,96.7265625,96.7265625,0.0546875,3650,32786
2016-11-29,YRZ16,96.7578125,96.7578125,96.703125,96.703125,-0.0234375,707,32434
2016-11-30,YRZ16,96.71875,96.71875,96.6875,96.6875,-0.015625,290,32434
2016-12-01,YRZ16,96.6171875,96.625,96.6171875,96.625,-0.0625,1758,32332
2016-12-02,YRZ16,96.53125,96.546875,96.53125,96.53125,-0.09375,6582,31015
2016-12-05,YRZ16,96.578125,96.578125,96.5546875,96.5625,0.03125,584,31095
2016-12-06,YRZ16,96.5078125,96.546875,96.5078125,96.53125,-0.03125,365,30873
2016-12-07,YRZ16,96.5625,96.5703125,96.5625,96.5703125,0.0390625,1174,31396
2016-12-08,YRZ16,96.5078125,96.640625,96.5078125,96.640625,0.0703125,11552,35758
2016-12-09,YRZ16,96.546875,96.5625,96.515625,96.5390625,-0.1015625,21265,32675
2016-12-12,YRZ16,96.46875,96.5,96.46875,96.4921875,-0.046875,9491,32950
2016-12-13,YRH17,96.4609375,96.5,96.4609375,96.5,0.0078125,16031,31645
2016-12-14,YRH17,96.546875,96.5546875,96.5390625,96.5390625,0.0390625,5678,30594
2016-12-15,YRH17,96.5625,96.5625,96.390625,96.421875,-0.1171875,957,25590
2016-12-16,YRH17,96.4140625,96.46875,96.40625,96.46875,0.046875,319,24469
2016-12-19,YRH17,96.40625,96.421875,96.3984375,96.421875,-0.046875,218,24291
2016-12-20,YRH17,96.484375,96.4921875,96.4375,96.453125,0.03125,78,24271
2016-12-21,YRH17,96.453125,96.4765625,96.453125,96.4765625,0.0234375,271,24204
2016-12-22,YRH17,96.46875,96.4765625,96.46875,96.4765625,0,18,24076
2016-12-23,YRH17,96.4375,96.453125,96.4375,96.4453125,-0.03125,80,24026
2016-12-28,YRH17,96.4453125,96.4765625,96.4453125,96.4765625,0.03125,114,24033
2016-12-29,YRH17,96.5390625,96.5546875,96.53125,96.5390625,0.0625,120,24033
2016-12-30,YRH17,96.5625,96.5625,96.53125,96.5546875,0.015625,1,24033
2017-01-03,YRH17,96.578125,96.578125,96.578125,96.578125,0.0234375,125,24112
2017-01-04,YRH17,96.5234375,96.5234375,96.5234375,96.5234375,-0.0546875,529,24504
2017-01-05,YRH17,96.578125,96.578125,96.578125,96.578125,0.0546875,976,23809
2017-01-06,YRH17,96.6328125,96.6484375,96.6328125,96.6484375,0.0703125,67,23665
2017-01-09,YRH17,96.578125,96.578125,96.5703125,96.578125,-0.0703125,569,23963
2017-01-10,YRH17,96.625,96.6328125,96.625,96.625,0.046875,136,23768
2017-01-11,YRH17,96.6015625,96.6015625,96.59375,96.6015625,-0.0234375,227,23659
2017-01-12,YRH17,96.6015625,96.671875,96.6015625,96.671875,0.0703125,360,23577
2017-01-13,YRH17,96.6640625,96.6640625,96.6484375,96.6484375,-0.0234375,1656,23774
2017-01-16,YRH17,96.6171875,96.640625,96.6171875,96.640625,-0.0078125,92,23670
2017-01-17,YRH17,96.6328125,96.640625,96.6328125,96.640625,0,624,24132
2017-01-18,YRH17,96.6484375,96.6484375,96.6484375,96.6484375,0.0078125,295,24327
2017-01-19,YRH17,96.5390625,96.5625,96.5390625,96.5625,-0.0859375,2978,24287
2017-01-20,YRH17,96.5234375,96.546875,96.5234375,96.546875,-0.015625,243,24248
2017-01-23,YRH17,96.5625,96.578125,96.5625,96.5703125,0.0234375,650,24511
2017-01-24,YRH17,96.6015625,96.6328125,96.6015625,96.6328125,0.0625,2439,24234
2017-01-25,YRH17,96.5859375,96.5859375,96.5859375,96.5859375,-0.046875,,24000
2017-01-26,YRH17,96.546875,96.546875,96.546875,96.546875,-0.0390625,299,24192
2017-01-27,YRH17,96.53125,96.5390625,96.53125,96.5390625,-0.0078125,512,24087
2017-01-30,YRH17,96.578125,96.5859375,96.578125,96.5859375,0.046875,785,23801
2017-01-31,YRH17,96.5859375,96.6015625,96.5859375,96.59375,0.0078125,511,23826
2017-02-01,YRH17,96.5703125,96.578125,96.5703125,96.578125,-0.015625,1448,24244
2017-02-02,YRH17,96.5625,96.5625,96.5234375,96.5390625,-0.0390625,295,24302
2017-02-03,YRH17,96.5390625,96.5390625,96.5234375,96.5234375,-0.015625,994,24162
2017-02-06,YRH17,96.484375,96.546875,96.4765625,96.546875,0.0234375,5269,23775
2017-02-07,YRH17,96.640625,96.640625,96.6328125,96.6328125,0.0859375,1603,24378
2017-02-08,YRH17,96.640625,96.640625,96.6328125,96.6328125,0,1183,24772
2017-02-09,YRH17,96.6484375,96.703125,96.6484375,96.703125,0.0703125,722,24242
2017-02-10,YRH17,96.6484375,96.65625,96.6484375,96.65625,-0.046875,520,24452
2017-02-13,YRH17,96.6328125,96.640625,96.6328125,96.640625,-0.015625,1496,24668
2017-02-14,YRH17,96.6171875,96.6171875,96.6015625,96.6171875,-0.0234375,1463,24450
2017-02-15,YRH17,96.578125,96.578125,96.5625,96.5703125,-0.046875,230,24313
2017-02-16,YRH17,96.546875,96.5625,96.546875,96.5625,-0.0078125,217,24491
2017-02-17,YRH17,96.546875,96.546875,96.546875,96.546875,-0.015625,2649,25099
2017-02-20,YRH17,96.5625,96.5703125,96.5625,96.5703125,0.0234375,1384,24526
