"Symbol: ZLQ20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,ZLF80,23.8,23.98,23.63,23.83,0,19557,64472
1980-01-03,ZLF80,23.85,23.99,23.72,23.93,0.10000000000000142,24137,62170
1980-01-04,ZLF80,24,24.07,23.76,23.83,-0.10000000000000142,19477,62022
1980-01-09,ZLF80,22.4,23.05,22.4,22.83,-1,38773,62801
1980-01-10,ZLF80,22.7,23.3,22.7,23.25,0.4200000000000017,31241,62233
1980-01-11,ZLF80,23.35,23.45,23.2,23.43,0.17999999999999972,29207,63209
1980-01-14,ZLF80,23.36,23.36,23.01,23.2,-0.23000000000000043,11625,62870
1980-01-15,ZLF80,23.23,23.25,22.95,23,-0.1999999999999993,21771,64844
1980-01-16,ZLH80,23.25,23.48,23.22,23.33,0.3299999999999983,23717,65770
1980-01-17,ZLH80,23.3,24.1,23.3,23.98,0.6500000000000021,25001,61898
1980-01-18,ZLH80,23.85,24.3,23.75,23.98,0,23141,61183
1980-01-21,ZLH80,23.92,24.5,23.85,24.01,0.030000000000001137,16021,62119
1980-01-22,ZLH80,23.8,23.89,23.66,23.69,-0.3200000000000003,16707,61310
1980-01-23,ZLH80,23.65,24,23.65,23.98,0.28999999999999915,15617,60456
1980-01-24,ZLH80,23.95,23.95,23.67,23.71,-0.2699999999999996,12567,61142
1980-01-25,ZLH80,23.75,23.85,23.48,23.51,-0.1999999999999993,16767,62256
1980-01-28,ZLH80,23.4,23.65,23.35,23.58,0.06999999999999673,13469,61938
1980-01-29,ZLH80,23.6,23.97,23.6,23.66,0.08000000000000185,12487,60688
1980-01-30,ZLH80,23.75,24.18,23.75,24.11,0.4499999999999993,16855,61664
1980-01-31,ZLH80,24.05,24.18,23.88,24.16,0.05000000000000071,13225,62515
1980-02-01,ZLH80,24.25,24.45,24.05,24.13,-0.030000000000001137,15569,63233
1980-02-04,ZLH80,24.15,24.65,24.1,24.58,0.4499999999999993,24843,63901
1980-02-05,ZLH80,24.5,24.7,24.3,24.41,-0.16999999999999815,19621,63656
1980-02-06,ZLH80,24.45,24.87,24.35,24.36,-0.05000000000000071,27259,64775
1980-02-07,ZLH80,24.45,24.65,24.25,24.63,0.2699999999999996,15687,63456
1980-02-08,ZLH80,24.6,24.75,24.31,24.32,-0.3099999999999987,14917,64066
1980-02-11,ZLH80,24.25,24.35,24.15,24.18,-0.14000000000000057,12685,65250
1980-02-12,ZLH80,24.1,24.1,23.9,23.96,-0.21999999999999886,22045,65126
1980-02-13,ZLH80,23.9,24.1,23.89,23.98,0.019999999999999574,11783,63971
1980-02-14,ZLH80,24,24.05,23.4,23.43,-0.5500000000000007,22451,62810
1980-02-15,ZLH80,23.5,23.5,23.22,23.27,-0.16000000000000014,18925,62635
1980-02-19,ZLH80,23.2,23.2,22.77,22.78,-0.48999999999999844,29977,63382
1980-02-20,ZLH80,22.8,22.95,22.69,22.81,0.029999999999997584,17191,62048
1980-02-21,ZLH80,22.98,22.98,22.82,22.93,0.120000000000001,14183,61847
1980-02-22,ZLH80,22.9,22.93,22.65,22.82,-0.10999999999999943,21967,61948
1980-02-25,ZLH80,22.75,23.1,22.75,22.98,0.16000000000000014,26801,62550
1980-02-26,ZLH80,23,23.1,22.77,22.8,-0.17999999999999972,24073,62357
1980-02-27,ZLH80,22.75,23.05,22.65,23,0.1999999999999993,23841,62438
1980-02-28,ZLH80,22.9,23,22.65,22.66,-0.33999999999999986,32749,62653
1980-02-29,ZLH80,22.52,22.75,22.5,22.58,-0.08000000000000185,24093,63472
1980-03-03,ZLH80,22.45,22.62,22.4,22.49,-0.08999999999999986,16241,63855
1980-03-04,ZLH80,22.55,22.78,22.55,22.63,0.14000000000000057,20017,63819
