"Symbol: ZSX20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,ZSF80,641,645.5,637.5,641.5,0,137850,124237
1980-01-03,ZSF80,642,649,642,647.5,6,78956,117804
1980-01-04,ZSF80,646,647.5,641,643,-4.5,68640,114803
1980-01-09,ZSF80,613.5,616,613,613,-30,67698,113143
1980-01-10,ZSF80,604,633,604,631.75,18.75,102646,110852
1980-01-11,ZSF80,628,640,627,639.75,8,80456,108402
1980-01-14,ZSF80,636,641,631,640.5,0.75,64916,106285
1980-01-15,ZSF80,641.5,643,638,639.75,-0.75,55422,106812
1980-01-16,ZSH80,651,663.5,649,655,15.25,68660,104718
1980-01-17,ZSH80,654.5,682,654,677,22,84076,105635
1980-01-18,ZSH80,674,681,669.5,670.5,-6.5,72934,104610
1980-01-21,ZSH80,672,677.5,662,662.5,-8,54772,104346
1980-01-22,ZSH80,661,664,655.5,658.5,-4,59298,103017
1980-01-23,ZSH80,661,673,661,672.25,13.75,53234,103628
1980-01-24,ZSH80,670,670.5,662,663.5,-8.75,36758,104399
1980-01-25,ZSH80,663,667.5,659,660.5,-3,35114,105060
1980-01-28,ZSH80,661.5,666.5,657,661.5,1,46716,105174
1980-01-29,ZSH80,664.5,668,660.5,661,-0.5,33544,104766
1980-01-30,ZSH80,663.5,669.5,663.5,666.75,5.75,42196,105613
1980-01-31,ZSH80,668,674,661.75,673,6.25,44804,106634
1980-02-01,ZSH80,676,676,668,668.5,-4.5,59210,107237
1980-02-04,ZSH80,671,685,671,681.25,12.75,61252,109076
1980-02-05,ZSH80,679,680,674.5,675,-6.25,51762,110083
1980-02-06,ZSH80,678,688,672,673.5,-1.5,89474,113117
1980-02-07,ZSH80,674.5,680,671.5,679,5.5,58292,112861
1980-02-08,ZSH80,679,681,674.5,675,-4,34514,112987
1980-02-11,ZSH80,675,678,672.25,675,0,41128,113150
1980-02-12,ZSH80,673.5,673.5,665,667.5,-7.5,58974,113064
1980-02-13,ZSH80,668.5,669.5,666,668.25,0.75,42436,113680
1980-02-14,ZSH80,668,671,659,659.75,-8.5,53022,112985
1980-02-15,ZSH80,659,661,654,654.25,-5.5,44878,112038
1980-02-19,ZSH80,652,652,638,638.5,-15.75,73324,111016
1980-02-20,ZSH80,640,645.75,640,643.75,5.25,48116,110208
1980-02-21,ZSH80,645,649,643,644.75,1,45216,110753
1980-02-22,ZSH80,642,642.5,635.5,641.5,-3.25,60530,110575
1980-02-25,ZSH80,640,646.5,640,641.5,0,49020,109555
1980-02-26,ZSH80,642,644.5,636,636.75,-4.75,54076,110078
1980-02-27,ZSH80,636,643,634.5,642.5,5.75,70292,110033
1980-02-28,ZSH80,640,644,637,637.25,-5.25,81116,109149
1980-02-29,ZSH80,635,641,633,633.25,-4,89660,107995
1980-03-03,ZSH80,632,637.75,630.5,637.5,4.25,67902,106113
1980-03-04,ZSH80,639.5,646,639.5,643.25,5.75,70662,105954
1980-03-05,ZSH80,644.5,644.5,640,641,-2.25,57298,105531
1980-03-06,ZSH80,641.5,644.75,631.5,631.75,-9.25,80166,104422
1980-03-07,ZSH80,634,634,626.5,626.5,-5.25,54144,103401
1980-03-10,ZSH80,622,623,616,621,-5.5,74588,102797
1980-03-11,ZSH80,624,624.5,619,619,-2,51072,102937
1980-03-12,ZSH80,622.5,625,619.5,625,6,54700,100933
1980-03-13,ZSH80,623,623,612.5,612.75,-12.25,45230,100681
1980-03-14,ZSK80,633,639,632,638.5,25.75,38122,99348
1980-03-17,ZSK80,634,634,627.5,633,-5.5,46776,98455
1980-03-18,ZSK80,636,637.5,630.75,633.5,0.5,39648,99085
1980-03-19,ZSK80,636,639.5,635.5,636.5,3,37288,98647
1980-03-20,ZSK80,637,639.5,629,629.5,-7,42348,98503
1980-03-21,ZSK80,627.5,628,623.5,624,-5.5,34584,99217
1980-03-24,ZSK80,622.5,625.5,616,617.75,-6.25,54120,99595
1980-03-25,ZSK80,617,620.5,613,613.5,-4.25,42118,100431
1980-03-26,ZSK80,613,613.5,606.5,607.5,-6,53730,100622
1980-03-27,ZSK80,603,603,586,596.75,-10.75,78636,101552
1980-03-28,ZSK80,597,600,592.5,595,-1.75,47460,100100
1980-03-31,ZSK80,594,597,582.5,583,-12,52588,100448
1980-04-01,ZSK80,581,582.5,572,579.5,-3.5,64298,99223
1980-04-02,ZSK80,577,585,569.5,583.75,4.25,66186,99935
1980-04-03,ZSK80,584,591,581.5,585.5,1.75,63444,100221
1980-04-07,ZSK80,587,593.5,583.5,585.5,0,41690,100537
1980-04-08,ZSK80,588,592,585.5,589.5,4,40812,101270
1980-04-09,ZSK80,594,602,592.5,599.75,10.25,51012,101718
1980-04-10,ZSK80,599,599,592,594.5,-5.25,45016,101791
1980-04-11,ZSK80,592,598.5,591,594.75,0.25,47132,102248
1980-04-14,ZSK80,595,597.5,587.5,590.5,-4.25,48286,103923
1980-04-15,ZSK80,588,596.5,586,595.75,5.25,56962,104017
1980-04-16,ZSK80,598,607,598,603.25,7.5,61158,104880
1980-04-17,ZSK80,600,602,596,596.25,-7,45428,104730
1980-04-18,ZSK80,591,593.5,589,591.75,-4.5,39582,103741
1980-04-21,ZSK80,590,602.5,587,598.5,6.75,61882,104948
1980-04-22,ZSK80,594,604,594,599.25,0.75,58284,104848
1980-04-23,ZSK80,599,603.25,594,594.5,-4.75,69354,104467
1980-04-24,ZSK80,596,598.5,595.5,597.75,3.25,44192,103289
1980-04-25,ZSK80,605,611,603.5,606.25,8.5,71680,103664
1980-04-28,ZSK80,600,601.75,597,597.5,-8.75,59168,102427
1980-04-29,ZSK80,596.75,598.5,589.5,590.75,-6.75,103532,100512
1980-04-30,ZSK80,589,595,587.5,594.5,3.75,75074,99924
1980-05-01,ZSK80,593,596.5,590,590.25,-4.25,66810,99793
1980-05-02,ZSK80,591,596,589.5,595.75,5.5,54776,98621
1980-05-05,ZSK80,599,615,599,612.25,16.5,89106,100092
1980-05-06,ZSK80,612,614,606.25,607.25,-5,60884,99357
1980-05-07,ZSK80,611,612.5,605,609.5,2.25,62024,99082
1980-05-08,ZSK80,612,624,610.5,616.75,7.25,85098,101074
1980-05-09,ZSK80,616,621.5,612.5,618.5,1.75,60660,99709
1980-05-12,ZSK80,616,616,602,602,-16.5,71228,99628
1980-05-13,ZSK80,604,608.5,603,608.5,6.5,42270,99971
1980-05-14,ZSN80,623,627,621,621.25,12.75,48178,99866
1980-05-15,ZSN80,619.5,627.5,617.25,625.5,4.25,55556,100330
1980-05-16,ZSN80,623,624.5,617,618.25,-7.25,49882,100041
1980-05-19,ZSN80,617,622,614.5,621,2.75,54874,99776
1980-05-20,ZSN80,621,626,620,624.75,3.75,39582,99954
1980-05-21,ZSN80,625,629.5,622,625.5,0.75,49134,99501
1980-05-22,ZSN80,626,632,626,630.25,4.75,43756,99584
1980-05-23,ZSN80,628,633,626.75,632,1.75,36932,99994
1980-05-27,ZSN80,632,636,629.5,634.25,2.25,43532,101493
1980-05-28,ZSN80,634.5,637.5,629.5,631,-3.25,56320,102847
1980-05-29,ZSN80,628,628,623,624,-7,55898,102493
1980-05-30,ZSN80,624.5,625.75,622.5,623.75,-0.25,37892,102694
1980-06-02,ZSN80,624,625,615,615.25,-8.5,53664,102058
1980-06-03,ZSN80,615.5,619,610,618.5,3.25,67386,102493
1980-06-04,ZSN80,617,619.5,615.5,617.5,-1,41096,103472
1980-06-05,ZSN80,617,621.5,615,616.5,-1,43884,104773
1980-06-06,ZSN80,616,618,614.5,615.5,-1,29434,104509
1980-06-09,ZSN80,617,625,617,622.25,6.75,43866,104906
1980-06-10,ZSN80,623,625.5,619.5,621.75,-0.5,45136,104846
1980-06-11,ZSN80,623,628.75,622.5,625.25,3.5,55682,105900
1980-06-12,ZSN80,625,625.25,621.25,622.75,-2.5,34096,105152
1980-06-13,ZSN80,621.5,626,621,625.5,2.75,29446,106030
1980-06-16,ZSN80,626,635,626,634.5,9,62822,108335
1980-06-17,ZSN80,633,643,631,631.5,-3,98152,111355
1980-06-18,ZSN80,634,637,632,634,2.5,65252,109745
1980-06-19,ZSN80,634,639.25,629.5,630,-4,83016,109321
1980-06-20,ZSN80,634,635.5,629.5,634.5,4.5,55246,111326
1980-06-23,ZSN80,638,646.5,638,645.5,11,100174,113341
1980-06-24,ZSN80,646,648,642.5,647,1.5,87542,114053
1980-06-25,ZSN80,649,656.5,647,656,9,105920,113590
1980-06-26,ZSN80,657,657,650.5,652.75,-3.25,81186,111891
1980-06-27,ZSN80,650,659,650,658.5,5.75,121840,117898
1980-06-30,ZSN80,657,671.75,655.5,671,12.5,136128,123001
1980-07-01,ZSN80,667,678,667,674,3,146810,124278
1980-07-02,ZSN80,683,704,683,704,30,144310,126382
1980-07-03,ZSN80,701,714,695,713.5,9.5,98086,126149
1980-07-07,ZSN80,722,741,713,715,1.5,153896,126763
1980-07-08,ZSN80,718,728,707.5,727.75,12.75,144234,126715
1980-07-09,ZSN80,718,723,703,705,-22.75,132128,125206
1980-07-10,ZSN80,724,730.5,718,722,17,117268,127702
1980-07-11,ZSN80,736,749,736,746.5,24.5,106264,130419
1980-07-14,ZSN80,776.5,776.5,776.5,776.5,30,24616,131171
1980-07-15,ZSN80,798,802,766,774,-2.5,155692,132815
1980-07-16,ZSQ80,782,799,771,794,20,116526,135738
1980-07-17,ZSQ80,807,819.5,791,809.5,15.5,170046,141874
1980-07-18,ZSQ80,797,802,786,791,-18.5,110160,143419
1980-07-21,ZSQ80,773,773,761,761,-30,92716,141548
1980-07-22,ZSQ80,750,766,738.25,741.5,-19.5,134106,139231
1980-07-23,ZSQ80,752,763.5,749,762.25,20.75,100258,138216
1980-07-24,ZSQ80,783,783,733,735,-27.25,160418,135719
1980-07-25,ZSQ80,736,740,718,719.5,-15.5,106574,136679
1980-07-28,ZSQ80,715,742,715,741.25,21.75,95744,138072
1980-07-29,ZSQ80,746,754,737,753.5,12.25,131388,138056
1980-07-30,ZSQ80,750,757.5,741,743.5,-10,151612,138558
1980-07-31,ZSQ80,755.5,773.5,755.5,773.5,30,127746,140700
1980-08-01,ZSQ80,775.5,795,769.5,794.5,21,159736,140691
1980-08-04,ZSQ80,765,770,764.5,764.5,-30,58176,140935
1980-08-05,ZSQ80,762,777,753,776.5,12,128076,141337
1980-08-06,ZSQ80,771,781.5,770,772,-4.5,107006,140687
1980-08-07,ZSQ80,773,776,760,760.5,-11.5,105106,137818
1980-08-08,ZSQ80,769,772,758,763.5,3,93370,137612
1980-08-11,ZSQ80,758,758,747.5,751,-12.5,79636,135650
1980-08-12,ZSQ80,757,781,757,766,15,113410,139155
1980-08-13,ZSQ80,767,770,760,763,-3,99428,139636
1980-08-14,ZSU80,763,774.5,751.5,752.25,-10.75,100014,140047
1980-08-15,ZSU80,750,750,732.5,732.75,-19.5,105664,139708
1980-08-18,ZSU80,731,745,729,743.5,10.75,86068,142630
1980-08-19,ZSU80,742,747.5,739,743.75,0.25,67996,145454
1980-08-20,ZSU80,747,750,737,738.75,-5,76910,145357
1980-08-21,ZSU80,743,756,739,755,16.25,95430,146719
1980-08-22,ZSU80,753,757,745,748.5,-6.5,76244,145678
1980-08-25,ZSU80,751,766,748.5,765.75,17.25,93396,146688
1980-08-26,ZSU80,768,775,763,768.75,3,115054,148529
1980-08-27,ZSU80,767,772.5,762,765,-3.75,95648,150075
1980-08-28,ZSU80,766,769,762,768.5,3.5,99984,149953
1980-08-29,ZSU80,773,796,773,794.75,26.25,133680,156872
1980-09-02,ZSU80,793,810,791,809.5,14.75,127756,158567
1980-09-03,ZSU80,806,815,800,811.25,1.75,124516,156084
1980-09-04,ZSU80,810,811,796.5,803,-8.25,123430,156615
1980-09-05,ZSU80,801.5,814.5,801,810.25,7.25,102604,157939
1980-09-08,ZSU80,824,833,824,828.5,18.25,122330,161383
1980-09-09,ZSU80,825,833.5,817,824,-4.5,139116,161755
1980-09-10,ZSU80,825,826.5,820,821,-3,77830,161149
1980-09-11,ZSU80,821.75,829,821.75,829,8,67806,163711
1980-09-12,ZSU80,830,846,806,807,-22,192418,168045
1980-09-15,ZSX80,835,837,825,827,20,86182,166696
1980-09-16,ZSX80,830,849,821,847.5,20.5,134508,167328
1980-09-17,ZSX80,850,859,843,850,2.5,138584,167115
1980-09-18,ZSX80,849,856,845,854,4,85810,167511
1980-09-19,ZSX80,859,878,858,871.5,17.5,142484,172230
1980-09-22,ZSX80,878,880,862,863.5,-8,121392,173378
1980-09-23,ZSX80,863,870,855,868,4.5,131472,172698
1980-09-24,ZSX80,866,868.5,850,851,-17,143926,174721
1980-09-25,ZSX80,848,850,832,833.5,-17.5,117608,175781
1980-09-26,ZSX80,832,833,805,806,-27.5,157700,176088
1980-09-29,ZSX80,798,818,784,799.5,-6.5,174002,178356
1980-09-30,ZSX80,808,814.5,803,811,11.5,106134,176072
1980-10-01,ZSX80,816,816.5,805.5,811.5,0.5,89860,177177
1980-10-02,ZSX80,806,806,790,791.25,-20.25,122360,179680
