"Symbol: ZWU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,ZWH80,453.5,456,444.5,445.5,0,40708,54976
1980-01-03,ZWH80,445.5,448,438,446.25,0.75,62754,53563
1980-01-04,ZWH80,446,449.5,442.5,445.5,-0.75,40604,53136
1980-01-09,ZWH80,425.5,425.5,425.5,425.5,-20,2616,52796
1980-01-10,ZWH80,405.5,417,405.5,415.25,-10.25,72916,49987
1980-01-11,ZWH80,416,425.5,415,424.75,9.5,45628,48292
1980-01-14,ZWH80,423,427,419,426.75,2,34094,48191
1980-01-15,ZWH80,427,433.75,427,432.75,6,29186,48144
1980-01-16,ZWH80,431,440,430,435.25,2.5,37842,48424
1980-01-17,ZWH80,435,455.25,434.5,453.75,18.5,58476,49146
1980-01-18,ZWH80,455,457.5,446.5,451.25,-2.5,44794,49548
1980-01-21,ZWH80,451,455.5,444.5,446.5,-4.75,36806,48946
1980-01-22,ZWH80,444,451.5,442,450.5,4,40198,50293
1980-01-23,ZWH80,450.5,463,450,457,6.5,46460,49673
1980-01-24,ZWH80,456.5,457.5,449.5,450.75,-6.25,30950,49990
1980-01-25,ZWH80,451,454,446,448.5,-2.25,30878,50064
1980-01-28,ZWH80,448,457.5,446.5,456.5,8,37678,50735
1980-01-29,ZWH80,457.5,459.5,451.5,452,-4.5,30746,51144
1980-01-30,ZWH80,453,465.5,453,462,10,56016,52267
1980-01-31,ZWH80,460,469,456.5,467.75,5.75,46226,55892
1980-02-01,ZWH80,471,474,464,472.75,5,65690,58606
1980-02-04,ZWH80,475,482.5,470.5,477.5,4.75,64802,62487
1980-02-05,ZWH80,478.5,478.5,467.5,471,-6.5,46538,64108
1980-02-06,ZWH80,472,480.5,453,460.75,-10.25,76714,65515
1980-02-07,ZWH80,461,464.5,456,457.75,-3,52450,64767
1980-02-08,ZWH80,460,460.5,456,456.5,-1.25,27438,64296
1980-02-11,ZWH80,457.5,464,455,463.25,6.75,33418,65111
1980-02-12,ZWH80,459,460,455,456.25,-7,43628,64419
1980-02-13,ZWH80,456,456,449.5,450.25,-6,48616,63099
1980-02-14,ZWH80,451,454,445,446.25,-4,39768,60698
1980-02-15,ZWH80,446.5,448,444,446.25,0,27060,59895
1980-02-19,ZWH80,448,448,439.5,439.75,-6.5,49598,58816
1980-02-20,ZWH80,440,444,440,443.25,3.5,29038,57356
1980-02-21,ZWH80,445,448,444.5,445.25,2,27502,57420
1980-02-22,ZWH80,444,446,442.5,443.75,-1.5,28184,56463
1980-02-25,ZWH80,446,449,445.5,447.75,4,33060,55651
1980-02-26,ZWH80,446,448,440,441,-6.75,43198,56608
1980-02-27,ZWH80,440.5,442,435,436.25,-4.75,53364,56697
1980-02-28,ZWH80,435,438.5,435,435.75,-0.5,53944,54698
1980-02-29,ZWH80,435,437,433.25,433.5,-2.25,42430,53320
1980-03-03,ZWH80,433,437,431.5,433,-0.5,40202,52901
1980-03-04,ZWH80,435,445.5,435,445.25,12.25,44628,52201
1980-03-05,ZWH80,445.25,446,440,443.5,-1.75,31570,52610
1980-03-06,ZWH80,442.5,443.5,437,437.75,-5.75,31076,51205
1980-03-07,ZWH80,437,439,436.5,436.75,-1,22718,49686
1980-03-10,ZWH80,435.5,435.5,424,429.75,-7,58384,47285
1980-03-11,ZWH80,428.5,432,428.5,429.25,-0.5,30560,47287
1980-03-12,ZWH80,432,432,425,429.25,0,37104,48523
1980-03-13,ZWH80,429.5,429.5,422,426,-3.25,32874,48636
1980-03-14,ZWK80,433,436.5,432.5,435.25,9.25,23770,48749
1980-03-17,ZWK80,434,434,426.5,427.5,-7.75,32008,48050
1980-03-18,ZWK80,429,430.5,427,427.75,0.25,22078,47909
1980-03-19,ZWK80,429,432.5,428.5,430,2.25,28292,47135
1980-03-20,ZWK80,431,433,422,422.5,-7.5,38478,46608
1980-03-21,ZWK80,420,426,419,421.75,-0.75,28540,46248
1980-03-24,ZWK80,418.5,427,416,426.25,4.5,45170,46555
1980-03-25,ZWK80,423,431.5,423,426.25,0,39874,46729
1980-03-26,ZWK80,425,425.5,413,413.75,-12.5,35220,46457
1980-03-27,ZWK80,410,410,401,409.5,-4.25,54926,45804
1980-03-28,ZWK80,409.5,410,393,395,-14.5,40128,45133
1980-03-31,ZWK80,395,400,383,383.5,-11.5,41224,44504
1980-04-01,ZWK80,382,389.5,380.5,387,3.5,49078,45423
1980-04-02,ZWK80,388,398,386.5,397.5,10.5,45384,45643
1980-04-03,ZWK80,398,408,397,405.5,8,41872,44442
1980-04-07,ZWK80,408,412,401,402.25,-3.25,34610,45015
1980-04-08,ZWK80,406,412,406,409.75,7.5,38964,45088
1980-04-09,ZWK80,416,429,413.5,425.75,16,47276,46030
1980-04-10,ZWK80,420,421.5,413.5,414.5,-11.25,38084,46056
1980-04-11,ZWK80,413,413,405.5,406.25,-8.25,34518,46246
