"Symbol: B6Q20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,B6H80,2.214,2.2385,2.214,2.2375,0,2552,10655
1980-01-03,B6H80,2.233,2.2385,2.2215,2.226,-0.011499999999999844,3496,10044
1980-01-04,B6H80,2.2265,2.233,2.225,2.23,0.0040000000000000036,1195,9904
1980-01-07,B6H80,2.2395,2.259,2.2395,2.256,0.0259999999999998,3345,10446
1980-01-08,B6H80,2.248,2.2565,2.2445,2.247,-0.008999999999999897,3023,10686
1980-01-09,B6H80,2.26,2.263,2.251,2.255,0.008000000000000007,4381,11415
1980-01-10,B6H80,2.251,2.2545,2.244,2.2455,-0.009500000000000064,3165,10318
1980-01-11,B6H80,2.25,2.2575,2.2445,2.256,0.010499999999999954,3050,11431
1980-01-14,B6H80,2.257,2.2775,2.256,2.2755,0.019500000000000295,5976,13968
1980-01-15,B6H80,2.2845,2.286,2.264,2.2765,0.0009999999999998899,6401,13418
1980-01-16,B6H80,2.262,2.2685,2.253,2.2555,-0.020999999999999908,5902,13213
1980-01-17,B6H80,2.2545,2.275,2.254,2.267,0.011499999999999844,3774,13441
1980-01-18,B6H80,2.2685,2.279,2.268,2.272,0.004999999999999893,4922,12726
1980-01-21,B6H80,2.277,2.2805,2.256,2.257,-0.01499999999999968,4922,12726
1980-01-22,B6H80,2.267,2.2685,2.255,2.264,0.006999999999999673,4110,11494
1980-01-23,B6H80,2.2605,2.275,2.2585,2.264,0,3220,11632
1980-01-24,B6H80,2.269,2.2725,2.263,2.2685,0.0045000000000001705,2067,11710
1980-01-25,B6H80,2.265,2.267,2.245,2.2475,-0.020999999999999908,8938,12365
1980-01-28,B6H80,2.252,2.255,2.2335,2.2415,-0.006000000000000227,6314,12261
1980-01-29,B6H80,2.242,2.254,2.236,2.2495,0.008000000000000007,5935,10955
1980-01-30,B6H80,2.2495,2.255,2.245,2.252,0.0024999999999999467,3391,10904
1980-01-31,B6H80,2.257,2.26,2.253,2.2565,0.0045000000000001705,2250,10613
1980-02-01,B6H80,2.2615,2.268,2.2575,2.2655,0.008999999999999897,3619,9744
1980-02-04,B6H80,2.265,2.288,2.2645,2.286,0.020500000000000185,7459,12340
1980-02-05,B6H80,2.282,2.2875,2.277,2.278,-0.008000000000000007,5194,12606
1980-02-06,B6H80,2.2935,2.3075,2.2915,2.306,0.028000000000000025,9746,16376
1980-02-07,B6H80,2.299,2.302,2.288,2.2965,-0.009500000000000064,6017,16360
1980-02-08,B6H80,2.2885,2.294,2.285,2.291,-0.00550000000000006,5338,16345
1980-02-11,B6H80,2.2995,2.3005,2.2925,2.296,0.004999999999999893,4567,17210
1980-02-12,B6H80,2.295,2.312,2.2825,2.3005,0.0045000000000001705,8775,18497
1980-02-13,B6H80,2.295,2.3025,2.2935,2.298,-0.0024999999999999467,6159,18212
1980-02-14,B6H80,2.299,2.31,2.299,2.301,0.0030000000000001137,4757,18146
1980-02-15,B6H80,2.305,2.307,2.277,2.293,-0.008000000000000007,8544,17428
1980-02-19,B6H80,2.274,2.274,2.26,2.2675,-0.025500000000000078,7635,16084
1980-02-20,B6H80,2.2775,2.2775,2.2695,2.273,0.00550000000000006,4093,15060
1980-02-21,B6H80,2.2865,2.288,2.2815,2.286,0.0129999999999999,3243,14579
1980-02-22,B6H80,2.276,2.278,2.26,2.2615,-0.02450000000000019,4330,14440
1980-02-25,B6H80,2.274,2.277,2.2675,2.2695,0.008000000000000007,3722,13999
1980-02-26,B6H80,2.2765,2.2765,2.2685,2.274,0.0045000000000001705,1757,13859
1980-02-27,B6H80,2.283,2.286,2.277,2.279,0.004999999999999893,4861,13863
1980-02-28,B6H80,2.286,2.286,2.28,2.28,0.0009999999999998899,1530,13533
1980-02-29,B6H80,2.267,2.2725,2.248,2.2545,-0.025499999999999634,1530,13533
1980-03-03,B6H80,2.2645,2.2645,2.2265,2.2295,-0.025000000000000355,11789,15736
1980-03-04,B6H80,2.2345,2.237,2.2155,2.2345,0.0050000000000003375,7490,14577
1980-03-05,B6H80,2.236,2.2425,2.2355,2.238,0.0034999999999998366,4450,15060
1980-03-06,B6H80,2.218,2.2325,2.211,2.229,-0.008999999999999897,5229,15407
1980-03-07,B6H80,2.22,2.2265,2.215,2.2195,-0.009500000000000064,5338,15591
1980-03-10,B6H80,2.216,2.221,2.214,2.2185,-0.0009999999999998899,4594,14329
1980-03-11,B6M80,2.2285,2.2345,2.225,2.228,0.009500000000000064,4188,13369
1980-03-12,B6M80,2.237,2.24,2.229,2.2305,0.0024999999999999467,3122,12496
1980-03-13,B6M80,2.226,2.233,2.2195,2.229,-0.0015000000000000568,3323,12998
1980-03-14,B6M80,2.2095,2.222,2.2075,2.212,-0.016999999999999904,4979,13924
1980-03-17,B6M80,2.19,2.2015,2.1855,2.199,-0.013000000000000345,3815,13563
1980-03-18,B6M80,2.201,2.21,2.186,2.1895,-0.009500000000000064,3911,12550
1980-03-19,B6M80,2.199,2.2005,2.192,2.1985,0.009000000000000341,4143,12308
1980-03-20,B6M80,2.201,2.2035,2.194,2.1945,-0.0040000000000000036,3066,13814
1980-03-21,B6M80,2.188,2.1945,2.181,2.19,-0.0045000000000001705,4959,15075
1980-03-24,B6M80,2.1865,2.2015,2.181,2.195,0.004999999999999893,5245,14322
1980-03-25,B6M80,2.2,2.2015,2.1915,2.197,0.002000000000000224,3422,13878
1980-03-26,B6M80,2.2015,2.208,2.173,2.174,-0.02300000000000013,7939,15455
1980-03-27,B6M80,2.1815,2.186,2.161,2.175,0.0009999999999998899,8390,16528
1980-03-28,B6M80,2.175,2.19,2.169,2.1855,0.010500000000000398,6518,14451
1980-03-31,B6M80,2.1735,2.174,2.1575,2.1615,-0.02400000000000002,3917,14777
1980-04-01,B6M80,2.1465,2.173,2.1445,2.171,0.00949999999999962,5973,13599
1980-04-02,B6M80,2.159,2.1655,2.148,2.15,-0.020999999999999908,3825,13857
1980-04-03,B6M80,2.143,2.1465,2.1345,2.135,-0.015000000000000124,2780,14424
1980-04-07,B6M80,2.1325,2.153,2.128,2.1385,0.0035000000000002807,3753,14434
1980-04-08,B6M80,2.1525,2.1885,2.1515,2.18,0.04150000000000009,6436,12944
1980-04-09,B6M80,2.19,2.1945,2.174,2.184,0.0040000000000000036,6248,11887
1980-04-10,B6M80,2.182,2.205,2.182,2.2045,0.02049999999999974,4467,10988
1980-04-11,B6M80,2.201,2.215,2.198,2.2135,0.008999999999999897,4406,10317
1980-04-14,B6M80,2.219,2.22,2.2015,2.205,-0.00849999999999973,4322,10778
1980-04-15,B6M80,2.2,2.2085,2.1885,2.2015,-0.0035000000000002807,4720,10588
1980-04-16,B6M80,2.202,2.2325,2.202,2.229,0.027500000000000302,6855,10849
1980-04-17,B6M80,2.238,2.238,2.218,2.2305,0.0015000000000000568,4268,9988
1980-04-18,B6M80,2.231,2.237,2.2155,2.2205,-0.010000000000000231,1969,9726
1980-04-21,B6M80,2.2315,2.25,2.2305,2.2405,0.020000000000000018,4406,9897
1980-04-22,B6M80,2.239,2.2435,2.231,2.233,-0.00749999999999984,4535,9887
1980-04-23,B6M80,2.261,2.274,2.256,2.271,0.03799999999999981,6781,10488
1980-04-24,B6M80,2.258,2.267,2.2555,2.261,-0.009999999999999787,3996,10389
1980-04-25,B6M80,2.2785,2.288,2.2685,2.2725,0.011499999999999844,4025,10147
1980-04-28,B6M80,2.289,2.291,2.271,2.2755,0.0030000000000001137,4296,9605
1980-04-29,B6M80,2.272,2.2735,2.255,2.2565,-0.019000000000000128,5349,8875
1980-04-30,B6M80,2.248,2.2625,2.242,2.2545,-0.0019999999999997797,5107,8837
