"Symbol: YMU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2002-04-02,YMM02,10313,10313,10313,10313,0,,
2002-04-03,YMM02,10233,10233,10233,10233,-80,,
2002-04-04,YMM02,10220,10220,10220,10220,-13,,
2002-04-05,YMM02,10246,10340,10222,10290,70,,207
2002-04-08,YMM02,10278,10280,10105,10267,-23,4234,1051
2002-04-09,YMM02,10290,10312,10204,10222,-45,4234,1805
2002-04-10,YMM02,10229,10399,10215,10387,165,4234,1805
2002-04-11,YMM02,10378,10378,10158,10170,-217,6372,2152
2002-04-12,YMM02,10210,10240,10140,10194,24,5387,2445
2002-04-15,YMM02,10196,10230,10068,10093,-101,5387,3426
2002-04-16,YMM02,10141,10344,10132,10304,211,5387,3426
2002-04-17,YMM02,10309,10338,10185,10228,-76,5387,3426
2002-04-18,YMM02,10238,10272,10040,10175,-53,4857,3323
2002-04-19,YMM02,10140,10274,10140,10252,77,4241,3466
2002-04-22,YMM02,10247,10263,10111,10135,-117,3306,3864
2002-04-23,YMM02,10148,10177,10065,10095,-40,7043,4538
2002-04-24,YMM02,10115,10161,10015,10020,-75,7043,5686
2002-04-25,YMM02,10015,10045,9919,10042,22,7043,5686
2002-04-26,YMM02,10036,10077,9859,9872,-170,7043,5686
2002-04-29,YMM02,9907,9933,9806,9818,-54,7000,5686
2002-04-30,YMM02,9836,10003,9817,9930,112,6327,5513
2002-05-01,YMM02,9963,10081,9820,10070,140,6327,6296
2002-05-02,YMM02,10076,10114,10029,10090,20,6327,6296
2002-05-03,YMM02,10074,10108,9920,9986,-104,5546,6860
2002-05-06,YMM02,10004,10018,9781,9790,-196,5546,6294
2002-05-07,YMM02,9800,9920,9790,9800,10,6603,6808
2002-05-08,YMM02,9875,10148,9871,10115,315,6603,7043
2002-05-09,YMM02,10127,10134,10008,10033,-82,6699,7375
2002-05-10,YMM02,10041,10080,9910,9930,-103,5086,7812
2002-05-13,YMM02,9938,10111,9915,10105,175,5086,7812
2002-05-14,YMM02,10110,10297,10089,10291,186,5805,8430
2002-05-15,YMM02,10291,10349,10220,10265,-26,5805,9442
2002-05-16,YMM02,10267,10319,10228,10293,28,5805,9442
2002-05-17,YMM02,10333,10364,10256,10337,44,3860,9140
2002-05-20,YMM02,10335,10335,10210,10240,-97,5071,9568
2002-05-21,YMM02,10232,10285,10087,10123,-117,5071,9871
