"Symbol: GEU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1981-12-09,GEH82,86.72,86.75999,86.33,86.4,0,,
1981-12-10,GEH82,86.25,86.25,85.78,85.86,-0.5400000000000063,,
1981-12-11,GEH82,85.8,85.96,85.68999,85.8,-0.060000000000002274,,
1981-12-14,GEH82,85.45,85.92,85.37,85.88,0.0799999999999983,,
1981-12-15,GEH82,86.05,86.2,85.97,86.05,0.1700000000000017,,
1981-12-16,GEH82,85.98,86.13,85.88,85.88,-0.1700000000000017,,
1981-12-17,GEH82,85.87,85.89,85.33,85.33,-0.5499999999999972,,
1981-12-18,GEH82,85.3,85.93999,85.28,85.9,0.5700000000000074,,
1981-12-21,GEH82,85.45,85.5,85.3,85.31,-0.5900000000000034,,
1981-12-22,GEH82,85.22,85.43,85.11,85.28,-0.030000000000001137,,
1981-12-23,GEH82,84.9,85.07,84.85,84.85,-0.4300000000000068,,
1981-12-24,GEH82,85.06,85.25999,85.02,85.09,0.2400000000000091,,
1981-12-28,GEH82,85.18,85.25999,84.83,84.83,-0.2600000000000051,,
1981-12-29,GEH82,85.00999,85.06,84.68999,84.89,0.060000000000002274,,
1981-12-30,GEH82,84.92,85.2,84.85,85.15,0.2600000000000051,,
1981-12-31,GEH82,85.34,85.64,85.34,85.58,0.4299999999999926,,
1982-01-04,GEH82,85.75,85.81,85.42,85.46,-0.12000000000000455,,
1982-01-05,GEH82,84.87,85.16,84.73,85.05,-0.4099999999999966,,
1982-01-06,GEH82,85.35,85.43999,84.89,84.91,-0.14000000000000057,,
1982-01-07,GEH82,84.85,85.07,84.79,85.02,0.10999999999999943,,
1982-01-08,GEH82,85.08,85.25,85.05,85.15,0.13000000000000966,,
1982-01-11,GEH82,85,85.02,84.38,84.47,-0.6800000000000068,,
1982-01-12,GEH82,84.56,84.68,84.43,84.67,0.20000000000000284,,
1982-01-13,GEH82,84.77,84.85,84.25,84.25999,-0.41000999999999976,,
1982-01-14,GEH82,84.18,84.5,84.16,84.49,0.23000999999999294,,
1982-01-15,GEH82,84.58,84.67,84.25,84.32,-0.1700000000000017,,
1982-01-18,GEH82,84.1,84.46,84.1,84.41,0.09000000000000341,,
1982-01-19,GEH82,84.45,84.61,84.25999,84.25999,-0.15000999999999465,,
1982-01-20,GEH82,84.32,84.34,84.09,84.18,-0.07998999999999512,,
1982-01-21,GEH82,84.36,84.52,84.04,84.13,-0.05000000000001137,,
1982-01-22,GEH82,84.18,84.23,83.91,83.93,-0.19999999999998863,,
