"Symbol: J6Q20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,J6H80,0.4242,0.426,0.424,0.4259,0,955,2688
1980-01-03,J6H80,0.4265,0.4278,0.4239,0.4243,-0.0015999999999999903,864,2630
1980-01-04,J6H80,0.4279,0.4336,0.4279,0.4334,0.009099999999999997,3075,4211
1980-01-07,J6H80,0.4336,0.4395,0.4336,0.4392,0.005799999999999972,3151,5577
1980-01-08,J6H80,0.4319,0.4329,0.4297,0.4299,-0.009299999999999975,3523,5111
1980-01-09,J6H80,0.431,0.4318,0.4291,0.4296,-0.00030000000000002247,1485,4996
1980-01-10,J6H80,0.4293,0.4293,0.4284,0.4286,-0.0010000000000000009,729,4822
1980-01-11,J6H80,0.429,0.4292,0.4282,0.4284,-0.00019999999999997797,649,4972
1980-01-14,J6H80,0.4282,0.429,0.4275,0.4276,-0.0008000000000000229,797,4978
1980-01-15,J6H80,0.4258,0.4261,0.4201,0.421,-0.006599999999999995,4486,4807
1980-01-16,J6H80,0.423,0.4262,0.4229,0.4237,0.0027000000000000357,1791,4584
1980-01-17,J6H80,0.4222,0.4227,0.4205,0.4221,-0.0016000000000000458,1511,4368
1980-01-18,J6H80,0.4211,0.4221,0.42,0.4218,-0.00029999999999996696,2863,4707
1980-01-21,J6H80,0.4199,0.4202,0.4182,0.4193,-0.0025000000000000022,2863,4707
1980-01-22,J6H80,0.422,0.4231,0.4206,0.4222,0.0029000000000000137,1557,4313
1980-01-23,J6H80,0.4276,0.4277,0.4255,0.4263,0.0040999999999999925,2129,3670
1980-01-24,J6H80,0.4211,0.4227,0.4209,0.4221,-0.004200000000000037,694,3629
1980-01-25,J6H80,0.4214,0.4222,0.4206,0.4212,-0.0008999999999999564,424,3694
1980-01-28,J6H80,0.4202,0.4205,0.4196,0.4203,-0.0009000000000000119,671,3588
1980-01-29,J6H80,0.422,0.4222,0.421,0.4212,0.0009000000000000119,595,3603
1980-01-30,J6H80,0.4211,0.4219,0.4206,0.4217,0.0005000000000000004,861,3773
1980-01-31,J6H80,0.4212,0.4219,0.4209,0.4217,0,519,3999
1980-02-01,J6H80,0.4188,0.4193,0.4171,0.4174,-0.004300000000000026,2749,3921
1980-02-04,J6H80,0.4186,0.4198,0.4185,0.4196,0.0021999999999999797,1194,3833
1980-02-05,J6H80,0.4202,0.4205,0.4189,0.4193,-0.00029999999999996696,784,3857
1980-02-06,J6H80,0.4202,0.4202,0.4185,0.4193,0,560,3787
1980-02-07,J6H80,0.4192,0.4198,0.4184,0.4192,-0.00009999999999998899,367,3780
1980-02-08,J6H80,0.4165,0.4165,0.4153,0.4156,-0.003599999999999992,1847,4342
1980-02-11,J6H80,0.4165,0.417,0.4159,0.4163,0.0006999999999999784,573,4188
1980-02-12,J6H80,0.4163,0.4164,0.4159,0.4159,-0.00040000000000001146,253,4205
1980-02-13,J6H80,0.4152,0.4152,0.4143,0.415,-0.0009000000000000119,1213,4341
1980-02-14,J6H80,0.413,0.413,0.4122,0.4124,-0.002599999999999991,835,4704
1980-02-15,J6H80,0.4126,0.4145,0.4117,0.4139,0.0015000000000000013,1057,4231
1980-02-19,J6H80,0.4086,0.4093,0.4085,0.4086,-0.005299999999999971,1213,4901
1980-02-20,J6H80,0.4083,0.409,0.4078,0.4079,-0.0007000000000000339,903,5012
1980-02-21,J6H80,0.408,0.4084,0.4073,0.4076,-0.00029999999999996696,1059,5591
1980-02-22,J6H80,0.4056,0.407,0.405,0.4069,-0.0007000000000000339,1529,5217
1980-02-25,J6H80,0.404,0.4044,0.4033,0.4034,-0.003500000000000003,1382,5664
1980-02-26,J6H80,0.4047,0.4054,0.4046,0.4051,0.0017000000000000348,1695,4645
1980-02-27,J6H80,0.4037,0.4042,0.4033,0.404,-0.0010999999999999899,937,4438
1980-02-28,J6H80,0.4042,0.4044,0.4033,0.404,0,812,4446
1980-02-29,J6H80,0.3986,0.399,0.3978,0.398,-0.006000000000000005,812,4446
1980-03-03,J6H80,0.4032,0.4049,0.402,0.404,0.006000000000000005,2582,4628
1980-03-04,J6H80,0.4075,0.4077,0.4065,0.4074,0.0033999999999999586,1981,4744
1980-03-05,J6H80,0.4052,0.406,0.405,0.405,-0.0023999999999999577,1003,4584
1980-03-06,J6H80,0.4023,0.4048,0.4015,0.4037,-0.0013000000000000234,1290,4702
1980-03-07,J6H80,0.4041,0.4046,0.4031,0.4032,-0.0005000000000000004,728,4579
1980-03-10,J6H80,0.4046,0.4052,0.4041,0.4047,0.0015000000000000013,1567,4328
1980-03-11,J6M80,0.4108,0.4114,0.4082,0.4084,0.003699999999999981,1262,4576
1980-03-12,J6M80,0.4099,0.4101,0.4082,0.4084,0,1133,4506
1980-03-13,J6M80,0.4074,0.4078,0.4062,0.4073,-0.0010999999999999899,1466,4793
1980-03-14,J6M80,0.4057,0.4068,0.4047,0.4054,-0.0019000000000000128,1687,4522
1980-03-17,J6M80,0.4046,0.4072,0.4045,0.4072,0.0018000000000000238,1491,4165
1980-03-18,J6M80,0.407,0.4072,0.405,0.4054,-0.0018000000000000238,834,3729
1980-03-19,J6M80,0.4061,0.4065,0.4055,0.406,0.0006000000000000449,430,3612
1980-03-20,J6M80,0.4069,0.407,0.406,0.4061,0.00009999999999998899,960,3835
1980-03-21,J6M80,0.4053,0.4057,0.4048,0.4053,-0.0008000000000000229,744,3887
1980-03-24,J6M80,0.405,0.405,0.4041,0.4044,-0.0009000000000000119,1214,4621
1980-03-25,J6M80,0.4046,0.4057,0.404,0.4053,0.0009000000000000119,1611,3921
1980-03-26,J6M80,0.4049,0.4053,0.4038,0.4042,-0.0010999999999999899,810,4027
1980-03-27,J6M80,0.402,0.4026,0.4015,0.4018,-0.0024000000000000132,2274,5153
1980-03-28,J6M80,0.4031,0.4043,0.4029,0.4043,0.0025000000000000022,1763,4982
1980-03-31,J6M80,0.4033,0.4038,0.4029,0.4037,-0.0005999999999999894,1346,4952
1980-04-01,J6M80,0.3966,0.3966,0.3937,0.3937,-0.010000000000000009,3807,7624
1980-04-02,J6M80,0.3925,0.3934,0.3911,0.3916,-0.0020999999999999908,3141,8434
1980-04-03,J6M80,0.392,0.3932,0.391,0.3911,-0.0005000000000000004,1999,8376
1980-04-07,J6M80,0.385,0.3873,0.3847,0.3848,-0.006300000000000028,2086,8848
1980-04-08,J6M80,0.389,0.3928,0.3885,0.3919,0.007100000000000051,5346,6349
1980-04-09,J6M80,0.4019,0.4019,0.3971,0.4005,0.008599999999999997,4041,5987
1980-04-10,J6M80,0.4001,0.408,0.4001,0.4077,0.007199999999999984,5413,5269
1980-04-11,J6M80,0.401,0.4019,0.3977,0.3998,-0.007900000000000018,2757,5127
1980-04-14,J6M80,0.4021,0.4023,0.4,0.401,0.0012000000000000344,1050,4815
1980-04-15,J6M80,0.4011,0.4013,0.398,0.3987,-0.0023000000000000242,2299,4918
1980-04-16,J6M80,0.3998,0.4087,0.3994,0.4065,0.007799999999999974,4213,5219
1980-04-17,J6M80,0.4067,0.4079,0.404,0.4058,-0.0006999999999999784,2007,5408
1980-04-18,J6M80,0.4063,0.4075,0.4024,0.4029,-0.0029000000000000137,1968,5204
1980-04-21,J6M80,0.402,0.404,0.402,0.4032,0.00030000000000002247,1095,5180
1980-04-22,J6M80,0.4029,0.4035,0.4022,0.4033,0.00009999999999998899,1400,4978
1980-04-23,J6M80,0.4079,0.4133,0.4079,0.4133,0.010000000000000009,4171,4727
1980-04-24,J6M80,0.4088,0.413,0.4084,0.4113,-0.0020000000000000018,2962,5231
1980-04-25,J6M80,0.41,0.411,0.4071,0.4091,-0.0021999999999999797,2225,5006
1980-04-28,J6M80,0.417,0.4184,0.4155,0.4171,0.008000000000000007,1336,5132
1980-04-29,J6M80,0.419,0.4211,0.4185,0.4201,0.002999999999999947,885,5160
1980-04-30,J6M80,0.419,0.4201,0.4177,0.4183,-0.0017999999999999683,506,5003
1980-05-01,J6M80,0.4176,0.418,0.4162,0.4171,-0.0011999999999999789,781,5116
1980-05-02,J6M80,0.4172,0.4197,0.4165,0.4193,0.0021999999999999797,1455,5611
1980-05-05,J6M80,0.4199,0.4243,0.4197,0.4231,0.00379999999999997,3430,7401
1980-05-06,J6M80,0.4309,0.4323,0.4295,0.4311,0.008000000000000007,2325,7615
1980-05-07,J6M80,0.432,0.4336,0.4279,0.4333,0.0022000000000000353,1780,8122
1980-05-08,J6M80,0.4298,0.4312,0.4264,0.4271,-0.006200000000000039,1638,7982
1980-05-09,J6M80,0.4298,0.4371,0.429,0.4364,0.00930000000000003,3060,8190
1980-05-12,J6M80,0.4427,0.4427,0.4392,0.4413,0.0049000000000000155,1359,8560
1980-05-13,J6M80,0.4384,0.4402,0.4376,0.4399,-0.0014000000000000123,2349,8471
1980-05-14,J6M80,0.4399,0.4412,0.435,0.4386,-0.0013000000000000234,4272,7842
1980-05-15,J6M80,0.437,0.4395,0.4365,0.4377,-0.0009000000000000119,1971,7733
1980-05-16,J6M80,0.4305,0.4375,0.43,0.4371,-0.0005999999999999894,3798,6830
1980-05-19,J6M80,0.4366,0.4375,0.4345,0.435,-0.0020999999999999908,1704,6636
1980-05-20,J6M80,0.4418,0.4428,0.4399,0.4419,0.006900000000000017,2596,6964
1980-05-21,J6M80,0.4449,0.4455,0.4437,0.444,0.0020999999999999908,2201,6971
1980-05-22,J6M80,0.4442,0.4462,0.4438,0.4453,0.0012999999999999678,1957,6967
1980-05-23,J6M80,0.4497,0.4535,0.449,0.453,0.00770000000000004,2045,7485
1980-05-27,J6M80,0.4555,0.4562,0.4545,0.4551,0.0020999999999999908,1951,7595
1980-05-28,J6M80,0.4481,0.4485,0.4455,0.4462,-0.008900000000000019,3240,6468
1980-05-29,J6M80,0.4467,0.4473,0.4431,0.4434,-0.002799999999999969,2079,5754
1980-05-30,J6M80,0.445,0.4491,0.4448,0.4474,0.0040000000000000036,1388,5795
1980-06-02,J6M80,0.4486,0.4488,0.4457,0.4465,-0.0009000000000000119,1272,5373
1980-06-03,J6M80,0.4478,0.4512,0.4466,0.4509,0.004400000000000015,2870,6814
1980-06-04,J6M80,0.4503,0.4518,0.4486,0.4492,-0.0017000000000000348,2640,6839
1980-06-05,J6M80,0.4545,0.4559,0.4532,0.4558,0.006599999999999995,3031,7490
1980-06-06,J6M80,0.4536,0.4572,0.4534,0.4567,0.0009000000000000119,2624,8681
1980-06-09,J6M80,0.4594,0.4621,0.4594,0.4618,0.005099999999999993,2542,9737
1980-06-10,J6U80,0.4605,0.464,0.4587,0.4595,-0.0022999999999999687,3071,9131
1980-06-11,J6U80,0.4577,0.4582,0.4556,0.457,-0.0025000000000000022,2058,8269
1980-06-12,J6U80,0.4575,0.4605,0.4573,0.4585,0.0015000000000000013,1780,8767
1980-06-13,J6U80,0.4613,0.4622,0.4582,0.4617,0.0031999999999999806,1728,8911
1980-06-16,J6U80,0.46,0.462,0.4582,0.4594,-0.0023000000000000242,2984,7944
1980-06-17,J6U80,0.4597,0.4617,0.4589,0.4613,0.0019000000000000128,1665,7531
1980-06-18,J6U80,0.4603,0.4613,0.4596,0.4603,-0.0010000000000000009,914,7216
1980-06-19,J6U80,0.4585,0.4603,0.4582,0.4591,-0.0011999999999999789,808,7129
1980-06-20,J6U80,0.4585,0.4593,0.4544,0.4573,-0.0018000000000000238,3092,6935
1980-06-23,J6U80,0.4603,0.4609,0.459,0.4598,0.0025000000000000022,868,7161
1980-06-24,J6U80,0.4582,0.4597,0.458,0.4596,-0.00019999999999997797,1770,7708
1980-06-25,J6U80,0.456,0.4567,0.4548,0.4551,-0.004500000000000004,2240,7476
1980-06-26,J6U80,0.4563,0.4577,0.4559,0.4569,0.0017999999999999683,1368,7399
1980-06-27,J6U80,0.4566,0.4574,0.4558,0.4573,0.00040000000000001146,1128,7078
1980-06-30,J6U80,0.4532,0.4538,0.451,0.4518,-0.005500000000000005,3458,7329
1980-07-01,J6U80,0.4526,0.4535,0.4515,0.4527,0.0009000000000000119,1758,7281
1980-07-02,J6U80,0.4533,0.4556,0.4533,0.4541,0.0014000000000000123,1494,7146
1980-07-03,J6U80,0.4534,0.455,0.4514,0.4544,0.00030000000000002247,2395,7384
1980-07-07,J6U80,0.4552,0.457,0.4547,0.4559,0.0015000000000000013,2329,7384
1980-07-08,J6U80,0.4548,0.4552,0.452,0.4533,-0.0026000000000000467,3716,7442
1980-07-09,J6U80,0.455,0.456,0.4544,0.4553,0.0020000000000000018,1464,7280
1980-07-10,J6U80,0.4573,0.4598,0.4571,0.4591,0.0038000000000000256,4134,7812
1980-07-11,J6U80,0.4572,0.4576,0.4547,0.4553,-0.0038000000000000256,2217,7545
1980-07-14,J6U80,0.4553,0.4559,0.4547,0.4548,-0.0005000000000000004,1477,6990
1980-07-15,J6U80,0.4535,0.4535,0.4521,0.4528,-0.0020000000000000018,3629,6206
1980-07-16,J6U80,0.4545,0.4556,0.4542,0.4552,0.0024000000000000132,1200,6244
1980-07-17,J6U80,0.4552,0.4554,0.4534,0.4535,-0.0016999999999999793,1188,6392
1980-07-18,J6U80,0.4533,0.4535,0.4504,0.4513,-0.0022000000000000353,2806,6606
1980-07-21,J6U80,0.4528,0.4529,0.451,0.4517,0.00040000000000001146,2286,7051
1980-07-22,J6U80,0.4509,0.451,0.4484,0.4486,-0.0030999999999999917,5670,8892
1980-07-23,J6U80,0.4435,0.4448,0.4426,0.443,-0.005599999999999994,4139,9587
1980-07-24,J6U80,0.445,0.4467,0.4445,0.4447,0.0016999999999999793,2399,10482
1980-07-25,J6U80,0.4412,0.4412,0.4395,0.44,-0.004699999999999982,2894,11320
1980-07-28,J6U80,0.4382,0.4382,0.4358,0.4361,-0.0039000000000000146,3215,11178
1980-07-29,J6U80,0.4393,0.4398,0.438,0.4381,0.0020000000000000018,2173,10878
1980-07-30,J6U80,0.4394,0.4408,0.4375,0.439,0.0009000000000000119,2904,10526
1980-07-31,J6U80,0.4378,0.4388,0.4352,0.4376,-0.0014000000000000123,4078,11119
1980-08-01,J6U80,0.439,0.4403,0.4374,0.4381,0.0005000000000000004,3304,10191
1980-08-04,J6U80,0.4415,0.4419,0.4402,0.4414,0.003300000000000025,1750,9317
1980-08-05,J6U80,0.4411,0.4412,0.44,0.4409,-0.0005000000000000004,1253,8877
1980-08-06,J6U80,0.4413,0.4443,0.4413,0.4431,0.0021999999999999797,3024,7656
1980-08-07,J6U80,0.4423,0.443,0.4414,0.4428,-0.00029999999999996696,1154,7479
1980-08-08,J6U80,0.4406,0.4414,0.44,0.4403,-0.0025000000000000022,1058,7318
1980-08-11,J6U80,0.4412,0.4431,0.4411,0.4425,0.0021999999999999797,1658,6845
1980-08-12,J6U80,0.4479,0.4494,0.4475,0.4489,0.006400000000000017,2453,6765
1980-08-13,J6U80,0.4459,0.4466,0.4447,0.4462,-0.0027000000000000357,2663,6907
1980-08-14,J6U80,0.445,0.4453,0.4439,0.4447,-0.0015000000000000013,1187,6691
1980-08-15,J6U80,0.4434,0.4437,0.4407,0.441,-0.003699999999999981,1504,6199
1980-08-18,J6U80,0.4406,0.4414,0.4402,0.441,0,825,6128
1980-08-19,J6U80,0.445,0.4455,0.4443,0.445,0.0040000000000000036,973,6318
1980-08-20,J6U80,0.446,0.4462,0.4437,0.4442,-0.0008000000000000229,1284,5837
1980-08-21,J6U80,0.4436,0.4446,0.443,0.4441,-0.00009999999999998899,1001,5815
1980-08-22,J6U80,0.4462,0.4481,0.4455,0.448,0.0039000000000000146,2315,6147
1980-08-25,J6U80,0.4473,0.4485,0.4466,0.4478,-0.00020000000000003348,1538,6314
1980-08-26,J6U80,0.4559,0.4574,0.4544,0.4563,0.008500000000000008,3080,6804
1980-08-27,J6U80,0.454,0.4555,0.454,0.4554,-0.0008999999999999564,3051,7782
1980-08-28,J6U80,0.4595,0.4598,0.4578,0.4587,0.0032999999999999696,2968,8522
1980-08-29,J6U80,0.4567,0.4584,0.4553,0.4575,-0.0011999999999999789,1553,8849
1980-09-02,J6U80,0.462,0.4635,0.4618,0.4631,0.005599999999999994,2176,10219
1980-09-03,J6U80,0.46,0.4615,0.4596,0.4603,-0.0028000000000000247,2692,10339
1980-09-04,J6U80,0.4626,0.4626,0.4585,0.4594,-0.0009000000000000119,4357,9268
1980-09-05,J6U80,0.4576,0.4595,0.4564,0.4578,-0.0015999999999999903,2240,8600
1980-09-08,J6U80,0.462,0.4623,0.4602,0.461,0.003200000000000036,1663,8394
1980-09-09,J6Z80,0.4622,0.4623,0.4607,0.462,0.0010000000000000009,1833,8721
1980-09-10,J6Z80,0.4615,0.4619,0.4603,0.4614,-0.0006000000000000449,2141,8374
1980-09-11,J6Z80,0.465,0.4685,0.465,0.4678,0.006400000000000017,4721,11437
1980-09-12,J6Z80,0.469,0.4712,0.4682,0.4695,0.0016999999999999793,3016,12244
1980-09-15,J6Z80,0.4718,0.4718,0.4696,0.4701,0.0006000000000000449,1585,12092
1980-09-16,J6Z80,0.4718,0.4744,0.4717,0.474,0.003899999999999959,2556,10901
1980-09-17,J6Z80,0.4733,0.4735,0.4716,0.4721,-0.0018999999999999573,2822,10519
1980-09-18,J6Z80,0.47,0.4704,0.469,0.4703,-0.0018000000000000238,2939,10756
1980-09-19,J6Z80,0.4718,0.4748,0.4717,0.4739,0.003599999999999992,5041,11220
1980-09-22,J6Z80,0.4683,0.4683,0.4639,0.4639,-0.010000000000000009,6883,8666
1980-09-23,J6Z80,0.4587,0.4595,0.4547,0.4577,-0.006199999999999983,4745,7889
1980-09-24,J6Z80,0.461,0.4654,0.4606,0.4624,0.004699999999999982,4672,7551
1980-09-25,J6Z80,0.4655,0.468,0.4633,0.464,0.0016000000000000458,3217,7507
1980-09-26,J6Z80,0.4708,0.474,0.4686,0.474,0.009999999999999953,3950,7053
1980-09-29,J6Z80,0.471,0.4745,0.4697,0.4715,-0.0025000000000000022,1678,7048
1980-09-30,J6Z80,0.4761,0.4774,0.4746,0.4768,0.005300000000000027,2675,7560
1980-10-01,J6Z80,0.4831,0.4832,0.4806,0.4825,0.005699999999999983,1817,7952
1980-10-02,J6Z80,0.4845,0.4851,0.4817,0.482,-0.0005000000000000004,1797,7802
1980-10-03,J6Z80,0.485,0.486,0.4835,0.4855,0.003500000000000003,1674,8140
1980-10-06,J6Z80,0.483,0.4835,0.4809,0.4831,-0.0024000000000000132,2723,7908
1980-10-07,J6Z80,0.4789,0.4814,0.4787,0.4806,-0.0024999999999999467,1757,7848
1980-10-08,J6Z80,0.481,0.4823,0.4809,0.4818,0.0011999999999999789,854,7830
1980-10-09,J6Z80,0.4798,0.4816,0.4796,0.4816,-0.00020000000000003348,1093,7644
1980-10-10,J6Z80,0.481,0.4812,0.4795,0.4809,-0.0006999999999999784,583,7645
1980-10-13,J6Z80,0.484,0.4853,0.4824,0.4847,0.0038000000000000256,2322,7765
1980-10-14,J6Z80,0.487,0.4872,0.4858,0.4861,0.0013999999999999568,1252,8146
1980-10-15,J6Z80,0.4834,0.4852,0.4833,0.4844,-0.0016999999999999793,1829,7561
1980-10-16,J6Z80,0.4829,0.483,0.4815,0.4818,-0.002599999999999991,1519,7384
1980-10-17,J6Z80,0.4824,0.4847,0.4824,0.4846,0.002799999999999969,1146,7371
1980-10-20,J6Z80,0.4841,0.4841,0.4814,0.4821,-0.0025000000000000022,1763,7540
1980-10-21,J6Z80,0.482,0.4836,0.4816,0.483,0.0009000000000000119,1902,7674
1980-10-22,J6Z80,0.4809,0.4815,0.479,0.4808,-0.0021999999999999797,3845,8191
1980-10-23,J6Z80,0.477,0.4784,0.4759,0.4761,-0.004699999999999982,4922,8851
1980-10-24,J6Z80,0.4723,0.4735,0.4703,0.4707,-0.005400000000000016,3361,8909
1980-10-27,J6Z80,0.4712,0.4725,0.4686,0.4695,-0.0012000000000000344,4887,8835
1980-10-28,J6Z80,0.4728,0.4733,0.4707,0.472,0.0025000000000000022,3735,9358
1980-10-29,J6Z80,0.476,0.482,0.476,0.481,0.009000000000000008,4675,9054
1980-10-30,J6Z80,0.4795,0.4806,0.476,0.4775,-0.003500000000000003,1806,9032
1980-10-31,J6Z80,0.4746,0.477,0.4746,0.4766,-0.0008999999999999564,1365,9224
1980-11-03,J6Z80,0.476,0.4795,0.4753,0.4788,0.0021999999999999797,2293,9168
1980-11-05,J6Z80,0.475,0.478,0.4745,0.4772,-0.0015999999999999903,4170,9378
1980-11-06,J6Z80,0.477,0.477,0.4713,0.4716,-0.005599999999999994,5103,9547
1980-11-07,J6Z80,0.4715,0.4728,0.4685,0.4724,0.0007999999999999674,4225,9261
1980-11-10,J6Z80,0.4727,0.4824,0.4727,0.4814,0.009000000000000008,6892,8329
1980-11-11,J6Z80,0.4764,0.48,0.474,0.4789,-0.0025000000000000022,3874,8090
1980-11-12,J6Z80,0.4715,0.4747,0.4705,0.4723,-0.006599999999999995,2738,7961
1980-11-13,J6Z80,0.4743,0.4749,0.4719,0.4721,-0.00019999999999997797,1649,7928
1980-11-14,J6Z80,0.4715,0.4729,0.4709,0.4725,0.00039999999999995595,955,7858
1980-11-17,J6Z80,0.4723,0.4725,0.4698,0.4706,-0.0018999999999999573,3280,8167
1980-11-18,J6Z80,0.4713,0.4736,0.4706,0.4714,0.0007999999999999674,2207,7923
1980-11-19,J6Z80,0.4728,0.4734,0.4715,0.4728,0.0014000000000000123,1966,7865
1980-11-20,J6Z80,0.4706,0.471,0.4682,0.4691,-0.003699999999999981,4712,9030
1980-11-21,J6Z80,0.4696,0.4704,0.4689,0.4697,0.0005999999999999894,2461,9237
1980-11-24,J6Z80,0.4708,0.4716,0.4703,0.4706,0.0009000000000000119,2381,8986
1980-11-25,J6Z80,0.4707,0.4709,0.4675,0.4677,-0.0029000000000000137,3635,9723
