"Symbol: KEU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,KEH80,450,450,445,445.25,0,5414,24208
1980-01-03,KEH80,444,445,438.5,444.75,-0.5,6183,23567
1980-01-04,KEH80,444.75,446.75,443,444.25,-0.5,4589,23708
1980-01-09,KEH80,419.25,419.25,419.25,419.25,-25,4002,24038
1980-01-10,KEH80,400,417.5,399.5,415.25,-4,8716,24224
1980-01-11,KEH80,419,427.5,418,427.25,12,5475,24411
1980-01-14,KEH80,427,430,424,429.75,2.5,4010,24073
1980-01-15,KEH80,432,437,432,436.25,6.5,4788,23337
1980-01-16,KEH80,434,444.5,434,438,1.75,5057,23116
1980-01-17,KEH80,438,455,438,447,9,4642,22979
1980-01-18,KEH80,450,452,444,444.75,-2.25,3455,23719
1980-01-21,KEH80,445,448.75,442.5,443.25,-1.5,3455,23719
1980-01-22,KEH80,443,448,441.5,447.5,4.25,4304,23331
1980-01-23,KEH80,447,454,446.75,449.75,2.25,4236,23520
1980-01-24,KEH80,449.5,449.5,445,445.25,-4.5,4596,24130
1980-01-25,KEH80,444.5,446,441,442.25,-3,3036,24774
1980-01-28,KEH80,442,446.5,439,445.25,3,3649,24859
1980-01-29,KEH80,446,447.5,443,444.25,-1,5313,24220
1980-01-30,KEH80,444,450,444,447.25,3,5901,24794
1980-01-31,KEH80,445,448,444.5,447.5,0.25,3415,24673
1980-02-01,KEH80,451,452.5,447.5,451.75,4.25,5567,24817
1980-02-04,KEH80,451.5,459,449.5,455.5,3.75,7085,25182
1980-02-05,KEH80,455,456,450,450.75,-4.75,6461,25146
1980-02-06,KEH80,451,458.5,442.5,447.5,-3.25,5817,24589
1980-02-07,KEH80,447.5,449.5,444.5,448.25,0.75,4476,24817
1980-02-08,KEH80,448,448.25,445,446,-2.25,3068,24628
1980-02-11,KEH80,445.5,448,444.25,446.75,0.75,2626,24279
1980-02-12,KEH80,445,445,442.5,443.75,-3,3166,24078
1980-02-13,KEH80,443.5,443.5,438,438.25,-5.5,5327,24488
1980-02-14,KEH80,438,440.75,434.25,436,-2.25,4495,23760
1980-02-15,KEH80,435,436.75,434.25,435.25,-0.75,2874,23749
1980-02-19,KEH80,435.25,436,431,431,-4.25,3645,23575
1980-02-20,KEH80,430,432.25,430,432,1,3554,23075
1980-02-21,KEH80,433,436,433,434.5,2.5,4648,22884
1980-02-22,KEH80,434.5,434.5,432,433.5,-1,3279,22256
1980-02-25,KEH80,433,435.75,433,435.25,1.75,4360,22434
1980-02-26,KEH80,436,436.75,431,432.5,-2.75,4829,21859
1980-02-27,KEH80,431,432,427.5,428,-4.5,5253,21801
1980-02-28,KEH80,427,429.5,426,427.25,-0.75,4873,21218
1980-02-29,KEH80,426,426.5,424,424,-3.25,4873,21218
1980-03-03,KEH80,423.5,424,421,421,-3,3486,20737
1980-03-04,KEH80,422,429,422,428.75,7.75,4587,20481
1980-03-05,KEH80,428,430,427.75,430,1.25,2954,20353
1980-03-06,KEH80,429,429.25,424.5,424.5,-5.5,3987,20162
1980-03-07,KEH80,422.5,422.75,420.5,420.5,-4,3933,18899
1980-03-10,KEH80,420,420,409.5,414,-6.5,6199,19777
1980-03-11,KEH80,414.5,416,413.5,414,0,3600,19269
1980-03-12,KEH80,417,417,412,415,1,3757,19544
1980-03-13,KEH80,413.5,413.5,409,411.5,-3.5,4110,20417
1980-03-14,KEK80,425,426.25,424.5,425,13.5,3783,20725
1980-03-17,KEK80,424,424,418.25,419.5,-5.5,3194,20079
1980-03-18,KEK80,420.5,422,419.5,420.75,1.25,3127,19871
1980-03-19,KEK80,423,425.25,422.25,424,3.25,2589,20184
1980-03-20,KEK80,424.5,427.5,417.5,419,-5,3383,20259
1980-03-21,KEK80,418,420.75,416,417.25,-1.75,3274,20432
1980-03-24,KEK80,416,418,414,417.75,0.5,2904,20385
1980-03-25,KEK80,417.5,423,417.5,420,2.25,2556,20524
1980-03-26,KEK80,419.5,419.5,413,413.25,-6.75,4022,21032
1980-03-27,KEK80,409,409,399,403.25,-10,5538,21554
1980-03-28,KEK80,404,407.5,399,399.25,-4,4212,21709
1980-03-31,KEK80,397.5,399.5,388,388.25,-11,6494,21786
1980-04-01,KEK80,387,389.75,384.5,388.25,0,4742,21495
1980-04-02,KEK80,388.5,396.5,388.5,395.25,7,4011,20864
1980-04-03,KEK80,397,407,395.5,406.75,11.5,4310,21345
1980-04-07,KEK80,402.5,411,401.25,401.25,-5.5,3498,21251
1980-04-08,KEK80,417,422,405.5,407.75,6.5,5852,21403
1980-04-09,KEK80,412,418,410,417,9.25,4985,21731
1980-04-10,KEK80,414,414,407,407.25,-9.75,3593,21556
1980-04-11,KEK80,405.5,407.5,400,400.5,-6.75,3261,21771
1980-04-14,KEK80,401,401.5,388,388.5,-12,3391,21900
1980-04-15,KEK80,385,388.5,383.25,386.5,-2,3990,21565
1980-04-16,KEK80,392,395.5,388.5,394.5,8,3614,21266
1980-04-17,KEK80,394,394,388,389,-5.5,3244,21360
1980-04-18,KEK80,382,385,381.5,383.25,-5.75,3211,21457
1980-04-21,KEK80,382.5,394,380,389.75,6.5,5045,21117
1980-04-22,KEK80,389.75,398.5,389.25,396.5,6.75,3390,21292
