"Symbol: HEQ20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,HEG80,41.55,43.175,41.55,43.175,0,7238,24684
1980-01-03,HEG80,43.25,43.675,42.55,42.925,-0.25,6541,24699
1980-01-04,HEG80,42.9,43.45,42.525,42.875,-0.04999999999999716,4598,24775
1980-01-07,HEG80,41.375,41.375,41.375,41.375,-1.5,1178,24599
1980-01-08,HEG80,40.5,42.1,40.05,40.7,-0.6749999999999972,12045,24011
1980-01-09,HEG80,40.8,41.2,40.35,40.975,0.2749999999999986,7379,24051
1980-01-10,HEG80,41.05,42,41.05,41.875,0.8999999999999986,6451,23820
1980-01-11,HEG80,41.8,41.85,40.4,40.45,-1.4249999999999972,4932,23564
1980-01-14,HEG80,40.5,40.75,40,40.65,0.19999999999999574,6879,23979
1980-01-15,HEG80,40.8,40.9,39.725,40.325,-0.32499999999999574,7186,24707
1980-01-16,HEG80,40.2,41.3,40.2,40.7,0.375,6238,24539
1980-01-17,HEG80,40.9,41,39.5,40.2,-0.5,7929,24612
1980-01-18,HEG80,40.5,40.95,40.2,40.45,0.25,5949,25290
1980-01-21,HEG80,40.25,40.85,39.55,40.2,-0.25,5949,25290
1980-01-22,HEG80,40.55,41.2,39.6,41.1,0.8999999999999986,11073,25468
1980-01-23,HEG80,40.8,40.925,40.15,40.6,-0.5,7007,25985
1980-01-24,HEG80,41.2,41.35,40.25,40.275,-0.32500000000000284,7764,26385
1980-01-25,HEG80,40.6,41.1,40,40.1,-0.17499999999999716,6411,26877
1980-01-28,HEG80,40.35,40.35,39.6,39.725,-0.375,7320,27117
1980-01-29,HEG80,39.55,40.175,39.25,40.15,0.42499999999999716,6982,27464
1980-01-30,HEG80,40.2,40.525,39.825,39.925,-0.22500000000000142,5193,27473
1980-01-31,HEG80,40.05,40.55,39.5,39.575,-0.3499999999999943,11759,27387
1980-02-01,HEG80,39.5,39.6,38.85,38.875,-0.7000000000000028,11058,27169
1980-02-04,HEG80,38.5,39.425,38.5,39.3,0.42499999999999716,7932,27369
1980-02-05,HEG80,39.3,39.55,38.85,39.1,-0.19999999999999574,6556,27009
1980-02-06,HEG80,39.55,39.95,39.25,39.275,0.17499999999999716,6620,26772
1980-02-07,HEG80,39.2,39.5,39,39.225,-0.04999999999999716,5171,27301
1980-02-08,HEG80,39.225,39.75,39.225,39.725,0.5,5619,27127
1980-02-11,HEG80,39.65,39.85,39.525,39.7,-0.02499999999999858,4147,26779
1980-02-12,HEG80,39.5,39.65,39.05,39.125,-0.5750000000000028,5012,27268
1980-02-13,HEG80,38.95,39.075,38.8,38.875,-0.25,5533,27591
1980-02-14,HEJ80,38.5,38.65,37.7,38.3,-0.5750000000000028,6518,26945
1980-02-15,HEJ80,38.45,38.525,37.3,37.6,-0.6999999999999957,5998,27015
1980-02-19,HEJ80,37.35,37.5,37,37.4,-0.20000000000000284,5720,26010
1980-02-20,HEJ80,37.4,37.475,37,37.275,-0.125,5375,25838
1980-02-21,HEJ80,37.2,37.6,36.775,37.4,0.125,6296,25751
1980-02-22,HEJ80,37.25,37.45,36.6,36.7,-0.6999999999999957,5327,25692
1980-02-25,HEJ80,36.55,36.975,36.525,36.675,-0.025000000000005684,4095,26039
1980-02-26,HEJ80,36.9,36.95,36.2,36.3,-0.375,5053,26369
1980-02-27,HEJ80,36.2,36.95,36.125,36.825,0.5250000000000057,5958,26806
1980-02-28,HEJ80,37.3,37.6,36.8,37.375,0.5499999999999972,9182,27809
1980-02-29,HEJ80,37.25,37.275,36.675,36.85,-0.5249999999999986,9182,27809
1980-03-03,HEJ80,37,37.675,37,37.425,0.5749999999999957,6607,28084
1980-03-04,HEJ80,37.4,38.25,37.075,37.925,0.5,8247,27967
1980-03-05,HEJ80,38.1,38.1,37.45,37.775,-0.14999999999999858,4014,28289
1980-03-06,HEJ80,37.7,37.775,37.15,37.325,-0.44999999999999574,4113,28500
1980-03-07,HEJ80,37.1,37.5,36.975,37.425,0.09999999999999432,4377,27858
1980-03-10,HEJ80,37.5,37.975,36.4,36.475,-0.9499999999999957,11079,27196
1980-03-11,HEJ80,36.5,36.7,35.8,36.025,-0.45000000000000284,8647,26336
1980-03-12,HEJ80,36.15,36.3,35.6,35.975,-0.04999999999999716,5637,26138
1980-03-13,HEJ80,36.05,36.35,35.7,36.075,0.10000000000000142,5280,26068
1980-03-14,HEJ80,36,36.375,35.8,36.2,0.125,6012,26027
1980-03-17,HEJ80,36,36,35.55,35.6,-0.6000000000000014,6449,25222
1980-03-18,HEJ80,35.5,36.15,35.5,35.925,0.32499999999999574,5676,24868
1980-03-19,HEJ80,35.95,36.6,35.825,36.575,0.6500000000000057,5991,24426
1980-03-20,HEJ80,36.4,36.475,35.075,35.325,-1.25,6587,24282
1980-03-21,HEJ80,34.25,34.3,33.825,33.825,-1.5,3198,24360
1980-03-24,HEJ80,33.5,33.5,32.325,32.6,-1.2250000000000014,6346,24122
1980-03-25,HEJ80,32.8,32.8,31.7,32.375,-0.22500000000000142,9661,23899
1980-03-26,HEJ80,32.25,32.9,32.25,32.675,0.29999999999999716,5933,23720
1980-03-27,HEJ80,32.5,32.5,31.175,31.175,-1.4999999999999964,8197,23366
1980-03-28,HEJ80,30.6,31.15,29.675,29.8,-1.375,8144,22624
1980-03-31,HEJ80,30,30.35,29.4,29.725,-0.07499999999999929,8101,21857
1980-04-01,HEJ80,29.3,29.35,28.25,28.35,-1.375,8062,22296
1980-04-02,HEJ80,27.95,28.15,27.15,27.95,-0.40000000000000213,8631,23146
1980-04-03,HEJ80,28.5,29.45,28.5,29.075,1.125,7025,22913
1980-04-07,HEJ80,30.575,30.575,30.15,30.2,1.125,5169,22915
1980-04-08,HEJ80,29.35,29.6,29.025,29.15,-1.0500000000000007,8860,22665
1980-04-09,HEJ80,29.2,29.95,28.85,29.825,0.6750000000000007,11488,23063
1980-04-10,HEJ80,30,30.1,29.3,29.625,-0.1999999999999993,9227,23318
1980-04-11,HEJ80,29.75,29.75,29.2,29.5,-0.125,7673,23735
1980-04-14,HEM80,34.4,34.75,33.45,34.35,4.850000000000001,9970,23948
1980-04-15,HEM80,34.35,34.65,33.9,34.3,-0.05000000000000426,6091,23876
1980-04-16,HEM80,34.5,35.15,34.25,35.05,0.75,5751,23922
1980-04-17,HEM80,34.5,34.5,33.55,33.7,-1.3499999999999943,6588,23848
1980-04-18,HEM80,33.7,34.2,33.3,33.625,-0.07500000000000284,7244,24204
1980-04-21,HEM80,34.4,35.125,34.25,35.125,1.5,7174,24719
1980-04-22,HEM80,35.4,35.4,34.35,34.75,-0.375,7091,24558
1980-04-23,HEM80,34.45,36,34.4,35.825,1.0750000000000028,8119,25124
1980-04-24,HEM80,35.825,36.3,35.55,35.675,-0.15000000000000568,7780,24633
1980-04-25,HEM80,36,36.8,35.35,36,0.32500000000000284,6105,24181
1980-04-28,HEM80,35.25,35.35,34.6,35.225,-0.7749999999999986,6726,24243
1980-04-29,HEM80,35.35,35.8,34.9,34.95,-0.2749999999999986,5349,24589
1980-04-30,HEM80,34.75,34.9,34.1,34.475,-0.4750000000000014,7738,24795
1980-05-01,HEM80,34.75,34.95,34.325,34.45,-0.02499999999999858,6519,23958
1980-05-02,HEM80,34.75,34.85,33.5,33.975,-0.4750000000000014,7734,24239
1980-05-05,HEM80,33.9,34.475,33.725,34.2,0.22500000000000142,6636,23899
1980-05-06,HEM80,34.2,34.6,33.825,33.875,-0.32500000000000284,4753,23760
1980-05-07,HEM80,34.15,35.2,34,35.1,1.2250000000000014,5671,23780
1980-05-08,HEM80,35,35.4,34.45,34.5,-0.6000000000000014,9212,23629
1980-05-09,HEM80,34.5,35.15,34.45,34.95,0.45000000000000284,5306,23882
1980-05-12,HEM80,35,35.075,34.35,34.55,-0.4000000000000057,4650,24391
