"Symbol: LEQ20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,LEG80,70.2,71.825,70,71.425,0,32032,63761
1980-01-03,LEG80,71.55,72.05,71.175,71.525,0.10000000000000853,23623,64680
1980-01-04,LEG80,71.7,71.7,70.45,70.475,-1.0500000000000114,21434,65094
1980-01-07,LEG80,68.975,68.975,68.975,68.975,-1.5,4815,65614
1980-01-08,LEG80,68,68.7,67.475,67.925,-1.0499999999999972,29978,62998
1980-01-09,LEG80,68.25,68.475,67.4,67.675,-0.25,28439,63971
1980-01-10,LEG80,68.1,68.4,67.5,68.3,0.625,24240,64593
1980-01-11,LEG80,68.55,68.725,66.9,66.95,-1.3499999999999943,27369,65037
1980-01-14,LEG80,66.55,66.85,65.85,66.225,-0.7250000000000085,35539,62132
1980-01-15,LEG80,66.6,66.8,65.75,66.675,0.45000000000000284,33305,62322
1980-01-16,LEG80,66.25,67,65.85,66.425,-0.25,29263,62509
1980-01-17,LEG80,66.15,66.25,64.925,64.925,-1.5,34963,60118
1980-01-18,LEG80,64.85,65.2,63.9,64.075,-0.8499999999999943,28745,60027
1980-01-21,LEG80,63.25,63.825,62.575,62.95,-1.125,28745,60027
1980-01-22,LEG80,63.5,64.45,62.7,64.45,1.5,36779,58275
1980-01-23,LEG80,64.45,64.45,63.1,63.5,-0.9500000000000028,31820,59389
1980-01-24,LEG80,63.8,64.5,63.35,63.775,0.2749999999999986,33462,59295
1980-01-25,LEG80,65,65.275,64.35,64.425,0.6499999999999986,28663,60261
1980-01-28,LEG80,65.2,65.4,64.45,64.875,0.45000000000000284,28613,58660
1980-01-29,LEG80,64.5,64.95,64.3,64.825,-0.04999999999999716,28094,59002
1980-01-30,LEG80,64.65,66.325,64.6,66.25,1.4249999999999972,41715,55714
1980-01-31,LEG80,66.7,67.1,65.5,65.6,-0.6500000000000057,37241,57192
1980-02-01,LEG80,65.35,65.7,65.025,65.475,-0.125,30247,58247
1980-02-04,LEG80,65.475,66.9,65.475,66.825,1.3500000000000085,29241,59805
1980-02-05,LEG80,67,67.175,66.275,66.575,-0.25,27386,59225
1980-02-06,LEG80,67.15,68.075,67.15,68.075,1.5,28465,57998
1980-02-07,LEG80,67.9,68.7,67.8,68.225,0.14999999999999147,29900,58624
1980-02-08,LEG80,68.9,69.15,68.55,68.95,0.7250000000000085,25543,57537
1980-02-11,LEG80,69.3,70.1,69.25,69.85,0.8999999999999915,26835,56602
1980-02-12,LEG80,69.1,69.95,69,69.475,-0.375,28248,57727
1980-02-13,LEG80,69.5,69.675,69.1,69.45,-0.024999999999991473,23596,57142
1980-02-14,LEJ80,72.4,73,71.3,71.6,2.1499999999999915,32620,57696
1980-02-15,LEJ80,71.8,71.8,70.55,70.65,-0.9499999999999886,24864,58015
1980-02-19,LEJ80,70.25,71.35,70.05,71.3,0.6499999999999915,28285,58181
1980-02-20,LEJ80,71.3,71.625,70.75,71.275,-0.024999999999991473,26555,57750
1980-02-21,LEJ80,71.15,71.9,70.8,71.85,0.5749999999999886,27006,57960
1980-02-22,LEJ80,71.475,72.15,70.35,70.35,-1.5,30243,58589
1980-02-25,LEJ80,70,70.25,69.625,69.775,-0.5749999999999886,24765,59383
1980-02-26,LEJ80,70,70.125,69.4,69.475,-0.30000000000001137,23197,59401
1980-02-27,LEJ80,69.25,69.625,68.8,68.9,-0.5749999999999886,27236,59810
1980-02-28,LEJ80,68.8,69.9,68.8,69.375,0.4749999999999943,24222,61318
1980-02-29,LEJ80,69.3,69.35,68.225,68.575,-0.7999999999999972,24222,61318
1980-03-03,LEJ80,69,69.975,68.95,69.925,1.3499999999999943,24831,59637
1980-03-04,LEJ80,69.9,70.9,69.55,70.4,0.4750000000000085,28292,59887
1980-03-05,LEJ80,70.25,70.625,69.95,70.35,-0.05000000000001137,19416,60108
1980-03-06,LEJ80,70.1,70.5,69.7,70.025,-0.32499999999998863,24150,61747
1980-03-07,LEJ80,70.15,70.375,69.375,70.3,0.2749999999999915,24999,60225
1980-03-10,LEJ80,70.5,71,68.85,69.1,-1.2000000000000028,30435,58721
1980-03-11,LEJ80,68.9,69.55,68.55,68.65,-0.44999999999998863,34773,58149
1980-03-12,LEJ80,68.8,69.175,68.125,68.45,-0.20000000000000284,25938,58903
1980-03-13,LEJ80,68.85,69.15,68.6,69,0.5499999999999972,20845,57136
1980-03-14,LEJ80,68.7,68.825,67.775,68.55,-0.45000000000000284,27428,55143
1980-03-17,LEJ80,68.6,68.6,67.15,67.575,-0.9749999999999943,22870,55837
1980-03-18,LEJ80,67.4,68.25,67.05,68.15,0.5750000000000028,27061,54599
1980-03-19,LEJ80,68,68.35,67.4,67.875,-0.2750000000000057,24612,55344
1980-03-20,LEJ80,67.6,67.9,67.425,67.5,-0.375,15338,55193
1980-03-21,LEJ80,66.5,66.5,66,66,-1.5,16586,55252
1980-03-24,LEJ80,65.4,65.85,64.5,64.825,-1.1749999999999972,25013,53849
1980-03-25,LEJ80,65.15,65.4,63.95,65.15,0.32500000000000284,42121,53688
1980-03-26,LEJ80,65,65.8,64.675,65.225,0.07499999999998863,26826,53351
1980-03-27,LEJ80,65,65.45,63.725,63.725,-1.499999999999993,29211,52905
1980-03-28,LEJ80,63.9,64.15,62.225,62.7,-1.0249999999999986,34232,52142
1980-03-31,LEJ80,62.8,63.25,61.5,62.05,-0.6500000000000057,37110,50406
1980-04-01,LEJ80,61.4,61.4,60.55,60.55,-1.5,15262,50305
1980-04-02,LEJ80,59.05,59.05,59.05,59.05,-1.5,9964,51745
1980-04-03,LEJ80,58.5,60.55,58.5,60.55,1.5,26310,49077
1980-04-07,LEJ80,62.05,62.05,62.05,62.05,1.5,3619,48718
1980-04-08,LEJ80,63.55,63.55,62.5,62.75,0.7000000000000028,38353,46979
1980-04-09,LEJ80,62.3,62.45,61.25,62.15,-0.6000000000000014,34005,47799
1980-04-10,LEJ80,63.1,63.65,62.6,63.65,1.5,19557,46987
1980-04-11,LEJ80,63.95,65.15,63.95,65.15,1.500000000000007,28556,48795
1980-04-14,LEM80,64.4,65.75,63.8,65.675,0.5249999999999915,26147,49030
1980-04-15,LEM80,64.95,65.475,64.75,64.875,-0.7999999999999972,30073,48308
1980-04-16,LEM80,65.4,65.975,64.95,65.55,0.6749999999999972,31083,48298
1980-04-17,LEM80,65.2,65.35,64.05,64.05,-1.5,28264,49027
1980-04-18,LEM80,64.05,64.1,62.75,62.825,-1.2249999999999943,27536,49274
1980-04-21,LEM80,63.25,64.325,63.15,64.325,1.5,24745,50229
1980-04-22,LEM80,64.5,65.1,63.8,65,0.6749999999999972,34284,50781
1980-04-23,LEM80,64.6,66.5,64.6,66.4,1.4000000000000057,39650,50869
1980-04-24,LEM80,67,67.2,66.2,66.55,0.14999999999999147,34342,51416
1980-04-25,LEM80,66.8,67,65.25,66.45,-0.09999999999999432,25933,51161
1980-04-28,LEM80,66.1,66.5,65.35,66.4,-0.04999999999999716,25331,53436
1980-04-29,LEM80,66.35,66.675,65.6,65.75,-0.6500000000000057,24801,52431
1980-04-30,LEM80,65.3,65.8,64.7,64.825,-0.9249999999999972,30812,55582
1980-05-01,LEM80,64.95,65.225,64.05,64.125,-0.7000000000000028,31892,56276
1980-05-02,LEM80,64,64.375,62.8,63.55,-0.5750000000000028,33359,55875
1980-05-05,LEM80,63.15,64.25,62.9,64.15,0.6000000000000085,26851,55667
1980-05-06,LEM80,64.25,64.375,63.25,63.325,-0.8250000000000028,24784,56487
1980-05-07,LEM80,63.45,64.825,63.35,64.825,1.5,25471,58836
1980-05-08,LEM80,65.4,66.325,65.075,66.325,1.5,33236,57966
1980-05-09,LEM80,66.2,67.325,65.9,67.175,0.8499999999999943,28556,58962
1980-05-12,LEM80,67,67.5,66.6,67.35,0.17499999999999716,20916,57817
1980-05-13,LEM80,67,67,66.225,66.725,-0.625,23900,58714
