"Symbol: NQU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1999-06-21,NQU99,2257.5,2296,2248.5,2294,0,2136,245
1999-06-22,NQU99,2292,2310,2238,2241.5,-52.5,4432,537
1999-06-23,NQU99,2240,2264.5,2215,2259.5,18,4625,685
1999-06-24,NQU99,2260,2263,2208.5,2218.5,-41,4395,762
1999-06-25,NQU99,2216,2252.5,2194,2215,-3.5,2751,1003
1999-06-28,NQU99,2231.5,2267.5,2213.5,2262,47,4239,1235
1999-06-29,NQU99,2260,2304.5,2252,2294,32,3371,1299
1999-06-30,NQU99,2293.5,2348.5,2268.5,2327,33,3371,1299
1999-07-01,NQU99,2293.5,2348.5,2268.5,2327,0,2456,1445
1999-07-02,NQU99,2330,2380,2330,2377.5,50.5,1248,1495
1999-07-06,NQU99,2383.5,2410,2347,2365,-12.5,1248,1495
1999-07-07,NQU99,2365,2375.5,2341,2362.5,-2.5,3440,1675
1999-07-08,NQU99,2368,2405,2350.5,2391,28.5,3604,2047
1999-07-09,NQU99,2392,2419.5,2384,2418.5,27.5,2126,2159
1999-07-12,NQU99,2419,2437,2389,2404,-14.5,3650,2166
1999-07-13,NQU99,2409.5,2409.5,2372.5,2393.5,-10.5,3552,2236
1999-07-14,NQU99,2392.5,2438,2382,2437,43.5,3067,2380
1999-07-15,NQU99,2435,2456.5,2428.5,2455,18,2875,2330
1999-07-16,NQU99,2451.5,2489.5,2446.5,2472,17,1798,2485
1999-07-19,NQU99,2474,2489,2442,2453.5,-18.5,2699,2635
1999-07-20,NQU99,2448.5,2450.5,2349,2354,-99.5,3934,2653
1999-07-21,NQU99,2356,2387.5,2342,2370.5,16.5,3047,2743
1999-07-22,NQU99,2370,2373,2298.5,2308.5,-62,3224,2720
1999-07-23,NQU99,2305,2333,2283.5,2309,0.5,2485,2788
1999-07-26,NQU99,2311,2317,2249,2253,-56,2851,2935
1999-07-27,NQU99,2255,2332.5,2255,2306.5,53.5,3644,2857
1999-07-28,NQU99,2310.5,2356,2292,2340,33.5,3190,2961
1999-07-29,NQU99,2339,2342,2269,2288,-52,3528,3147
1999-07-30,NQU99,2296,2327,2277,2278,-10,2712,3234
1999-08-02,NQU99,2276.5,2325,2260.5,2272,-6,3088,3330
1999-08-03,NQU99,2274,2302.5,2224,2258,-14,4979,3562
1999-08-04,NQU99,2257,2273.5,2212,2216,-42,3463,3689
1999-08-05,NQU99,2216,2244,2164.5,2243.5,27.5,4686,3886
1999-08-06,NQU99,2242.5,2273.5,2211,2220,-23.5,3736,3893
1999-08-09,NQU99,2220,2244,2193,2195,-25,4113,3923
1999-08-10,NQU99,2194.5,2207.5,2132,2174.5,-20.5,3989,4146
1999-08-12,NQU99,2247,2272.5,2219.5,2220,45.5,4343,4181
1999-08-13,NQU99,2221,2319.5,2209,2319,99,2948,4374
1999-08-16,NQU99,2320,2348,2303,2339.5,20.5,3878,4228
1999-08-17,NQU99,2338,2359,2289,2341.5,2,4602,4367
1999-08-18,NQU99,2350,2363.5,2320,2323.5,-18,3718,4414
1999-08-19,NQU99,2322,2329,2278,2290.5,-33,4291,4579
1999-08-20,NQU99,2291,2420,2282.5,2328,37.5,1928,4640
1999-08-23,NQU99,2329,2399.5,2325,2399.5,71.5,2778,4847
1999-08-24,NQU99,2402,2444.5,2379.5,2417,17.5,3530,4706
1999-08-25,NQU99,2415,2476.5,2406.5,2470.5,53.5,3040,4924
1999-08-26,NQU99,2470,2477.5,2425,2428,-42.5,3324,4765
1999-08-27,NQU99,2425,2449,2399.5,2406,-22,3282,4821
1999-08-30,NQU99,2405,2421,2363,2374,-32,3161,4807
1999-08-31,NQU99,2379,2409,2332.5,2393,19,4644,4840
1999-09-01,NQU99,2395,2432,2389,2414,21,4282,4952
1999-09-02,NQU99,2413.5,2416.5,2362,2401.5,-12.5,3405,5022
1999-09-03,NQU99,2403.5,2513,2396,2513,111.5,2645,5262
1999-09-07,NQU99,2520,2531,2497,2502.5,-10.5,3415,5489
1999-09-08,NQU99,2500,2508.5,2456,2469,-33.5,4601,5192
1999-09-09,NQU99,2465,2507,2454,2506,37,2758,5416
1999-09-10,NQU99,2505,2564,2502,2537,31,3311,3874
1999-09-13,NQZ99,2565,2572,2518,2525.5,-11.5,3783,4022
1999-09-14,NQZ99,2529,2561,2509.5,2545,19.5,4555,4287
1999-09-15,NQZ99,2544,2579.5,2491,2495,-50,5196,4700
1999-09-16,NQZ99,2493,2513,2442.5,2494,-1,6026,4722
1999-09-17,NQZ99,2497,2574,2492.5,2570,76,3101,5053
1999-09-20,NQZ99,2568.5,2588,2551,2571.5,1.5,2335,5029
1999-09-21,NQZ99,2578,2578,2503,2510,-61.5,5116,1887
1999-09-22,NQZ99,2510,2548.5,2483,2538,28,5365,1837
1999-09-23,NQZ99,2537,2567,2505.5,2507.5,-30.5,6163,1770
1999-09-24,NQZ99,2433,2439.5,2375,2425,-82.5,5969,1759
1999-09-27,NQZ99,2427,2486.5,2427,2451.5,26.5,5198,2110
1999-09-28,NQZ99,2451,2470,2386,2463,11.5,5805,2392
1999-09-29,NQZ99,2464,2476.5,2415,2417,-46,5981,2351
1999-09-30,NQZ99,2417,2462.5,2405,2438.5,21.5,5848,2333
1999-10-01,NQZ99,2436.5,2440,2379.5,2431.5,-7,4173,2360
1999-10-04,NQZ99,2431.5,2499.5,2424.5,2496,64.5,3672,2382
1999-10-05,NQZ99,2496,2535.5,2458,2508.5,12.5,5345,2426
1999-10-06,NQZ99,2504.5,2559,2501,2544,35.5,4550,2476
1999-10-07,NQZ99,2555.5,2599,2533,2549,5,5932,2765
1999-10-08,NQZ99,2550,2580.5,2505,2580.5,31.5,5270,2909
1999-10-11,NQZ99,2578,2596.5,2568,2592,11.5,2303,2761
1999-10-12,NQZ99,2609,2617,2571,2574.5,-17.5,5027,2886
1999-10-13,NQZ99,2532,2554.5,2465.5,2475,-99.5,6726,3042
1999-10-14,NQZ99,2486,2508,2445,2494.5,19.5,6473,3200
1999-10-15,NQZ99,2495,2498.5,2405,2417,-77.5,4702,3437
1999-10-18,NQZ99,2341.5,2341.5,2341,2341,-76,6293,3469
1999-10-19,NQZ99,2380.5,2424,2359.5,2382.5,41.5,5849,3448
1999-10-20,NQZ99,2396,2492,2396,2471,88.5,5597,3321
1999-10-21,NQZ99,2470.5,2470.5,2413,2434.5,-36.5,5455,3321
1999-10-22,NQZ99,2511,2547,2493,2496.5,62,3986,3159
1999-10-25,NQZ99,2497.5,2519,2470,2513.5,17,4623,3258
1999-10-26,NQZ99,2499.5,2545,2476,2476.5,-37,4966,3216
1999-10-27,NQZ99,2475,2489,2438,2478,1.5,4763,3170
1999-10-28,NQZ99,2478,2564.5,2457,2562,84,4413,3282
1999-10-29,NQZ99,2560,2672,2551,2655.5,93.5,4411,3526
1999-11-01,NQZ99,2650,2682.5,2633,2639,-16.5,3570,3342
1999-11-02,NQZ99,2633,2684.5,2626.5,2643,4,5503,3591
1999-11-03,NQZ99,2641,2705.5,2640,2695,52,4813,3908
1999-11-04,NQZ99,2693.5,2732,2692,2723,28,4588,3630
1999-11-05,NQZ99,2723,2784,2710,2784,61,3888,3954
1999-11-08,NQZ99,2750.5,2810,2740.5,2808,24,4281,4200
1999-11-09,NQZ99,2805,2847.5,2753,2785,-23,5861,4197
1999-11-10,NQZ99,2786,2838.5,2770,2818.5,33.5,5625,4299
1999-11-11,NQZ99,2810.5,2869,2810.5,2866.5,48,4748,4867
1999-11-12,NQZ99,2864,2910,2802,2905,38.5,6267,5173
1999-11-15,NQZ99,2908.5,2918,2883.5,2898,-7,4665,4943
1999-11-16,NQZ99,2892,2984,2889,2976,78,5630,5152
1999-11-17,NQZ99,2979.5,2985,2920,2931,-45,5607,5087
1999-11-18,NQZ99,2929.5,3021,2923.5,3018.5,87.5,7529,5397
1999-11-19,NQZ99,3015,3049,2992.5,3044,25.5,5794,5661
1999-11-22,NQZ99,3052,3069.5,3019,3065.5,21.5,5220,5803
1999-11-23,NQZ99,3066,3078,2982.5,3013,-52.5,7267,5812
1999-11-24,NQZ99,3011,3123,2990,3119,106,6057,6790
1999-11-26,NQZ99,3132,3165,3112.5,3121,2,2107,6862
1999-11-29,NQZ99,3124,3142.5,3067,3070,-51,7125,6779
1999-11-30,NQZ99,3071,3079,2968,2972,-98,9123,6943
1999-12-01,NQZ99,2971,3030,2961.5,3014,42,9496,7358
1999-12-02,NQZ99,3015.5,3115,3010.5,3111,97,7467,7766
1999-12-03,NQZ99,3110,3218.5,3094,3174,63,8352,8573
1999-12-06,NQZ99,3174.5,3229,3157,3202.5,28.5,7724,8929
1999-12-07,NQZ99,3200,3227,3160.5,3209.5,7,11031,9672
1999-12-08,NQZ99,3205,3228,3160,3165.5,-44,10787,9423
1999-12-09,NQZ99,3162,3223.5,3105,3169,3.5,9374,9441
1999-12-10,NQZ99,3160,3220,3131,3198,29,9208,10408
1999-12-13,NQH00,3252,3307.5,3223,3290.5,92.5,9826,10657
1999-12-14,NQH00,3285,3324,3210.5,3224,-66.5,11611,9775
1999-12-15,NQH00,3226,3287,3169,3280.5,56.5,12715,10135
1999-12-16,NQH00,3282,3383,3276,3382,101.5,10945,11193
1999-12-17,NQH00,3383,3458.5,3379,3412,30,8364,11627
1999-12-20,NQH00,3400,3456.5,3391,3447,35,7837,12351
1999-12-21,NQH00,3439,3597.5,3431.5,3592,145,8968,6415
1999-12-22,NQH00,3594,3626,3549.5,3618.5,26.5,8637,6672
1999-12-23,NQH00,3613.5,3682,3599.5,3636.5,18,5642,6949
1999-12-27,NQH00,3635.5,3678.5,3566,3641,4.5,8313,6766
1999-12-28,NQH00,3635,3674,3596,3622,-19,8107,6400
1999-12-29,NQH00,3621.5,3748,3611.5,3744,122,7255,6750
1999-12-30,NQH00,3744.5,3804.5,3720,3735,-9,7790,7114
1999-12-31,NQH00,3728.5,3772,3722.5,3754,19,3539,6700
2000-01-03,NQH00,3750,3880,3681,3773.5,19.5,15416,7461
2000-01-04,NQH00,3676,3842.5,3525,3557.5,-216,15455,7655
2000-01-05,NQH00,3557.5,3618,3395,3512.5,-45,15273,7474
2000-01-06,NQH00,3493,3553,3282.5,3315.5,-197,15551,8245
2000-01-07,NQH00,3284.5,3574.5,3257,3562,246.5,14128,8360
2000-01-10,NQH00,3561,3752.5,3554.5,3741,179,15743,8600
2000-01-11,NQH00,3688,3766,3542,3575,-166,16840,8520
2000-01-12,NQH00,3576,3615,3476,3508,-67,15547,8238
2000-01-13,NQH00,3508,3651,3502,3644,136,13409,8268
2000-01-14,NQH00,3660,3785,3645,3752.5,108.5,12244,9095
2000-01-18,NQH00,3760,3819.5,3669.5,3800,47.5,14824,9732
2000-01-19,NQH00,3800.5,3850.5,3741,3844.5,44.5,14309,9550
2000-01-20,NQH00,3847,3913,3811,3880,35.5,16054,9142
2000-01-21,NQH00,3870,3914,3824,3893,13,10416,8897
2000-01-24,NQH00,3891.5,3938,3675.5,3682,-211,15881,8524
2000-01-25,NQH00,3675,3797,3606.5,3791.5,109.5,17930,8396
2000-01-26,NQH00,3775,3787.5,3637.5,3654.5,-137,14483,8994
2000-01-27,NQH00,3628.5,3734,3592,3636,-18.5,15985,8556
2000-01-28,NQH00,3640.5,3685,3409,3475,-161,16259,9040
2000-01-31,NQH00,3462,3620,3371,3612.5,137.5,17841,8888
2000-02-01,NQH00,3606.5,3735,3564,3723.5,111,13664,6795
2000-02-02,NQH00,3719.5,3816,3692,3734,10.5,13436,6793
2000-02-03,NQH00,3734,3892.5,3713,3892.5,158.5,16812,7565
2000-02-04,NQH00,3888,3960,3861,3906.5,14,11607,7815
2000-02-07,NQH00,3906.5,3958.5,3875.5,3957,50.5,10266,8330
2000-02-08,NQH00,3944.5,4098.5,3942,4095,138,15070,9720
2000-02-09,NQH00,4100,4144,3976.5,3976.5,-118.5,19889,9679
2000-02-10,NQH00,3971,4116,3968,4112,135.5,18454,9841
2000-02-11,NQH00,4109,4140,3950,3992.5,-119.5,18762,9803
2000-02-14,NQH00,3983.5,4028,3934,4003.5,11,18158,9494
2000-02-15,NQH00,3999.5,4050,3861,4036.5,33,23418,9714
2000-02-16,NQH00,4034.5,4087,3995,4020.5,-16,19888,9198
2000-02-17,NQH00,4026,4146,4011,4106.5,86,18302,9618
2000-02-18,NQH00,4110,4141,3962.5,3968,-138.5,18802,9634
2000-02-22,NQH00,3966,4018,3865.5,3967.5,-0.5,22668,9177
2000-02-23,NQH00,3977,4218,3962,4187.5,220,23908,10784
2000-02-24,NQH00,4189.5,4292.5,4106.5,4292.5,105,28265,11262
2000-02-25,NQH00,4283.5,4316,4130,4194,-98.5,22381,10365
2000-02-28,NQH00,4182.5,4243,4029,4158,-36,27386,9872
2000-02-29,NQH00,4164.5,4301,4158.5,4301,143,20459,9535
2000-03-01,NQH00,4298,4353,4273,4325.5,24.5,18897,10514
2000-03-02,NQH00,4325,4338,4204,4225,-100.5,22467,10903
2000-03-03,NQH00,4230,4458,4210,4454.5,229.5,21472,10720
2000-03-06,NQH00,4447,4541,4431,4497.5,43,21744,11818
2000-03-07,NQH00,4483.5,4570.5,4361,4392.5,-105,28433,11868
2000-03-08,NQH00,4387.5,4465,4272,4457.5,65,27534,11945
2000-03-09,NQH00,4457,4615,4376.5,4608,150.5,20397,12732
2000-03-10,NQH00,4593,4668,4555,4605,-3,23731,13726
2000-03-13,NQM00,4656,4665,4480,4522.5,-82.5,25865,14836
2000-03-14,NQM00,4510.5,4604,4282,4300,-222.5,30201,14803
2000-03-15,NQM00,4304,4357,4145.5,4162.5,-137.5,34135,14859
2000-03-16,NQM00,4172,4432.5,4108,4414.5,252,32358,15072
