"Symbol: N6U20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1997-05-07,N6M97,0.6864001,0.6864001,0.6864001,0.6864001,0,6,3
1997-05-08,N6M97,0.684,0.6856,0.684,0.684,-0.002400099999999905,7,9
1997-05-09,N6M97,0.6863,0.688,0.686,0.6865,0.0024999999999999467,,9
1997-05-12,N6M97,0.6932001,0.6942,0.6932001,0.6942,0.00770000000000004,,9
1997-05-13,N6M97,0.6952,0.6952,0.6941,0.6941,-0.00009999999999998899,,9
1997-05-14,N6M97,0.6935,0.6955,0.6935,0.6955,0.0013999999999999568,2,10
1997-05-15,N6M97,0.6952,0.6965,0.6945,0.6952,-0.00029999999999996696,10,15
1997-05-16,N6M97,0.694,0.694,0.694,0.694,-0.0012000000000000899,6,21
1997-05-19,N6M97,0.6900001,0.692,0.6900001,0.692,-0.0020000000000000018,,21
1997-05-20,N6M97,0.6915,0.692,0.6915,0.692,0,11,22
1997-05-21,N6M97,0.6945,0.6945,0.6945,0.6945,0.0025000000000000577,,22
1997-05-22,N6M97,0.6965,0.6965,0.6935,0.6945,0,64,86
1997-05-23,N6M97,0.6895,0.6895,0.6895,0.6895,-0.0050000000000000044,,
1997-05-26,N6M97,0.6895,0.6895,0.6895,0.6895,0,,
1997-05-27,N6M97,0.6895,0.6900001,0.6895,0.6895,0,,
1997-05-30,N6M97,0.6895,0.6895,0.6895,0.6895,0,,98
1997-06-02,N6M97,0.6878,0.6895,0.6865,0.6895,0,,98
1997-06-03,N6M97,0.6895,0.6900001,0.687,0.6895,0,,98
1997-06-04,N6M97,0.6895,0.6895,0.688,0.6895,0,11,102
1997-06-05,N6M97,0.6875001,0.6875001,0.686,0.6875001,-0.0019999000000000544,,102
1997-06-06,N6M97,0.6888,0.6899,0.6888,0.6888,0.0012999000000000205,24,116
1997-06-09,N6M97,0.6900001,0.6905,0.6900001,0.6900001,0.0012001000000000372,6,118
1997-06-10,N6U97,0.689,0.689,0.689,0.689,-0.0010001000000000593,10,116
1997-06-11,N6U97,0.6900001,0.6905,0.6900001,0.6900001,0.0010001000000000593,7,117
1997-06-12,N6U97,0.6900001,0.6900001,0.6900001,0.6900001,0,144,110
1997-06-13,N6U97,0.6900001,0.6900001,0.6875001,0.6900001,0,1,110
1997-06-16,N6U97,0.6895,0.6895,0.689,0.6895,-0.0005001000000000033,,110
