"Symbol: NYU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1991-01-02,NYH91,24395,24395,24150,24250,0,,
1991-01-03,NYH91,24550,24550,24150,24170,-80,,
1991-01-04,NYH91,24600,24700,24360,24700,530,,
1991-01-07,NYH91,23990,24075,23800,23800,-900,703,4381
1991-01-08,NYH91,23200,23435,23175,23220,-580,938,4192
1991-01-09,NYH91,23800,24120,22600,22630,-590,1610,4380
1991-01-10,NYH91,23475,23530,23450,23530,900,387,4458
1991-01-11,NYH91,23510,23775,23510,23760,230,512,4488
1991-01-14,NYH91,23190,23300,22950,23290,-470,748,4494
1991-01-15,NYH91,23200,23350,23110,23220,-70,357,4548
1991-01-16,NYH91,22695,23125,22695,23000,-220,563,4638
1991-01-17,NYH91,23900,23900,23900,23900,900,153,4352
1991-01-18,NYH91,24195,24690,24110,24660,760,153,4273
1991-01-21,NYH91,23760,23990,23760,23900,-760,497,4097
1991-01-22,NYH91,23805,23890,23525,23535,-365,615,4341
1991-01-23,NYH91,23490,23690,23490,23610,75,335,4370
1991-01-24,NYH91,23865,24130,23855,24015,405,788,4371
1991-01-25,NYH91,24100,24150,23990,24135,120,477,4182
1991-01-28,NYH91,23900,24000,23830,23905,-230,416,4191
1991-01-29,NYH91,23850,23850,23765,23830,-75,195,4179
1991-01-30,NYH91,23910,24140,23900,24140,310,518,4022
1991-01-31,NYH91,23550,23655,23535,23645,-495,580,4096
1991-02-01,NYH91,23650,23675,23360,23550,-95,580,4096
1991-02-04,NYH91,23650,23950,23640,23915,365,480,4162
1991-02-05,NYH91,24225,24400,24180,24400,485,674,4295
1991-02-06,NYH91,24180,24515,24130,24440,40,1180,4305
1991-02-07,NYH91,24480,24720,24285,24300,-140,1423,4526
1991-02-08,NYH91,24500,24660,24460,24640,340,1454,4758
1991-02-11,NYH91,24725,25060,24700,24805,165,1036,4933
1991-02-12,NYH91,25025,25245,24975,25100,295,1439,4864
1991-02-13,NYH91,25350,25680,25290,25615,515,1725,5215
1991-02-14,NYH91,25515,25655,25435,25435,-180,1962,5379
1991-02-15,NYH91,25650,26000,25540,25930,495,1783,6212
1991-02-19,NYH91,26500,26580,26410,26485,555,1348,6552
1991-02-20,NYH91,26350,26350,26120,26195,-290,947,6508
1991-02-21,NYH91,26310,26475,26235,26240,45,1255,6814
1991-02-22,NYH91,26160,26310,26050,26120,-120,1808,6881
1991-02-25,NYH91,26830,26830,26605,26750,630,2339,7563
1991-02-26,NYH91,26375,26375,26155,26200,-550,1579,7426
1991-02-27,NYH91,26280,26630,26200,26485,285,1824,7406
1991-02-28,NYH91,26525,26575,26100,26100,-385,1298,7349
1991-03-01,NYM91,26450,26600,26350,26575,475,1856,7361
1991-03-04,NYM91,26700,26700,26630,26690,115,1468,7202
1991-03-05,NYM91,26750,27120,26750,26970,280,932,7109
1991-03-06,NYM91,27350,27350,27130,27150,180,2137,7074
1991-03-07,NYM91,27050,27050,26905,27030,-120,1786,7433
1991-03-08,NYM91,27175,27300,27060,27100,70,627,7346
1991-03-11,NYM91,27280,27290,27170,27190,90,357,4064
1991-03-12,NYM91,27240,27240,27140,27170,-20,321,4131
1991-03-13,NYM91,26990,27260,26970,27255,85,517,4302
1991-03-14,NYM91,27350,27410,27180,27220,-35,526,4262
1991-03-15,NYM91,27700,27725,27610,27620,400,604,4373
1991-03-18,NYM91,27790,27800,27675,27765,145,495,4406
1991-03-19,NYM91,27525,27580,27250,27400,-365,696,4682
1991-03-20,NYM91,27245,27430,27215,27305,-95,733,4866
1991-03-21,NYM91,27400,27540,27350,27410,105,680,4939
1991-03-22,NYM91,27395,27425,27255,27335,-75,405,4850
1991-03-25,NYM91,27320,27350,27260,27325,-10,170,4845
1991-03-26,NYM91,26980,27190,26975,27190,-135,685,4943
1991-03-27,NYM91,26800,26870,26650,26670,-520,928,5031
1991-03-28,NYM91,26695,26710,26500,26550,-120,823,5120
1991-04-01,NYM91,26350,26420,26225,26265,-285,213,5158
1991-04-02,NYM91,26780,27050,26700,27010,745,882,5487
1991-04-03,NYM91,27355,27415,27180,27180,170,912,5571
1991-04-04,NYM91,27250,27285,27125,27230,50,615,5658
