"Symbol: QRU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2001-06-25,QRH02,660.5,660.5,654.25,654.25,0,,
2001-06-26,QRH02,646.75,652,646.75,652,-2.25,,
2001-06-27,QRH02,651.5,651.5,651.5,651.5,-0.5,,
2001-06-28,QRH02,653,655.5,653,655.5,4,,
2001-06-29,QRH02,658.5,659.1,658.5,659.1,3.6000000000000227,,
2001-07-02,QRH02,659.5,666.5,659.5,666.5,7.399999999999977,,
2001-07-03,QRH02,663.5,665.5,663.5,665.5,-1,,
2001-07-05,QRH02,658.75,658.75,652.75,652.75,-12.75,,
2001-07-06,QRH02,650.5,650.5,638.5,638.5,-14.25,,
2001-07-09,QRH02,640.25,642,640.25,642,3.5,,
2001-07-10,QRH02,643.5,643.5,633.75,633.75,-8.25,,
2001-07-11,QRH02,632.5,633.25,632.5,633.25,-0.5,,
2001-07-12,QRH02,637.5,649.5,637.5,649.5,16.25,,
2001-07-13,QRH02,645,653.75,645,653.75,4.25,,
2001-07-16,QRH02,650.75,650.75,645.75,645.75,-8,,
2001-07-17,QRH02,642,651,642,651,5.25,,
2001-07-18,QRH02,643.5,647,643.5,647,-4,,
2001-07-19,QRH02,650.5,651.5,650.5,651.5,4.5,,
2001-07-20,QRH02,646.75,646.75,646.75,646.75,-4.75,,
2001-07-23,QRH02,648.75,648.75,636,636,-10.75,,
2001-07-24,QRH02,635.75,635.75,627.75,627.75,-8.25,,
2001-07-25,QRH02,626.75,633.75,626.75,633.75,6,,
2001-07-26,QRH02,631.5,641.75,631.5,641.75,8,,
2001-07-27,QRH02,640.75,644.5,640.75,644.5,2.75,,
2001-07-30,QRH02,645.75,645.75,644,644,-0.5,,
2001-07-31,QRH02,643,647.3,643,647.3,3.2999999999999545,,
2001-08-01,QRH02,648,651,648,651,3.7000000000000455,,
2001-08-02,QRH02,655,655,653.15,653.15,2.1499999999999773,,
2001-08-03,QRH02,650.25,650.25,650,650,-3.1499999999999773,,
2001-08-06,QRH02,645.5,645.5,641.5,641.5,-8.5,,
2001-08-07,QRH02,640.25,643.5,640.25,643.5,2,,
2001-08-08,QRH02,639,639,631,631,-12.5,,
2001-08-09,QRH02,630.25,633.5,630.25,633.5,2.5,,
2001-08-10,QRH02,631.25,634.3,631.25,634.3,0.7999999999999545,,
2001-08-13,QRH02,633.55,634.3,633.55,634.3,0,,
2001-08-14,QRH02,636.55,636.55,634.3,634.3,0,,
2001-08-15,QRH02,633.05,633.05,628.3,628.3,-6,,
2001-08-16,QRH02,624.55,629.8,624.55,629.8,1.5,,
2001-08-17,QRH02,623.3,623.3,619.8,619.8,-10,,
2001-08-20,QRH02,618.05,624.8,618.05,624.8,5,,
2001-08-21,QRH02,623.3,623.3,614.8,614.8,-10,,
2001-08-22,QRH02,617.8,621.55,617.8,621.55,6.75,,
2001-08-23,QRH02,618.3,619.8,618.3,619.8,-1.75,,
2001-08-24,QRH02,620.8,630.8,620.8,630.8,11,,
2001-08-27,QRH02,630.3,630.3,628.05,628.05,-2.75,,
2001-08-28,QRH02,627.05,627.05,619.25,619.25,-8.799999999999955,,
2001-08-29,QRH02,622,622,613.75,613.75,-5.5,,
2001-08-30,QRH02,610,610,602.3,602.3,-11.450000000000045,,
2001-08-31,QRH02,601.3,605.2,601.3,605.2,2.900000000000091,,
2001-09-04,QRH02,605.1,605.1,602.85,602.85,-2.3500000000000227,,
2001-09-05,QRH02,605.1,605.1,603.4,603.4,0.5499999999999545,,
2001-09-06,QRH02,595.9,595.9,587.8,587.8,-15.600000000000023,,
2001-09-07,QRH02,583.55,583.55,577.5,577.5,-10.299999999999955,,
