"Symbol: EWU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2002-01-28,EWH02,510.4,510.4,505.6,509,0,119,68
2002-01-29,EWH02,509,509.6,496.7,498.8,-10.199999999999989,93,103
2002-01-30,EWH02,497,504.8,492.1,504.8,6,368,343
2002-01-31,EWH02,504,507,503.5,505.6,0.8000000000000114,201,474
2002-02-01,EWH02,506.3,507.7,502.9,504.9,-0.7000000000000455,48,562
2002-02-04,EWH02,500.5,500.6,492.9,494,-10.899999999999977,259,561
2002-02-05,EWH02,490.2,496.7,490.2,493.5,-0.5,116,523
2002-02-06,EWH02,494.5,494.5,487.5,488.5,-5,156,611
2002-02-07,EWH02,488.5,489,481,483.5,-5,82,655
2002-02-08,EWH02,486.6,498.1,486.3,498.1,14.600000000000023,193,720
2002-02-11,EWH02,496.9,503.5,496.5,502.5,4.399999999999977,136,748
2002-02-12,EWH02,502.5,504,498.8,500.6,-1.8999999999999773,111,798
2002-02-13,EWH02,503.4,506.8,502.6,506.8,6.199999999999989,47,801
2002-02-14,EWH02,506.5,509.1,503.8,503.8,-3,237,945
2002-02-15,EWH02,503.5,504.2,499.2,499.5,-4.300000000000011,241,942
2002-02-19,EWH02,498,498,490.1,491.3,-8.199999999999989,327,988
2002-02-20,EWH02,493.8,499.6,489.1,499.6,8.300000000000011,501,995
2002-02-21,EWH02,498.5,499.9,490.1,490.1,-9.5,501,1060
2002-02-22,EWH02,491,498,490,496.5,6.399999999999977,315,1077
2002-02-25,EWH02,498.7,503.5,497.8,503,6.5,150,1085
2002-02-26,EWH02,504.5,507.7,501.8,506.1,3.1000000000000227,101,1031
2002-02-27,EWH02,508.7,511.9,506.5,508.4,2.2999999999999545,213,1055
2002-02-28,EWH02,508.5,510.6,504.7,505.5,-2.8999999999999773,155,1073
2002-03-01,EWH02,505.6,516.9,505.6,516.8,11.299999999999955,271,1158
2002-03-04,EWH02,519.5,529.4,518.4,528,11.200000000000045,508,1191
2002-03-05,EWH02,527.5,532.1,527,528.3,0.2999999999999545,270,1305
2002-03-06,EWH02,527.5,535.7,525,534.5,6.2000000000000455,465,1468
2002-03-07,EWH02,536,538,533.1,534,-0.5,185,1483
2002-03-08,EWH02,536.3,539.2,535.6,536.9,2.8999999999999773,179,1544
2002-03-11,EWH02,536.6,536.6,536.6,536.6,-0.2999999999999545,407,1587
2002-03-12,EWH02,536.8,536.8,535.8,535.8,-0.8000000000000682,402,1513
2002-03-13,EWH02,533,533,533,533,-2.7999999999999545,339,1586
2002-03-14,EWH02,533.8,533.8,533.8,533.8,0.7999999999999545,142,1590
2002-03-15,EWM02,536,539.9,534.5,538.6,4.800000000000068,311,1662
2002-03-18,EWM02,541.5,543.5,538.2,543.3,4.699999999999932,254,542
2002-03-19,EWM02,545,545.6,542.3,545,1.7000000000000455,166,563
2002-03-20,EWM02,544.2,544.2,536.6,537,-8,720,656
2002-03-21,EWM02,537.2,541.6,533.8,541.3,4.2999999999999545,314,576
2002-03-22,EWM02,540.5,541.2,536.7,537.5,-3.7999999999999545,231,499
2002-03-25,EWM02,537,537.5,528.3,529.5,-8,573,776
2002-03-26,EWM02,529.4,535.6,529.3,535.5,6,497,711
