"Symbol: ESU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1997-09-09,ESZ97,943.5,949,941.5,944,0,7494,1382
1997-09-10,ESZ97,942.75,943.25,925,925,-19,11823,2707
1997-09-11,ESZ97,926.25,929.75,910.25,918.25,-6.75,14944,5458
1997-09-12,ESZ97,916.25,936.5,913.5,934.75,16.5,10873,6222
1997-09-15,ESZ97,931.25,939.75,929,930.25,-4.5,9119,5925
1997-09-16,ESZ97,931,960,930.25,956.75,26.5,12228,7578
1997-09-17,ESZ97,955.5,962.5,951.5,956,-0.75,11438,7806
1997-09-18,ESZ97,955,970.5,954.75,959,3,12307,8669
1997-09-19,ESZ97,958.25,963.25,953,960.5,1.5,10005,8373
1997-09-22,ESZ97,960.25,972,960.25,965.75,5.25,12131,8530
1997-09-23,ESZ97,966,967.25,956.5,962.5,-3.25,10203,5684
1997-09-24,ESZ97,961.5,970.5,952,953,-9.5,14586,6200
1997-09-25,ESZ97,954,957.5,945.5,947.25,-5.75,12113,5674
1997-09-26,ESZ97,953.5,956.5,946.5,954,6.75,12113,5674
1997-09-29,ESZ97,953.25,964.5,950.25,962.5,8.5,11160,5735
1997-09-30,ESZ97,961.5,965.25,955.25,955.5,-7,15241,5874
1997-10-01,ESZ97,955,966.5,954.75,963.5,8,14022,5735
1997-10-02,ESZ97,963.25,969.5,961,968.75,5.25,9657,5146
1997-10-03,ESZ97,969.5,985.5,961.75,974.25,5.5,13806,6298
1997-10-06,ESZ97,976.75,983.75,976.5,980.5,6.25,9251,6394
1997-10-07,ESZ97,982,992.25,977.5,992,11.5,11911,7368
1997-10-08,ESZ97,989.75,991.75,974.75,982.25,-9.75,16205,7907
1997-10-09,ESZ97,981.75,983.25,969.25,979,-3.25,9412,8024
1997-10-10,ESZ97,978.25,981,964,976.75,-2.25,6509,8081
1997-10-13,ESZ97,977,981.75,974,976.25,-0.5,3914,8596
1997-10-14,ESZ97,976,981.5,968.5,978.25,2,11923,9638
1997-10-15,ESZ97,974.5,976.75,968,972.5,-5.75,9715,10127
1997-10-16,ESZ97,958.5,981.25,955.25,961.5,-11,13003,11033
1997-10-17,ESZ97,959,960,935.5,948.75,-12.75,13606,11804
1997-10-20,ESZ97,963.75,963.75,945,963,14.25,11847,11962
1997-10-21,ESZ97,977,980.25,962,979.25,16.25,10617,12786
1997-10-22,ESZ97,972,980.5,970.5,974,-5.25,10300,12753
1997-10-23,ESZ97,956.25,974,947.5,953.75,-20.25,13649,13697
1997-10-24,ESZ97,956,969,941.5,946.75,-7,15052,13767
1997-10-27,ESZ97,942.5,944,874,874,-72.75,15481,15143
