"Symbol: SPU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1982-04-21,SPM82,116.35,117.6,116.05,117.45,0,3963,516
1982-04-22,SPM82,117,118.4,117,117.9,0.45000000000000284,2983,873
1982-04-23,SPM82,118.35,119.75,118.25,119.65,1.75,3064,1134
1982-04-26,SPM82,119.3,120.6,118.65,120.55,0.8999999999999915,3049,1304
1982-04-27,SPM82,120.2,120.35,118.4,118.85,-1.7000000000000028,3978,1401
1982-04-28,SPM82,118.55,119.3,117.7,118.15,-0.6999999999999886,4151,1597
1982-04-29,SPM82,117.5,118.15,117.25,117.6,-0.5500000000000114,3512,1492
1982-04-30,SPM82,117.55,118.4,117.4,117.5,-0.09999999999999432,2844,1613
1982-05-03,SPM82,117.1,117.5,116.8,117.15,-0.3499999999999943,2881,1987
1982-05-04,SPM82,117.25,118.05,117.25,117.8,0.6499999999999915,2700,2013
1982-05-05,SPM82,117.85,118.3,117.05,117.55,-0.25,2746,2170
1982-05-06,SPM82,118.05,119.2,118.05,119.1,1.5499999999999972,5171,2809
1982-05-07,SPM82,119.15,120.1,119,119.65,0.5500000000000114,4009,2896
1982-05-10,SPM82,119.2,119.4,118.45,118.5,-1.1500000000000057,4218,3464
1982-05-11,SPM82,118.45,119.95,118.35,119.7,1.2000000000000028,4715,4053
1982-05-12,SPM82,119.85,120.35,119.05,119.55,-0.15000000000000568,5185,3859
1982-05-13,SPM82,119.55,119.75,118.15,118.35,-1.2000000000000028,5017,4174
1982-05-14,SPM82,118.55,118.75,118.1,118.3,-0.04999999999999716,3937,3995
1982-05-17,SPM82,118.15,118.15,116.5,116.6,-1.7000000000000028,4296,4278
1982-05-18,SPM82,116.6,116.7,115.75,116,-0.5999999999999943,6677,5016
1982-05-19,SPM82,115.95,116.35,114.45,114.65,-1.3499999999999943,7169,5379
1982-05-20,SPM82,114.85,115.2,114.15,114.95,0.29999999999999716,8403,6747
1982-05-21,SPM82,115.25,115.6,114.75,114.9,-0.04999999999999716,5171,6645
1982-05-24,SPM82,114.8,115.15,114.15,115,0.09999999999999432,5523,6894
1982-05-25,SPM82,115.2,115.65,113.45,113.75,-1.25,14136,7488
1982-05-26,SPM82,114,114.1,112,112.5,-1.25,12840,7881
1982-05-27,SPM82,112.45,112.6,111.2,111.85,-0.6500000000000057,10527,6531
1982-05-28,SPM82,111.7,112.5,110.75,111,-0.8499999999999943,7776,6780
1982-06-01,SPM82,110.75,111.2,109.9,110.05,-0.9500000000000028,9159,7586
1982-06-02,SPM82,110.3,111.75,109.85,111.55,1.5,9454,7596
1982-06-03,SPM82,111.65,112.05,109.7,110.5,-1.0499999999999972,10089,7312
1982-06-04,SPM82,110.4,110.45,108,108.1,-2.4000000000000057,10257,7524
1982-06-07,SPM82,108.1,109.85,107.45,109.05,0.9500000000000028,14287,8971
1982-06-08,SPM82,108.8,109.95,107.9,108.5,-0.5499999999999972,16667,9157
1982-06-09,SPM82,108.5,109.1,107.6,108.6,0.09999999999999432,16904,10417
1982-06-10,SPM82,108.5,109.85,108.25,109.15,0.5500000000000114,14794,10373
1982-06-11,SPU82,111.4,112,110.3,111.55,2.3999999999999915,12069,9977
1982-06-14,SPU82,110.5,110.5,108.55,108.55,-3,9968,10150
1982-06-15,SPU82,108.5,110,107.2,109.9,1.3500000000000085,12281,9661
1982-06-16,SPU82,109.45,110.25,107.75,108.1,-1.8000000000000114,13007,10157
1982-06-17,SPU82,105.5,106.95,105.15,105.5,-2.5999999999999943,11031,9233
1982-06-18,SPU82,105.8,106.15,104.35,104.65,-0.8499999999999943,17737,8655
1982-06-21,SPU82,105.2,107.4,104.75,106.5,1.8499999999999943,11336,9071
1982-06-22,SPU82,106.5,109.5,106.1,109.4,2.9000000000000057,11584,9364
1982-06-23,SPU82,108.85,112.15,108.1,111.85,2.4499999999999886,14165,8761
1982-06-24,SPU82,112.1,112.6,109.75,110.2,-1.6499999999999915,14452,8055
1982-06-25,SPU82,110,110.8,108.8,110.35,0.14999999999999147,10192,8328
1982-06-28,SPU82,110.05,112.35,109.65,112.2,1.8500000000000085,9811,8253
1982-06-29,SPU82,111.85,112.45,111.1,112.25,0.04999999999999716,10455,8419
1982-06-30,SPU82,113.3,113.45,111.05,111.5,-0.75,11783,9603
1982-07-01,SPU82,111.5,111.75,109.75,109.85,-1.6500000000000057,9356,9879
1982-07-02,SPU82,109.55,109.55,107.85,108.3,-1.5499999999999972,8093,10173
1982-07-06,SPU82,108.4,109.5,106.4,109.4,1.1000000000000085,10441,10393
1982-07-07,SPU82,108.8,110,107.75,109.3,-0.10000000000000853,12165,10608
1982-07-08,SPU82,109.5,111,106.8,110.85,1.5499999999999972,14910,10577
1982-07-09,SPU82,111.5,113,110.2,112.7,1.8500000000000085,15394,11166
1982-07-12,SPU82,112.9,113.3,111.75,112.25,-0.45000000000000284,12281,12093
1982-07-13,SPU82,110.7,112.9,110.7,111.8,-0.45000000000000284,12573,12378
1982-07-14,SPU82,111.5,113.6,110.55,113.55,1.75,10863,12568
1982-07-15,SPU82,113.7,114.3,112.85,113.5,-0.04999999999999716,12774,12529
1982-07-16,SPU82,113.5,115.15,113.1,114.1,0.5999999999999943,8335,12845
1982-07-19,SPU82,114.35,114.5,112.3,112.45,-1.6499999999999915,9559,13722
1982-07-20,SPU82,113,114.3,111.8,114.2,1.75,10695,14084
1982-07-21,SPU82,114.1,114.95,113.05,113.15,-1.0499999999999972,11280,14199
1982-07-22,SPU82,113.1,114.5,112.75,113.55,0.3999999999999915,10895,14118
1982-07-23,SPU82,113.4,113.95,112.4,112.6,-0.9500000000000028,8019,14961
1982-07-26,SPU82,111.8,112.75,111.1,111.2,-1.3999999999999915,8774,14752
1982-07-27,SPU82,111.35,112,110.2,110.6,-0.6000000000000085,10035,14868
1982-07-28,SPU82,110.5,110.75,108.2,108.25,-2.3499999999999943,13229,16745
1982-07-29,SPU82,108.7,109.15,106.5,108.35,0.09999999999999432,15260,15472
1982-07-30,SPU82,108.8,108.8,106.75,107.35,-1,11894,15482
1982-08-02,SPU82,108.6,110.05,107.85,110,2.6500000000000057,12356,14512
1982-08-03,SPU82,109.45,109.75,106.95,107.2,-2.799999999999997,12605,14745
1982-08-04,SPU82,107,107.6,104.85,105.15,-2.049999999999997,13973,15625
1982-08-05,SPU82,104.75,105.7,103.85,105.4,0.25,14726,15861
1982-08-06,SPU82,104.8,105.5,102.4,102.6,-2.8000000000000114,12213,15890
1982-08-09,SPU82,101.95,103.95,101.15,103.85,1.25,14928,15275
1982-08-10,SPU82,103.85,104.5,101.8,102.05,-1.7999999999999972,16527,15752
1982-08-11,SPU82,102,103.5,101.75,102.65,0.6000000000000085,15055,15611
1982-08-12,SPU82,103.05,104.05,102.05,102.35,-0.30000000000001137,12871,15413
1982-08-13,SPU82,102.5,105,102.4,104.85,2.5,10794,14804
1982-08-16,SPU82,105.6,106.4,103.2,103.3,-1.5499999999999972,15042,14866
1982-08-17,SPU82,103.9,108.3,103.75,108.3,5,20687,15565
1982-08-18,SPU82,109.7,111.55,107.4,108.15,-0.14999999999999147,23458,15254
1982-08-19,SPU82,108.25,110.4,107.05,109.25,1.0999999999999943,22420,14169
1982-08-20,SPU82,110.1,114.25,109.3,114.25,5,17543,13823
1982-08-23,SPU82,112.9,117.1,112.45,116.5,2.25,21013,14296
1982-08-24,SPU82,116,117.3,114.3,115,-1.5,22183,14614
1982-08-25,SPU82,115,118,114.8,117.15,2.1500000000000057,20003,14471
1982-08-26,SPU82,117.6,119.4,116.3,118.05,0.8999999999999915,21459,13749
1982-08-27,SPU82,116.4,117.4,115.1,115.9,-2.1499999999999915,16830,13790
1982-08-30,SPU82,115.75,118.05,114.9,118,2.0999999999999943,16477,14006
1982-08-31,SPU82,117.8,119.8,117.25,118.85,0.8499999999999943,20483,13840
1982-09-01,SPU82,119.15,119.6,116.75,117,-1.8499999999999943,16729,14134
1982-09-02,SPU82,117.5,121.5,116.6,120.9,3.9000000000000057,20283,14359
1982-09-03,SPU82,121.6,125.5,121.4,123.1,2.1999999999999886,22732,13935
1982-09-07,SPU82,123.4,123.4,120.95,121.75,-1.3499999999999943,16769,14297
1982-09-08,SPU82,121.4,124.45,121.2,122.65,0.9000000000000057,21396,13683
1982-09-09,SPU82,122,123.9,120.7,120.95,-1.7000000000000028,20613,14431
1982-09-10,SPZ82,121,121.1,118.95,119.8,-1.1500000000000057,18891,13708
1982-09-13,SPZ82,119.4,124.4,118.9,124.1,4.299999999999997,21568,13181
1982-09-14,SPZ82,124.1,125.45,122.8,123.7,-0.3999999999999915,25227,12848
1982-09-15,SPZ82,124.4,125.15,122.5,124.2,0.5,23472,12537
1982-09-16,SPZ82,124.15,125.7,122.9,123.55,-0.6500000000000057,20314,13203
1982-09-17,SPZ82,123.3,124.35,122.25,122.65,-0.8999999999999915,14544,11550
1982-09-20,SPZ82,121.65,123.5,121.2,123.45,0.7999999999999972,17065,11881
1982-09-21,SPZ82,123.65,126.5,123.3,126.35,2.8999999999999915,19736,11412
1982-09-22,SPZ82,127.05,127.65,122,122.2,-4.1499999999999915,22916,11370
1982-09-23,SPZ82,123.3,124.3,121.5,123.8,1.5999999999999943,22621,11757
1982-09-24,SPZ82,123,123.5,121.9,122.95,-0.8499999999999943,15676,11500
1982-09-27,SPZ82,122.4,124.2,121.8,124.05,1.0999999999999943,10299,11581
1982-09-28,SPZ82,124.3,125.1,122.25,122.35,-1.7000000000000028,18225,11569
1982-09-29,SPZ82,122.35,122.4,119.8,119.95,-2.3999999999999915,19675,12217
1982-09-30,SPZ82,120,120.55,118.9,119.35,-0.6000000000000085,19334,12904
1982-10-01,SPZ82,119.25,121.5,119.25,120.15,0.8000000000000114,15533,13581
1982-10-04,SPZ82,119.2,120.75,118.55,120.7,0.5499999999999972,19323,14214
1982-10-05,SPZ82,120.55,121.9,120.25,120.55,-0.15000000000000568,17766,13889
1982-10-06,SPZ82,121,125.55,121,125.55,5,19087,13646
1982-10-07,SPZ82,128.7,130.55,127.7,130.15,4.6000000000000085,28416,12010
1982-10-08,SPZ82,130.75,132.6,129.05,132.1,1.9499999999999886,24000,12044
1982-10-11,SPZ82,134.5,137.1,133.5,135.8,3.700000000000017,23601,13008
1982-10-12,SPZ82,135.5,137.15,132.7,134.05,-1.75,27930,12768
1982-10-13,SPZ82,133.4,139,133.25,137.65,3.5999999999999943,26549,13237
1982-10-14,SPZ82,137.25,137.7,134.65,134.95,-2.700000000000017,19449,12853
1982-10-15,SPZ82,134.45,135.75,133.6,135.3,0.35000000000002274,17200,13101
1982-10-18,SPZ82,134.9,139,134.9,138.7,3.3999999999999773,18404,13492
1982-10-19,SPZ82,139.3,139.7,135.1,137.4,-1.299999999999983,26419,13159
1982-10-20,SPZ82,137,141.7,136.3,141.45,4.049999999999983,25758,13263
1982-10-21,SPZ82,141.4,142,138.3,141.1,-0.3499999999999943,25198,13899
1982-10-22,SPZ82,140.9,143,138.25,138.45,-2.6500000000000057,26287,13522
1982-10-25,SPZ82,136.8,137.35,133.45,133.45,-5,24731,14020
1982-10-26,SPZ82,134.25,136.65,131.8,136.25,2.8000000000000114,36677,13620
1982-10-27,SPZ82,136.25,137.6,134.6,135.2,-1.0500000000000114,27947,12344
1982-10-28,SPZ82,136.3,136.7,133.75,133.9,-1.299999999999983,22604,12144
1982-10-29,SPZ82,134.6,135.55,133.55,134.55,0.6500000000000057,17818,12625
1982-11-01,SPZ82,135,137.5,134.2,137.45,2.8999999999999773,20845,12854
1982-11-02,SPZ82,137.7,140.9,137.5,138.85,1.4000000000000057,27602,13095
1982-11-03,SPZ82,139.2,143.85,139.05,143.85,5,29062,14927
1982-11-04,SPZ82,145,146.3,142.55,144.05,0.20000000000001705,33111,14008
1982-11-05,SPZ82,143.25,145.4,142.75,143.2,-0.8500000000000227,24354,13864
1982-11-08,SPZ82,142.4,142.8,141.2,142.2,-1,20961,14252
1982-11-09,SPZ82,142.4,146.05,142.25,145.8,3.6000000000000227,26211,14652
1982-11-10,SPZ82,145.9,146.8,141,141.7,-4.100000000000023,31139,14719
1982-11-11,SPZ82,140.5,144.35,140,144.15,2.450000000000017,28465,16048
1982-11-12,SPZ82,144.75,144.75,140.6,140.8,-3.3499999999999943,24757,14224
1982-11-15,SPZ82,138.8,139.5,136.75,136.9,-3.9000000000000057,23107,14493
1982-11-16,SPZ82,136.3,138.9,135.35,136.7,-0.20000000000001705,32120,15434
1982-11-17,SPZ82,138,139.2,137.6,138.7,2,24861,15113
1982-11-18,SPZ82,138.3,139.8,138.05,139.2,0.5,21259,15060
1982-11-19,SPZ82,139.7,140.1,136,136.2,-3,20670,14857
1982-11-22,SPZ82,136.65,136.65,132.6,132.7,-3.5,24785,15873
