"Symbol: DYU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1990-11-28,DYZ90,1405,1431,1404.5,1417,0,,
1990-11-29,DYZ90,1420,1422.5,1411,1418,1,,
1990-11-30,DYZ90,1423,1442,1423,1433,15,,
1990-12-03,DYZ90,1470,1472.5,1455,1462,29,,
1990-12-04,DYZ90,1445,1445,1432,1441,-21,,
1990-12-05,DYZ90,1453.5,1472.5,1453.5,1468,27,,
1990-12-06,DYZ90,1494.5,1514,1480,1492.5,24.5,,
1990-12-07,DYZ90,1503,1524,1503,1509.5,17,,
1990-12-10,DYZ90,1509.5,1524,1501,1515,5.5,,
1990-12-11,DYZ90,1495,1496,1488,1490.5,-24.5,,
1990-12-12,DYZ90,1505.5,1519.5,1505.5,1515,24.5,,
1990-12-13,DYZ90,1537,1538.5,1515,1518.5,3.5,,
1990-12-14,DYZ90,1500,1529,1500,1524,5.5,,
1990-12-17,DYH91,1528,1533.5,1525.5,1525.5,1.5,,
1990-12-18,DYH91,1501,1501,1486,1486,-39.5,,
1990-12-19,DYH91,1501,1502,1463,1472,-14,,
1990-12-20,DYH91,1430,1445,1422,1422,-50,,
1990-12-21,DYH91,1437,1437,1420,1430,8,,
1990-12-27,DYH91,1433,1434,1412,1427,-3,,
1990-12-28,DYH91,1416,1416,1411,1411,-16,,
1991-01-02,DYH91,1390,1392,1361,1365,-46,,
1991-01-03,DYH91,1370,1379.5,1370,1378,13,,
1991-01-04,DYH91,1385,1419,1384,1414,36,,
1991-01-07,DYH91,1371,1375,1355,1373.5,-40.5,,
1991-01-08,DYH91,1345,1392.83,1345,1365.5,-8,,
1991-01-09,DYH91,1378,1399,1370,1394.5,29,,
1991-01-10,DYH91,1365,1397,1360,1397,2.5,,
1991-01-11,DYH91,1410,1420,1380,1390.5,-6.5,,
1991-01-14,DYH91,1350,1393.64,1327,1392.75,2.25,,
1991-01-15,DYH91,1335,1335,1314,1331.5,-61.25,,
1991-01-16,DYH91,1314.5,1332,1310,1327,-4.5,,
1991-01-17,DYH91,1395,1443.5,1394,1443,116,,
1991-01-18,DYH91,1407,1425,1402.5,1420,-23,,
1991-01-21,DYH91,1405,1410,1401,1405,-15,,
1991-01-22,DYH91,1385,1392,1376,1386,-19,,
