"Symbol: FXU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1998-06-19,FXH99,3360,3360,3360,3360,0,,
1998-06-22,FXH99,3329,3329,3329,3329,-31,,
1998-06-23,FXH99,3388,3388,3388,3388,59,,
1998-06-24,FXH99,3418,3418,3418,3418,30,,
1998-06-25,FXH99,3483,3483,3483,3483,65,,
1998-06-26,FXH99,3492,3492,3492,3492,9,,
1998-06-29,FXH99,3531,3531,3531,3531,39,,
1998-06-30,FXH99,3500,3500,3500,3500,-31,,
1998-07-01,FXH99,3559,3559,3559,3559,59,,
1998-07-02,FXH99,3580,3580,3580,3580,21,,
1998-07-03,FXH99,3585,3585,3585,3585,5,,
1998-07-06,FXH99,3605,3605,3605,3605,20,,
1998-07-07,FXH99,3590,3590,3590,3590,-15,,
1998-07-08,FXH99,3629,3629,3629,3629,39,,
1998-07-09,FXH99,3621,3621,3621,3621,-8,,
1998-07-10,FXH99,3591,3591,3591,3591,-30,,
1998-07-15,FXH99,3670,3670,3670,3670,79,,
1998-07-16,FXH99,3655,3655,3655,3655,-15,,
1998-07-17,FXH99,3720,3720,3720,3720,65,,
1998-07-20,FXH99,3740,3740,3740,3740,20,,
1998-07-21,FXH99,3725,3725,3725,3725,-15,,
1998-07-22,FXH99,3645,3645,3645,3645,-80,,
1998-07-23,FXH99,3640,3640,3640,3640,-5,,
1998-07-24,FXH99,3635,3635,3635,3635,-5,,
1998-07-27,FXH99,3559,3559,3559,3559,-76,,
1998-07-28,FXH99,3550,3550,3550,3550,-9,,
1998-07-29,FXH99,3589,3589,3589,3589,39,,
1998-07-30,FXH99,3638,3638,3638,3638,49,,
1998-07-31,FXH99,3584,3584,3584,3584,-54,,
1998-08-03,FXH99,3528,3528,3528,3528,-56,,
1998-08-04,FXH99,3517,3517,3517,3517,-11,,
1998-08-05,FXH99,3425.5,3425.5,3425.5,3425.5,-91.5,,
1998-08-06,FXH99,3349,3349,3349,3349,-76.5,,
1998-08-07,FXH99,3427,3427,3427,3427,78,,
1998-08-10,FXH99,3349.5,3349.5,3349.5,3349.5,-77.5,,
1998-08-11,FXH99,3257,3257,3257,3257,-92.5,,
1998-08-12,FXH99,3310,3310,3310,3310,53,,
1998-08-13,FXH99,3310,3310,3310,3310,0,,
1998-08-14,FXH99,3383,3383,3383,3383,73,,
1998-08-17,FXH99,3352,3352,3352,3352,-31,,
1998-08-18,FXH99,3467,3467,3467,3467,115,,
1998-08-19,FXH99,3480,3480,3480,3480,13,,
1998-08-20,FXH99,3438,3438,3438,3438,-42,,
1998-08-21,FXH99,3292,3292,3292,3292,-146,,
1998-08-24,FXH99,3291,3291,3291,3291,-1,,
1998-08-25,FXH99,3365,3365,3365,3365,74,,
1998-08-26,FXH99,3286,3286,3286,3286,-79,,
1998-08-27,FXH99,3171,3171,3171,3171,-115,,
1998-08-28,FXH99,3088,3088,3088,3088,-83,,
1998-08-31,FXH99,3060,3060,3060,3060,-28,,
1998-09-01,FXH99,3031,3031,3031,3031,-29,,
1998-09-02,FXH99,3110,3110,3110,3110,79,,
1998-09-03,FXH99,3035,3035,3035,3035,-75,,
1998-09-04,FXH99,3060,3060,3060,3060,25,,
1998-09-07,FXH99,3123,3123,3123,3123,63,,
1998-09-08,FXH99,3185,3185,3185,3185,62,,
1998-09-09,FXH99,3116,3116,3116,3116,-69,,
1998-09-10,FXH99,2974,2974,2974,2974,-142,,
1998-09-11,FXH99,2944,2944,2944,2944,-30,,
1998-09-14,FXH99,3037,3037,3037,3037,93,,
1998-09-15,FXH99,3008,3008,3008,3008,-29,,
1998-09-16,FXH99,3044,3044,3044,3044,36,,
1998-09-17,FXH99,2904,2904,2904,2904,-140,,
1998-09-18,FXH99,2877,2877,2877,2877,-27,,
1998-09-21,FXH99,2735,2735,2735,2735,-142,,
1998-09-22,FXH99,2819,2819,2819,2819,84,,
1998-09-23,FXH99,2914,2914,2914,2914,95,,
1998-09-24,FXH99,2865,2865,2865,2865,-49,,
1998-09-25,FXH99,2812,2812,2812,2812,-53,,
1998-09-28,FXH99,2854,2854,2854,2854,42,,
1998-09-29,FXH99,2832,2832,2832,2832,-22,,
1998-09-30,FXH99,2751,2751,2751,2751,-81,,
1998-10-01,FXH99,2621,2621,2621,2621,-130,,
1998-10-02,FXH99,2521,2521,2521,2521,-100,,
1998-10-05,FXH99,2506,2506,2506,2506,-15,,
1998-10-06,FXH99,2632,2632,2632,2632,126,,
1998-10-07,FXH99,2587,2587,2587,2587,-45,,
1998-10-08,FXH99,2476,2476,2476,2476,-111,,
1998-10-09,FXH99,2534,2534,2534,2534,58,,
1998-10-12,FXH99,2697,2697,2697,2697,163,,
1998-10-13,FXH99,2732,2732,2732,2732,35,,
1998-10-14,FXH99,2792,2792,2792,2792,60,,
1998-10-15,FXH99,2795,2796,2795,2796,4,,
1998-10-16,FXH99,2839,2839,2839,2839,43,,
1998-10-19,FXH99,2826,2826,2826,2826,-13,,
1998-10-20,FXH99,2916,2916,2916,2916,90,,
1998-10-21,FXH99,2863,2863,2863,2863,-53,,
1998-10-22,FXH99,2846,2846,2846,2846,-17,,
1998-10-23,FXH99,2876,2876,2876,2876,30,,
1998-10-26,FXH99,2889,2889,2889,2889,13,,
1998-10-27,FXH99,2951,2951,2951,2951,62,,
1998-10-28,FXH99,2905,2905,2905,2905,-46,,
1998-10-29,FXH99,2900,2900,2900,2900,-5,,
1998-10-30,FXH99,2962,2962,2962,2962,62,,
1998-11-02,FXH99,3024,3024,3024,3024,62,,
1998-11-03,FXH99,3012,3012,3012,3012,-12,,
1998-11-04,FXH99,3098,3098,3098,3098,86,,
1998-11-05,FXH99,3016,3016,3016,3016,-82,,
1998-11-06,FXH99,3032,3032,3032,3032,16,,
