"Symbol: IIU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2009-10-08,IIZ09,116.17,116.56,116.12,116.46,0,5277,10028
2009-10-09,IIZ09,116.15,116.44,115.8,115.89,-0.5699999999999932,1182,10503
2009-10-12,IIZ09,115.82,116.02,115.61,115.98,0.09000000000000341,3621,10511
2009-10-13,IIZ09,115.96,116.02,115.72,115.86,-0.12000000000000455,5250,10175
2009-10-14,IIZ09,115.72,115.72,115.3,115.45,-0.4099999999999966,5198,10123
2009-10-15,IIZ09,115.15,115.25,114.6,114.88,-0.5700000000000074,3132,10896
2009-10-16,IIZ09,114.61,115.1,114.59,115.03,0.15000000000000568,2697,11664
2009-10-19,IIZ09,114.96,115.23,114.87,115.15,0.12000000000000455,5053,12012
2009-10-20,IIZ09,115.19,115.86,115.19,115.72,0.5699999999999932,6234,13154
2009-10-21,IIZ09,115.75,115.75,115.09,115.2,-0.519999999999996,5351,14416
2009-10-22,IIZ09,115.3,115.47,115.18,115.28,0.0799999999999983,4875,14947
2009-10-23,IIZ09,115,115.22,114.85,114.94,-0.3400000000000034,3563,15700
2009-10-26,IIZ09,114.77,115.11,114.77,115.04,0.10000000000000853,4643,15717
2009-10-27,IIZ09,114.91,115.89,114.91,115.81,0.769999999999996,4372,17136
2009-10-28,IIZ09,115.82,116.04,115.7,115.95,0.14000000000000057,7376,18075
2009-10-29,IIZ09,116.03,116.03,115.34,115.46,-0.4900000000000091,3391,16219
2009-10-30,IIZ09,115.49,116.16,115.49,116.09,0.6300000000000097,1602,16126
2009-11-02,IIZ09,116.04,116.38,116.03,116.23,0.14000000000000057,3776,16021
2009-11-03,IIZ09,116.26,116.62,115.97,116.07,-0.1600000000000108,4012,16085
2009-11-04,IIZ09,116,116,115.65,115.82,-0.25,2514,16339
2009-11-05,IIZ09,115.78,115.94,115.41,115.74,-0.0799999999999983,2856,16330
2009-11-06,IIZ09,115.75,116.01,115.48,115.7,-0.03999999999999204,1590,16500
2009-11-09,IIZ09,115.57,116.17,115.53,116.14,0.4399999999999977,2386,16528
2009-11-10,IIZ09,116.04,116.64,115.98,116.64,0.5,2213,16860
2009-11-11,IIZ09,116.64,116.69,116.3,116.63,-0.010000000000005116,2747,17270
2009-11-12,IIZ09,116.77,116.88,116.33,116.52,-0.10999999999999943,4568,16773
2009-11-13,IIZ09,116.62,116.7,116.01,116.1,-0.4200000000000017,5059,16628
2009-11-16,IIZ09,115.87,116.46,115.87,116.36,0.2600000000000051,3163,16098
2009-11-17,IIZ09,116.47,116.9,116.39,116.77,0.4099999999999966,2502,15967
2009-11-18,IIZ09,116.8,116.86,116.42,116.62,-0.14999999999999147,4553,15478
2009-11-19,IIZ09,116.69,116.71,116.2,116.51,-0.10999999999999943,5460,16037
2009-11-20,IIZ09,116.55,116.56,116.13,116.48,-0.030000000000001137,2850,15870
2009-11-23,IIZ09,116.46,116.57,116.25,116.53,0.04999999999999716,2642,15607
2009-11-24,IIZ09,116.74,116.74,116.4,116.69,0.1599999999999966,2427,16212
2009-11-25,IIZ09,116.65,116.73,116.45,116.6,-0.09000000000000341,5947,16172
2009-11-26,IIZ09,116.78,117,116.51,116.7,0.10000000000000853,11491,14581
2009-11-27,IIZ09,116.9,116.97,116.45,116.8,0.09999999999999432,2971,15122
2009-11-30,IIZ09,116.86,117.1,116.81,117.06,0.2600000000000051,4488,14939
2009-12-01,IIZ09,117.13,117.49,117.01,117.38,0.3199999999999932,6923,14805
2009-12-02,IIZ09,117.09,117.54,117.09,117.5,0.12000000000000455,6049,15560
2009-12-03,IIZ09,117.29,117.49,117.1,117.43,-0.06999999999999318,8815,16275
2009-12-04,IIZ09,117.41,117.61,116.84,117.28,-0.15000000000000568,10411,16413
2009-12-07,IIH10,115.81,116.39,115.75,116.33,-0.9500000000000028,10834,8660
2009-12-08,IIH10,116.44,116.88,116.01,116.19,-0.14000000000000057,5365,11756
2009-12-09,IIH10,116.15,116.15,115.57,115.84,-0.3499999999999943,7839,11825
2009-12-10,IIH10,115.6,115.81,115.03,115.67,-0.1700000000000017,3979,12723
2009-12-11,IIH10,115.57,116.24,115.39,115.65,-0.01999999999999602,1721,12560
2009-12-14,IIH10,115.72,115.96,115.64,115.85,0.19999999999998863,3017,12379
2009-12-15,IIH10,115.74,115.91,115.35,115.62,-0.22999999999998977,2848,12112
2009-12-16,IIH10,115.63,116.03,115.54,115.92,0.29999999999999716,2740,12217
2009-12-17,IIH10,115.88,116.41,115.62,116.32,0.3999999999999915,2967,12209
2009-12-18,IIH10,116.32,116.44,116.15,116.22,-0.09999999999999432,1634,12999
2009-12-21,IIH10,116.18,116.29,115.64,115.76,-0.45999999999999375,2541,13168
2009-12-22,IIH10,115.18,116.04,115.18,115.77,0.009999999999990905,1616,13179
2009-12-23,IIH10,115.65,115.98,115.55,115.73,-0.03999999999999204,2146,13463
2009-12-28,IIH10,115.27,115.55,115.23,115.42,-0.3100000000000023,1910,13883
2009-12-29,IIH10,115.34,115.67,114.93,115.07,-0.3500000000000085,2934,13560
2009-12-30,IIH10,115.09,115.12,114.78,114.78,-0.28999999999999204,1449,13924
2010-01-04,IIH10,114.71,115.26,114.6,115.22,0.4399999999999977,1791,14375
2010-01-05,IIH10,115.21,115.38,115.06,115.25,0.030000000000001137,1165,14077
2010-01-06,IIH10,115.13,115.29,115.04,115.11,-0.14000000000000057,1111,14047
2010-01-07,IIH10,115.01,115.41,114.97,115.38,0.269999999999996,3028,14022
2010-01-08,IIH10,115.25,115.79,115.18,115.55,0.1700000000000017,1379,14330
2010-01-11,IIH10,115.43,115.77,115.38,115.74,0.18999999999999773,3852,14104
2010-01-12,IIH10,115.75,115.97,115.53,115.78,0.04000000000000625,5916,13783
2010-01-13,IIH10,115.7,115.7,115.36,115.49,-0.29000000000000625,5071,13806
2010-01-14,IIH10,115.28,115.53,115.2,115.41,-0.0799999999999983,5467,14447
2010-01-15,IIH10,115.54,115.67,115.26,115.6,0.18999999999999773,5254,13621
2010-01-18,IIH10,115.68,115.94,115.56,115.82,0.21999999999999886,3956,14509
2010-01-19,IIH10,115.92,116,115.68,115.8,-0.01999999999999602,5588,14936
2010-01-20,IIH10,115.94,115.98,115.51,115.72,-0.0799999999999983,8617,15992
2010-01-21,IIH10,115.54,115.81,115.23,115.63,-0.09000000000000341,6180,16719
