"Symbol: YPU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1995-01-02,YPH96,1.566,1.5664,1.557,1.559,0,,
1995-01-03,YPH96,1.5583,1.5655,1.558,1.5644,0.005400000000000071,,
1995-01-04,YPH96,1.5635,1.564,1.5585,1.5606,-0.0038000000000000256,,
1995-01-05,YPH96,1.5608,1.5652,1.5595,1.5618,0.0012000000000000899,,
1995-01-06,YPH96,1.5622,1.565,1.5489,1.5489,-0.012900000000000134,,
1995-01-09,YPH96,1.5487,1.565,1.5476,1.5637,0.014800000000000146,,
1995-01-10,YPH96,1.5635,1.5645,1.5561,1.561,-0.0027000000000001467,,
1995-01-11,YPH96,1.5615,1.5639,1.557,1.5603,-0.0006999999999999229,,
1995-01-12,YPH96,1.5601,1.5755,1.5575,1.574,0.013700000000000045,,
1995-01-13,YPH96,1.574,1.5741,1.566,1.568,-0.006000000000000005,,
1995-01-16,YPH96,1.5679,1.571,1.5673,1.5695,0.0014999999999998348,,
1995-01-17,YPH96,1.5695,1.5705,1.5625,1.5661,-0.0033999999999998476,,
1995-01-18,YPH96,1.5661,1.5759,1.566,1.5699,0.0038000000000000256,,
1995-01-19,YPH96,1.5695,1.59,1.5681,1.588,0.018100000000000005,,
1995-01-20,YPH96,1.587,1.5915,1.584,1.589,0.0009999999999998899,,
1995-01-23,YPH96,1.589,1.5965,1.5851,1.5957,0.006699999999999928,,
1995-01-24,YPH96,1.5958,1.6015,1.5936,1.5965,0.0008000000000001339,,
1995-01-25,YPH96,1.596,1.602,1.59,1.591,-0.00550000000000006,,
1995-01-26,YPH96,1.591,1.5947,1.5881,1.5908,-0.00019999999999997797,,
1995-01-27,YPH96,1.59,1.594,1.5853,1.5887,-0.0020999999999999908,,
1995-01-30,YPH96,1.5885,1.5975,1.587,1.5917,0.0029999999999998916,,
1995-01-31,YPH96,1.592,1.5968,1.5785,1.5795,-0.012199999999999989,,
1995-02-01,YPH96,1.5795,1.5835,1.5783,1.5808,0.0013000000000000789,,
1995-02-02,YPH96,1.5809,1.5854,1.5785,1.5817,0.0009000000000001229,,
1995-02-03,YPH96,1.5818,1.5826,1.5605,1.5625,-0.019200000000000106,,
1995-02-06,YPH96,1.5627,1.5645,1.5553,1.5595,-0.0029999999999998916,,
1995-02-07,YPH96,1.559,1.5617,1.555,1.555,-0.0045000000000001705,,
1995-02-08,YPH96,1.5552,1.5591,1.5505,1.5523,-0.0026999999999999247,,
1995-02-09,YPH96,1.5528,1.5608,1.5528,1.5565,0.0041999999999999815,,
1995-02-10,YPH96,1.5568,1.564,1.554,1.5602,0.0037000000000000366,,
1995-02-13,YPH96,1.5605,1.5652,1.5586,1.5625,0.0022999999999999687,,
1995-02-14,YPH96,1.5623,1.5642,1.553,1.5616,-0.0008999999999999009,,
1995-02-15,YPH96,1.5613,1.5652,1.558,1.5597,-0.0019000000000000128,,
1995-02-16,YPH96,1.56,1.5805,1.5598,1.578,0.018299999999999983,,
1995-02-17,YPH96,1.578,1.59,1.5745,1.5796,0.0015999999999998238,,
1995-02-20,YPH96,1.5793,1.5863,1.579,1.5815,0.0019000000000000128,,
1995-02-21,YPH96,1.5814,1.5854,1.5735,1.584,0.0025000000000001688,,
1995-02-22,YPH96,1.584,1.592,1.5809,1.5891,0.005099999999999882,,
1995-02-23,YPH96,1.589,1.596,1.5863,1.5945,0.005400000000000071,,
1995-02-24,YPH96,1.5943,1.596,1.5804,1.5876,-0.006900000000000128,,
1995-02-27,YPH96,1.5883,1.591,1.5759,1.5796,-0.008000000000000007,,
1995-02-28,YPH96,1.5794,1.5886,1.5775,1.5838,0.004200000000000204,,
1995-03-01,YPH96,1.5833,1.5872,1.579,1.5853,0.0014999999999998348,,
1995-03-02,YPH96,1.5853,1.6215,1.5853,1.6142,0.028900000000000148,,
1995-03-03,YPH96,1.6145,1.63,1.603,1.6276,0.013399999999999856,,
1995-03-06,YPH96,1.6335,1.657,1.616,1.6235,-0.0040999999999999925,,
1995-03-07,YPH96,1.624,1.652,1.6188,1.6437,0.020199999999999996,,
1995-03-08,YPH96,1.641,1.654,1.601,1.608,-0.03569999999999984,,
1995-03-09,YPH96,1.608,1.624,1.5975,1.611,0.0029999999999998916,,
1995-03-10,YPH96,1.611,1.6119,1.565,1.567,-0.04400000000000004,,
1995-03-13,YPH96,1.567,1.5984,1.567,1.5917,0.024699999999999944,,
1995-03-14,YPH96,1.591,1.594,1.5828,1.5835,-0.008199999999999985,,
1995-03-15,YPH96,1.5845,1.6036,1.583,1.597,0.013500000000000068,,
1995-03-16,YPH96,1.5964,1.6028,1.5858,1.5878,-0.009199999999999875,,
1995-03-17,YPH96,1.5881,1.5945,1.575,1.5838,-0.0040000000000000036,,
1995-03-20,YPH96,1.5835,1.5946,1.5712,1.5746,-0.009200000000000097,,
1995-03-21,YPH96,1.5736,1.5895,1.5736,1.5856,0.010999999999999899,,
1995-03-22,YPH96,1.5865,1.5919,1.5819,1.5881,0.0025000000000001688,,
1995-03-23,YPH96,1.588,1.5986,1.5845,1.595,0.006899999999999906,,
1995-03-24,YPH96,1.595,1.6005,1.5868,1.5916,-0.0034000000000000696,,
1995-03-27,YPH96,1.5914,1.6015,1.5904,1.5936,0.0020000000000000018,,
1995-03-28,YPH96,1.5946,1.6157,1.5946,1.6136,0.020000000000000018,,
1995-03-29,YPH96,1.6136,1.6172,1.607,1.6122,-0.0013999999999998458,,
1995-03-30,YPH96,1.6127,1.6145,1.593,1.5989,-0.01330000000000009,,
1995-03-31,YPH96,1.5994,1.631,1.5994,1.6202,0.021300000000000097,,
1995-04-03,YPH96,1.6205,1.6268,1.6151,1.6178,-0.0024000000000001798,,
1995-04-04,YPH96,1.6176,1.6208,1.5982,1.6042,-0.013599999999999834,,
1995-04-05,YPH96,1.6043,1.6165,1.6019,1.609,0.0047999999999999154,,
1995-04-06,YPH96,1.6094,1.6146,1.6037,1.6055,-0.0035000000000000586,,
1995-04-07,YPH96,1.607,1.6212,1.5988,1.6114,0.005900000000000016,,
1995-04-10,YPH96,1.611,1.615,1.5865,1.5928,-0.01859999999999995,,
1995-04-11,YPH96,1.5926,1.6002,1.5872,1.5938,0.001000000000000112,,
1995-04-12,YPH96,1.5936,1.5947,1.587,1.593,-0.0008000000000001339,,
1995-04-13,YPH96,1.5925,1.61,1.5892,1.6064,0.013400000000000079,,
1995-04-14,YPH96,1.6072,1.6125,1.602,1.6025,-0.0039000000000000146,,
1995-04-17,YPH96,1.603,1.625,1.603,1.6209,0.018399999999999972,,
1995-04-18,YPH96,1.621,1.6253,1.612,1.6171,-0.0038000000000000256,,
1995-04-19,YPH96,1.6165,1.6195,1.6078,1.6105,-0.006599999999999939,,
1995-04-20,YPH96,1.6105,1.6176,1.6045,1.611,0.0004999999999999449,,
1995-04-21,YPH96,1.6109,1.614,1.6017,1.6105,-0.0004999999999999449,,
1995-04-24,YPH96,1.6111,1.6219,1.5958,1.6015,-0.009000000000000119,,
1995-04-25,YPH96,1.601,1.6189,1.601,1.6145,0.013000000000000123,,
1995-04-26,YPH96,1.613,1.6235,1.606,1.6125,-0.0020000000000000018,,
1995-04-27,YPH96,1.6122,1.6192,1.612,1.6185,0.006000000000000005,,
1995-04-28,YPH96,1.618,1.6197,1.608,1.611,-0.007500000000000062,,
1995-05-01,YPH96,1.611,1.619,1.609,1.616,0.0050000000000001155,,
1995-05-02,YPH96,1.6164,1.6168,1.6117,1.6145,-0.0015000000000000568,,
1995-05-03,YPH96,1.6145,1.619,1.6117,1.616,0.0015000000000000568,,
1995-05-04,YPH96,1.616,1.6233,1.6128,1.613,-0.0030000000000001137,,
1995-05-05,YPH96,1.6138,1.6167,1.5955,1.5973,-0.015700000000000047,,
1995-05-08,YPH96,1.597,1.61,1.597,1.6033,0.006000000000000005,,
1995-05-09,YPH96,1.6036,1.6055,1.5848,1.5848,-0.01849999999999996,,
1995-05-10,YPH96,1.5852,1.5942,1.5798,1.5832,-0.0016000000000000458,,
1995-05-11,YPH96,1.583,1.587,1.5538,1.5592,-0.02400000000000002,,
1995-05-12,YPH96,1.559,1.5762,1.5533,1.5678,0.008600000000000163,,
1995-05-15,YPH96,1.568,1.5774,1.56,1.5712,0.0033999999999998476,,
1995-05-16,YPH96,1.5715,1.5747,1.5595,1.5655,-0.005700000000000038,,
1995-05-17,YPH96,1.5658,1.5726,1.5635,1.5688,0.0033000000000000806,,
1995-05-18,YPH96,1.5692,1.58,1.5612,1.5758,0.007000000000000117,,
1995-05-19,YPH96,1.576,1.58,1.5681,1.5704,-0.005400000000000071,,
1995-05-22,YPH96,1.57,1.5795,1.5635,1.5768,0.006399999999999961,,
1995-05-23,YPH96,1.5759,1.5773,1.5654,1.568,-0.008799999999999919,,
1995-05-24,YPH96,1.569,1.5772,1.5672,1.5738,0.005800000000000027,,
1995-05-25,YPH96,1.5734,1.6102,1.5734,1.608,0.03420000000000001,,
1995-05-26,YPH96,1.608,1.6125,1.601,1.6066,-0.0014000000000000679,,
1995-05-29,YPH96,1.6072,1.6072,1.5974,1.598,-0.008599999999999941,,
1995-05-30,YPH96,1.596,1.6035,1.5959,1.6024,0.0043999999999999595,,
1995-05-31,YPH96,1.6022,1.6074,1.5857,1.5887,-0.013700000000000045,,
1995-06-01,YPH96,1.589,1.6003,1.5811,1.5973,0.008599999999999941,,
1995-06-02,YPH96,1.5972,1.6015,1.5814,1.5873,-0.010000000000000009,,
1995-06-05,YPH96,1.5875,1.5986,1.5865,1.5963,0.009000000000000119,,
1995-06-06,YPH96,1.5965,1.5971,1.587,1.5909,-0.005400000000000071,,
1995-06-07,YPH96,1.5905,1.5942,1.588,1.5902,-0.0006999999999999229,,
1995-06-08,YPH96,1.5901,1.5997,1.5865,1.5973,0.007099999999999884,,
1995-06-09,YPH96,1.5975,1.599,1.593,1.5945,-0.0027999999999999137,,
1995-06-12,YPH96,1.5935,1.5974,1.5928,1.5942,-0.00029999999999996696,,
1995-06-13,YPH96,1.5939,1.5994,1.5922,1.5945,0.00029999999999996696,,
1995-06-14,YPH96,1.5945,1.6156,1.5934,1.6116,0.017099999999999893,,
1995-06-15,YPH96,1.6116,1.6144,1.5934,1.5984,-0.013199999999999878,,
1995-06-16,YPH96,1.5988,1.6096,1.597,1.6046,0.006199999999999983,,
1995-06-19,YPH96,1.6042,1.608,1.5967,1.5996,-0.0050000000000001155,,
1995-06-20,YPH96,1.599,1.605,1.597,1.6042,0.0046000000000001595,,
1995-06-21,YPH96,1.6046,1.6093,1.6027,1.6083,0.0040999999999999925,,
1995-06-22,YPH96,1.609,1.6115,1.594,1.597,-0.011300000000000088,,
1995-06-23,YPH96,1.5968,1.6069,1.5944,1.6047,0.00770000000000004,,
1995-06-26,YPH96,1.6051,1.6064,1.5822,1.5848,-0.01990000000000003,,
1995-06-27,YPH96,1.5845,1.5902,1.578,1.5875,0.0026999999999999247,,
1995-06-28,YPH96,1.5865,1.5875,1.5707,1.5761,-0.011399999999999855,,
1995-06-29,YPH96,1.5759,1.599,1.575,1.5979,0.02180000000000004,,
1995-06-30,YPH96,1.5977,1.599,1.581,1.5933,-0.0046000000000001595,,
1995-07-03,YPH96,1.593,1.5994,1.5914,1.5979,0.0046000000000001595,,
1995-07-04,YPH96,1.5977,1.6021,1.5928,1.6018,0.0038999999999997925,,
1995-07-05,YPH96,1.6013,1.6038,1.5897,1.5958,-0.005999999999999783,,
1995-07-06,YPH96,1.5962,1.601,1.593,1.5994,0.0035999999999998256,,
1995-07-07,YPH96,1.5996,1.6007,1.5866,1.593,-0.006399999999999961,,
1995-07-10,YPH96,1.593,1.5962,1.589,1.5943,0.0013000000000000789,,
1995-07-11,YPH96,1.5944,1.5945,1.5873,1.5894,-0.0049000000000001265,,
1995-07-12,YPH96,1.5895,1.5938,1.5857,1.5904,0.001000000000000112,,
1995-07-13,YPH96,1.5901,1.6044,1.5878,1.5989,0.008499999999999952,,
1995-07-14,YPH96,1.5987,1.6003,1.592,1.5946,-0.0042999999999999705,,
1995-07-17,YPH96,1.595,1.5957,1.5909,1.5954,0.0007999999999999119,,
1995-07-18,YPH96,1.5951,1.5976,1.5929,1.5958,0.000400000000000178,,
1995-07-19,YPH96,1.5958,1.6017,1.5925,1.599,0.0031999999999998696,,
1995-07-20,YPH96,1.5986,1.5996,1.5948,1.5948,-0.0041999999999999815,,
1995-07-21,YPH96,1.595,1.5962,1.5927,1.5939,-0.0008999999999999009,,
1995-07-24,YPH96,1.5934,1.598,1.5934,1.596,0.0020999999999999908,,
1995-07-25,YPH96,1.5962,1.598,1.5872,1.5901,-0.005900000000000016,,
1995-07-26,YPH96,1.5903,1.5978,1.5884,1.5955,0.005399999999999849,,
1995-07-27,YPH96,1.5955,1.5987,1.5918,1.596,0.000500000000000167,,
1995-07-28,YPH96,1.596,1.6036,1.5959,1.6013,0.00529999999999986,,
1995-07-31,YPH96,1.6,1.6035,1.5955,1.5975,-0.0038000000000000256,,
1995-08-01,YPH96,1.597,1.6095,1.5956,1.607,0.009500000000000064,,
1995-08-02,YPH96,1.606,1.6095,1.595,1.599,-0.008000000000000007,,
1995-08-03,YPH96,1.5987,1.6081,1.5987,1.6049,0.005900000000000016,,
1995-08-04,YPH96,1.6051,1.61,1.6015,1.6072,0.0022999999999999687,,
1995-08-07,YPH96,1.606,1.6085,1.6008,1.6008,-0.006399999999999961,,
