"Symbol: CCU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,CCH80,2960,2987,2899,2938,0,1645,6650
1980-01-03,CCH80,2954,3000,2945,2945,7,861,6648
1980-01-04,CCH80,2965,2970,2927,2965,20,721,6737
1980-01-07,CCH80,2954,2993,2932,2993,28,601,6762
1980-01-08,CCH80,3020,3051,2998,3031,38,984,6733
1980-01-09,CCH80,3026,3051,3011,3011,-20,442,6745
1980-01-10,CCH80,2998,3029,2997,3004,-7,587,6770
1980-01-11,CCH80,3005,3075,2993,3069,65,773,6804
1980-01-14,CCH80,3026,3095,3026,3043,-26,809,6825
1980-01-15,CCH80,3060,3071,3040,3042,-1,469,6772
1980-01-16,CCH80,3050,3051,2998,3017,-25,693,6784
1980-01-17,CCH80,2998,3057,2998,3056,39,848,6755
1980-01-18,CCH80,3051,3084,3013,3020,-36,836,6799
1980-01-21,CCH80,3042,3042,2976,2980,-40,836,6799
1980-01-22,CCH80,2970,3000,2964,2987,7,885,6711
1980-01-23,CCH80,3004,3042,3004,3021,34,1139,6831
1980-01-24,CCH80,3031,3064,3031,3034,13,886,6874
1980-01-25,CCH80,3048,3075,3040,3059,25,1225,6900
1980-01-28,CCH80,3053,3086,3053,3062,3,561,6962
1980-01-29,CCH80,3075,3150,3075,3150,88,2599,7187
1980-01-30,CCH80,3153,3237,3142,3219,69,2965,8059
1980-01-31,CCH80,3186,3208,3157,3177,-42,1987,8314
1980-02-01,CCH80,3175,3193,3153,3177,0,1157,8474
1980-02-04,CCH80,3175,3257,3175,3257,80,1749,8996
1980-02-05,CCH80,3252,3274,3212,3212,-45,2358,9416
1980-02-06,CCH80,3223,3262,3219,3248,36,1460,9640
1980-02-07,CCH80,3235,3252,3197,3226,-22,1640,9567
1980-02-08,CCH80,3212,3261,3208,3210,-16,1464,9649
1980-02-11,CCH80,3230,3298,3224,3296,86,2223,10473
1980-02-13,CCH80,3371,3384,3137,3384,88,2875,11320
1980-02-14,CCH80,3362,3401,3333,3345,-39,2426,11516
1980-02-15,CCH80,3322,3344,3261,3267,-78,2707,11318
1980-02-19,CCH80,3263,3298,3179,3179,-88,2255,10523
1980-02-20,CCH80,3091,3117,3091,3091,-88,3666,9484
1980-02-21,CCH80,3031,3075,2866,2932,-159,4751,8728
1980-02-22,CCH80,2910,2943,2820,2866,-66,4250,7863
1980-02-25,CCH80,2910,2976,2866,2956,90,1558,7553
1980-02-26,CCH80,2934,2986,2932,2932,-24,1288,7638
1980-02-27,CCH80,2976,3007,2952,3007,75,1112,7613
1980-02-28,CCH80,2985,3029,2976,2980,-27,1277,7731
1980-02-29,CCH80,2943,2975,2943,2975,-5,1277,7731
1980-03-03,CCH80,2982,3040,2982,3040,65,1463,7761
1980-03-04,CCH80,3009,3018,3005,3015,-25,944,7858
1980-03-05,CCH80,3031,3103,3031,3103,88,1392,7926
1980-03-06,CCH80,3064,3075,3021,3021,-82,1145,8075
1980-03-07,CCH80,2910,2982,2910,2976,-45,1041,8017
1980-03-10,CCH80,2932,2932,2927,2927,-49,1606,7943
