"Symbol: CTZ20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,CTH80,74.5,75.2,74.4,75.15,0,7639,44652
1980-01-03,CTH80,75.25,75.4,74.15,74.63,-0.5200000000000102,8940,44600
1980-01-04,CTH80,74.37,74.77,73.8,74.3,-0.3299999999999983,8665,45324
1980-01-07,CTH80,73,73.7,72.5,72.98,-1.3199999999999932,12931,44387
1980-01-08,CTH80,73.25,73.6,72.55,72.65,-0.3299999999999983,10204,44903
1980-01-09,CTH80,72.7,74.5,72.7,74.46,1.809999999999988,11604,44953
1980-01-10,CTH80,74.45,75.5,74.3,74.87,0.4100000000000108,13762,46588
1980-01-11,CTH80,74.55,76.15,74.25,76.05,1.1799999999999926,13488,46716
1980-01-14,CTH80,76.3,76.95,76,76.54,0.4900000000000091,12755,47439
1980-01-15,CTH80,76.2,76.8,76.05,76.3,-0.2400000000000091,10973,48320
1980-01-16,CTH80,76.8,77.4,76.25,76.29,-0.009999999999990905,12596,49681
1980-01-17,CTH80,76.31,78,76.31,77.86,1.5699999999999932,14261,49063
1980-01-18,CTH80,78.5,79.15,77,77.14,-0.7199999999999989,15180,49458
1980-01-21,CTH80,77.6,77.92,76.65,77.51,0.37000000000000455,11730,49745
1980-01-22,CTH80,76.7,79.5,76.13,79.35,1.8399999999999892,18704,49532
1980-01-23,CTH80,79.4,80.85,79.4,80.5,1.1500000000000057,16232,50557
1980-01-24,CTH80,81,81.75,80.8,81.64,1.1400000000000006,13078,50471
1980-01-25,CTH80,81.3,82.2,80.25,80.31,-1.3299999999999983,13717,50758
1980-01-28,CTH80,79.9,82,79.7,81.88,1.5699999999999932,12324,51550
1980-01-29,CTH80,82.75,83.88,82.3,83.88,2,15058,52255
1980-01-30,CTH80,84.05,84.88,83.5,84.05,0.1700000000000017,16708,53131
1980-01-31,CTH80,83.75,85.6,83.32,84.8,0.75,15509,54046
1980-02-01,CTH80,84.7,86.5,84.34,86.21,1.4099999999999966,14885,54713
1980-02-04,CTH80,88.21,88.21,87.5,88.21,2,10150,55609
1980-02-05,CTH80,90.21,90.21,89.5,89.55,1.3400000000000034,9266,55302
1980-02-06,CTH80,88.3,90.55,87.55,87.55,-2,18426,55519
1980-02-07,CTH80,86.3,87.25,85.55,85.55,-2,14465,57051
1980-02-08,CTH80,86.6,87.55,86,87.55,2,16826,58073
1980-02-11,CTH80,89.55,89.55,88.45,88.8,1.25,13942,59634
1980-02-12,CTH80,87.85,88.55,86.8,86.8,-2,16387,60339
1980-02-13,CTH80,86.5,88,84.8,86.95,0.15000000000000568,20671,60528
1980-02-15,CTH80,85.06,85.7,84.92,84.95,-2,13296,60986
1980-02-19,CTH80,83,83.55,82.95,82.95,-2,7170,61578
1980-02-20,CTH80,80.95,83.8,80.95,83.46,0.5099999999999909,21063,59211
1980-02-21,CTH80,84,84.6,81.1,81.25,-2.2099999999999937,17270,57977
1980-02-22,CTH80,81,81.85,79.6,81.49,0.23999999999999488,17889,56132
1980-02-25,CTH80,81.6,87,81.6,83.25,1.7600000000000051,15046,56189
1980-02-26,CTH80,84.75,86.5,84.08,86,2.75,14373,55928
1980-02-27,CTH80,86.05,87.15,85,86.7,0.7000000000000028,14039,56345
1980-02-28,CTH80,85.26,87,85.05,86.75,0.04999999999999716,10870,57103
1980-02-29,CTH80,87,87,85.7,86.95,0.20000000000000284,10870,57103
1980-03-03,CTK80,86.4,86.55,84.77,85.35,-1.6000000000000085,13403,56476
1980-03-04,CTK80,84.6,85,83.85,84.6,-0.75,12312,56269
1980-03-05,CTK80,85,86.1,84.6,84.7,0.10000000000000853,9417,56341
1980-03-06,CTK80,84,84.25,82.7,82.7,-2,12994,55491
1980-03-07,CTK80,81.25,82.9,81.25,82.37,-0.3299999999999983,13214,55087
1980-03-10,CTK80,81.5,81.8,80.37,80.37,-2,13563,52809
1980-03-11,CTK80,80.25,80.8,78.5,80.34,-0.030000000000001137,15550,52899
