"Symbol: LFU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1986-06-03,LFM86,120,120.25,117.5,118.5,0,,
1986-06-04,LFN86,113.5,114.5,112,113.25,-5.25,,
1986-06-05,LFN86,116,117.75,115.25,116.25,3,,
1986-06-06,LFN86,118.25,118.25,115,115.5,-0.75,,
1986-06-09,LFN86,115,115,112.5,114.5,-1,,
1986-06-10,LFN86,114.5,117.5,114.5,115.75,1.25,,
1986-06-11,LFN86,114,118.75,113.5,118,2.25,,
1986-06-12,LFN86,119.5,121.5,117.25,119.25,1.25,,
1986-06-13,LFN86,121,121,118.25,120,0.75,,
1986-06-16,LFN86,121.5,121.75,118.75,119,-1,,
1986-06-17,LFN86,117.25,119,117,118.75,-0.25,,
1986-06-18,LFN86,118,118,115.5,115.5,-3.25,,
1986-06-19,LFN86,115.75,150,114.5,115.25,-0.25,,
1986-06-20,LFN86,116.5,116.5,113,113,-2.25,,
1986-06-23,LFN86,111.5,113,111.5,112.25,-0.75,,
1986-06-24,LFN86,112,112.75,111.5,111.5,-0.75,,
1986-06-25,LFN86,111,112.75,109.5,112.75,1.25,,
1986-06-26,LFN86,113,115.25,112,113.5,0.75,,
1986-06-27,LFN86,112.5,114,111.75,114,0.5,,
1986-06-30,LFN86,114,114,109,110,-4,,
1986-07-01,LFQ86,110,110,105.75,107.25,-2.75,,
1986-07-03,LFQ86,100,100,96,97.25,-10,,
1986-07-07,LFQ86,97,97.75,96,97.5,0.25,,
1986-07-10,LFQ86,93,94,90,93.75,-3.75,,
1986-07-11,LFQ86,93.5,93.5,92.25,92.75,-1,,
1986-07-14,LFQ86,90.5,90.5,86.5,87,-5.75,,
1986-07-15,LFQ86,89,93.5,87.5,93.5,6.5,,
1986-07-16,LFQ86,90,96,87,87,-6.5,,
1986-07-17,LFQ86,99.5,105,97.25,98,11,,
1986-07-18,LFQ86,95,99.75,95,99.25,1.25,,
1986-07-21,LFQ86,101,106.25,100.5,106,6.75,,
1986-07-22,LFQ86,102.75,110,98,98,-8,,
1986-07-23,LFQ86,93.25,97.5,93,97,-1,,
1986-07-24,LFQ86,107,107,97,99,2,,
1986-07-25,LFQ86,98.5,99.5,97.5,97.75,-1.25,,
1986-07-28,LFQ86,95.75,95.75,94,94.5,-3.25,,
1986-07-29,LFQ86,94.5,95,93.5,94.75,0.25,,
1986-07-30,LFQ86,98.5,100.5,98.5,100.5,5.75,,
1986-07-31,LFQ86,100,100,95.5,95.5,-5,,
1986-08-01,LFQ86,94,96,94,96,0.5,,
1986-08-04,LFU86,97,115,96,115,19,,
1986-08-05,LFU86,130,140,126,130.5,15.5,,
1986-08-06,LFU86,123,127,121.5,125.25,-5.25,,
1986-08-07,LFU86,128,150.5,128,130.75,5.5,,
1986-08-08,LFU86,127.5,127.5,125,126.75,-4,,
1986-08-11,LFU86,124,124.75,122,122.25,-4.5,,
1986-08-12,LFU86,123,127,122.5,126.5,4.25,,
1986-08-13,LFU86,128,132.5,126,129,2.5,,
1986-08-14,LFU86,126,128,125.5,128,-1,,
1986-08-15,LFU86,128.5,130,128,129.75,1.75,,
1986-08-18,LFU86,130,133,130,133,3.25,,
1986-08-19,LFU86,130,130,127,127.25,-5.75,,
1986-08-20,LFU86,126,128.5,126,128,0.75,,
1986-08-21,LFU86,128.75,132,128.75,130.25,2.25,,
1986-08-22,LFU86,129.5,131.5,129.25,130.25,0,,
1986-08-26,LFU86,130,133.75,130,133,2.75,,
1986-08-27,LFU86,132,133.25,132,132.75,-0.25,,
1986-08-28,LFU86,132.25,132.75,129.25,129.75,-3,,
1986-08-29,LFU86,131,131.5,129.75,131.25,1.5,,
1986-09-02,LFU86,132,133.75,131.5,133.25,2,,
1986-09-03,LFU86,135,137.25,133.5,133.5,0.25,,
1986-09-04,LFV86,137,139.75,137,139.5,6,,
1986-09-05,LFV86,140,143.5,140,141.5,2,,
1986-09-08,LFV86,141,141.5,136.25,137.75,-3.75,,
1986-09-09,LFV86,135,135.25,132,133.25,-4.5,,
1986-09-10,LFV86,130,131,128,129,-4.25,,
1986-09-11,LFV86,127,129.75,123,123,-6,,
1986-09-12,LFV86,126.5,127.75,124.5,127,4,,
1986-09-15,LFV86,127,127,118.5,118.5,-8.5,,
1986-09-16,LFV86,117.5,121,116.25,119.5,1,,
1986-09-17,LFV86,116.5,121,116.25,120.5,1,,
1986-09-18,LFV86,120,123,120,120.5,0,,
1986-09-19,LFV86,122.5,123.75,122,123.25,2.75,,
1986-09-22,LFV86,122.5,123.5,121.5,121.75,-1.5,,
1986-09-23,LFV86,120,120.75,118.5,120.25,-1.5,,
1986-09-24,LFV86,121,122,120,120.25,0,,
1986-09-25,LFV86,118.5,118.5,116.25,116.5,-3.75,,
1986-09-26,LFV86,116.75,117.5,115.5,116.75,0.25,,
1986-09-29,LFV86,123.75,123.75,116.5,118.5,1.75,,
1986-09-30,LFV86,120,122.75,119.5,121.5,3,,
1986-10-01,LFV86,122,122.5,118,122.25,0.75,,
1986-10-02,LFX86,130.5,131.5,129.25,129.75,7.5,,
1986-10-03,LFX86,130.75,130.75,126,126.5,-3.25,,
1986-10-06,LFX86,124,124.75,123.25,124,-2.5,,
1986-10-07,LFX86,125,128,124,128,4,,
1986-10-08,LFX86,127.5,129.25,126,127.25,-0.75,,
1986-10-09,LFX86,127,127,124.5,124.75,-2.5,,
1986-10-10,LFX86,123.75,125,121.5,122,-2.75,,
1986-10-13,LFX86,120,121.75,119,120.5,-1.5,,
1986-10-14,LFX86,117,119,117,117.75,-2.75,,
1986-10-15,LFX86,120.5,122.25,119.75,122,4.25,,
1986-10-16,LFX86,122,122.25,120.25,120.25,-1.75,,
1986-10-17,LFX86,121.5,122,120,121.75,1.5,,
1986-10-20,LFX86,123.5,126.5,123.5,125.5,3.75,,
1986-10-21,LFX86,126.75,127.5,125.25,126.5,1,,
1986-10-22,LFX86,127,127,121.25,122.25,-4.25,,
1986-10-23,LFX86,121.5,121.5,119.25,120.25,-2,,
1986-10-24,LFX86,119,119.5,118,118.5,-1.75,,
1986-10-27,LFX86,117.5,117.75,114.25,114.5,-4,,
1986-10-28,LFX86,112,112.5,110,111.5,-3,,
1986-10-29,LFX86,111.5,112.5,107.75,107.75,-3.75,,
1986-10-30,LFX86,100,113.25,100,113,5.25,,
1986-10-31,LFX86,117,122.75,115.5,120,7,,
1986-11-03,LFX86,118,120.5,118,119,-1,,
1986-11-04,LFX86,116,121,116,121,2,,
1986-11-05,LFZ86,126.5,128,125.25,125.5,4.5,,
1986-11-06,LFZ86,124.5,129,124,129,3.5,,
1986-11-07,LFZ86,129,131.5,129,129.25,0.25,,
1986-11-10,LFZ86,128,132,128,130.5,1.25,,
1986-11-11,LFZ86,130.5,131.25,129.5,131.25,0.75,,
1986-11-12,LFZ86,132,132,129,129,-2.25,,
1986-11-13,LFZ86,128.25,131,128,130.25,1.25,,
1986-11-14,LFZ86,133,133.5,131.25,133,2.75,,
1986-11-17,LFZ86,132,134.25,131.25,131.25,-1.75,,
1986-11-18,LFZ86,131,131.5,130,130.25,-1,,
1986-11-19,LFZ86,129.75,131.5,128.75,130.75,0.5,,
1986-11-20,LFZ86,129.75,129.75,127.25,127.25,-3.5,,
1986-11-21,LFZ86,125.5,126.75,125.25,125.25,-2,,
1986-11-24,LFZ86,124.5,126.5,123.5,124,-1.25,,
1986-11-25,LFZ86,121,122.75,119.5,122.25,-1.75,,
1986-11-26,LFZ86,123,126.5,123,124.75,2.5,,
1986-11-28,LFZ86,123.5,124,122,122.25,-2.5,,
1986-12-01,LFZ86,122.5,124.25,122.5,123.75,1.5,,
1986-12-02,LFZ86,125,125,122.5,122.5,-1.25,,
1986-12-03,LFF87,126.75,128.75,126.5,128,5.5,,
1986-12-04,LFF87,126.75,127.25,125.25,125.5,-2.5,,
1986-12-05,LFF87,126.25,127.25,125,126,0.5,,
1986-12-08,LFF87,126.25,126.75,124.5,124.75,-1.25,,
1986-12-09,LFF87,123.5,124,122.25,123,-1.75,,
1986-12-10,LFF87,121.5,124.5,120.5,123.5,0.5,,
1986-12-11,LFF87,124.5,127.25,124.5,127.25,3.75,,
1986-12-12,LFF87,130,133,127,129.75,2.5,,
1986-12-15,LFF87,133,135,131.5,135,5.25,,
1986-12-16,LFF87,134.75,135,130.5,131,-4,,
1986-12-17,LFF87,130,131.75,129,130,-1,,
1986-12-18,LFF87,129.5,131.5,127.25,131,1,,
1986-12-19,LFF87,133,137.5,132.5,134,3,,
1986-12-22,LFF87,146,146,137.75,138.25,4.25,,
1986-12-23,LFF87,138.75,140,137.25,139.75,1.5,,
1986-12-24,LFF87,139.25,140.5,138.75,140.5,0.75,,
1986-12-29,LFF87,141.5,143.75,140.25,143.5,3,,
1986-12-30,LFF87,144,144.75,143.25,144.75,1.25,,
1986-12-31,LFF87,144.75,150,144.75,150,5.25,,
1987-01-05,LFG87,155,156.75,153.5,153.75,3.75,,
1987-01-06,LFG87,152.5,156.25,152,156,2.25,,
1987-01-07,LFG87,157.5,158.75,156.25,156.5,0.5,,
1987-01-08,LFG87,157.5,161.75,157.5,161.5,5,,
1987-01-09,LFG87,163,164.5,160.5,164.25,2.75,,
1987-01-12,LFG87,170,174.75,170,173.5,9.25,,
1987-01-13,LFG87,175,177,168,168.25,-5.25,,
1987-01-14,LFG87,170.5,173.75,169.5,173.5,5.25,,
1987-01-15,LFG87,176,176.5,173.25,173.75,0.25,,
1987-01-16,LFG87,171,172.5,169.25,169.5,-4.25,,
1987-01-19,LFG87,169.5,170.25,167,167.25,-2.25,,
1987-01-20,LFG87,164.5,166,161,165.5,-1.75,,
1987-01-21,LFG87,167.75,167.75,159.75,160,-5.5,,
1987-01-22,LFG87,159,163.5,157.25,161,1,,
