"Symbol: LOV20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2006-04-21,LOM06,2.0482,2.097,2.0475,2.0911,0,829,156
2006-04-24,LOM06,2.0806,2.085,2.0416,2.0456,-0.045500000000000096,964,816
2006-04-25,LOM06,2.0407,2.0735,2.0402,2.069,0.023400000000000087,920,783
2006-04-26,LOM06,2.0722,2.0753,2.026,2.0318,-0.0371999999999999,575,613
2006-04-27,LOM06,2.0208,2.0234,1.9915,1.9936,-0.03820000000000001,1012,525
2006-04-28,LOM06,2.0007,2.042,2.0007,2.0129,0.019300000000000095,949,1023
2006-05-01,LOM06,2.0198,2.064,2.0196,2.0588,0.04590000000000005,1091,1692
2006-05-02,LOM06,2.0717,2.087,2.055,2.0788,0.020000000000000018,1218,2428
2006-05-03,LOM06,2.08,2.08,2.0032,2.0032,-0.07560000000000011,986,3184
2006-05-04,LOM06,2.0031,2.0031,1.9186,1.9377,-0.06550000000000011,638,3380
2006-05-05,LOM06,1.9583,1.962,1.9406,1.9561,0.018399999999999972,1468,3326
2006-05-08,LOM06,1.9428,1.959,1.915,1.9545,-0.0016000000000000458,1807,3874
2006-05-09,LOM06,1.965,2.0162,1.9607,1.9951,0.04060000000000019,1688,3789
2006-05-10,LOM06,1.9967,2.065,1.9745,2.0647,0.0696000000000001,2035,4506
2006-05-11,LOM06,2.0892,2.1083,2.075,2.0964,0.03169999999999984,1239,5494
2006-05-12,LOM06,2.0719,2.085,2.0455,2.0467,-0.04970000000000008,1423,5348
2006-05-15,LOM06,1.9988,1.9988,1.944,1.945,-0.1016999999999999,928,5762
2006-05-16,LOM06,1.959,1.98,1.9385,1.9515,0.00649999999999995,735,6040
2006-05-17,LOM06,1.9512,1.9512,1.9142,1.9212,-0.030299999999999994,842,6307
2006-05-18,LOM06,1.912,1.955,1.9067,1.9513,0.030100000000000016,434,6467
2006-05-19,LOM06,1.9475,1.9525,1.916,1.9201,-0.031200000000000117,571,6468
2006-05-22,LOM06,1.9045,1.9326,1.9015,1.9326,0.012500000000000178,389,6469
2006-05-23,LOM06,1.9965,2.0237,1.9895,1.9989,0.0662999999999998,643,6424
