"Symbol: OJU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,OJF80,95.25,97.1,95.25,97.1,0,1415,10351
1980-01-03,OJF80,97,97.9,96,96.05,-1.0499999999999972,1268,10064
1980-01-04,OJF80,96.5,100,96.5,97.75,1.7000000000000028,1121,10117
1980-01-07,OJF80,95.05,95.05,93.1,93.1,-4.650000000000006,1541,9835
1980-01-08,OJF80,92.5,92.5,91.3,91.8,-1.2999999999999972,1504,9290
1980-01-09,OJF80,91.35,92.75,91.05,92.15,0.3500000000000085,884,9081
1980-01-10,OJF80,92.25,92.25,89.5,90.2,-1.9500000000000028,1858,8798
1980-01-11,OJF80,89.9,91,89.9,90.65,0.45000000000000284,1051,8853
1980-01-14,OJH80,89.8,90.9,89,90.4,-0.25,1133,8377
1980-01-15,OJH80,91.3,92.1,90.9,91.35,0.9499999999999886,682,8171
1980-01-16,OJH80,91.5,91.6,90.5,91.25,-0.09999999999999432,496,8064
1980-01-17,OJH80,91,91.95,91,91.25,0,666,7975
1980-01-18,OJH80,90.75,90.75,86.25,89.3,-1.9500000000000028,1511,7530
1980-01-21,OJH80,89.75,90.55,89.3,89.75,0.45000000000000284,545,7510
1980-01-22,OJH80,90,90.15,89.1,89.8,0.04999999999999716,526,7557
1980-01-23,OJH80,89.5,90.75,89.5,90.65,0.8500000000000085,489,7534
1980-01-24,OJH80,91.25,91.3,89.9,90.75,0.09999999999999432,509,7618
1980-01-25,OJH80,90.4,90.4,88.8,89.5,-1.25,524,7560
1980-01-28,OJH80,88.5,88.6,85.9,86.7,-2.799999999999997,1250,7312
1980-01-29,OJH80,87.1,88.45,87,87.75,1.0499999999999972,1011,7596
1980-01-30,OJH80,88,88.4,87,87,-0.75,606,7506
1980-01-31,OJH80,88.75,89.7,88.5,88.85,1.8499999999999943,1386,7612
1980-02-01,OJH80,91,91.2,87,87.3,-1.5499999999999972,1237,7773
1980-02-04,OJH80,87.25,88.3,86.4,87.95,0.6500000000000057,1098,7659
