"Symbol: NFU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1997-02-03,NFH97,13.195,13.5,13.195,13.195,0,,
1997-02-04,NFH97,12.01,12.25,12,12.035,-1.1600000000000001,,
1997-02-05,NFH97,12.035,12.035,12.035,12.035,0,,
1997-02-06,NFH97,12.2,12.3,12,12.1,0.0649999999999995,,
1997-02-07,NFH97,12.15,12.175,12.1,12.14,0.040000000000000924,,
1997-02-10,NFH97,12.55,12.55,11.96,12.07,-0.07000000000000028,,
1997-02-11,NFH97,11.545,11.545,11.36,11.36,-0.7100000000000009,,
1997-02-12,NFH97,10.65,10.795,10.65,10.795,-0.5649999999999995,,
1997-02-13,NFH97,10.825,11.05,10.825,10.825,0.02999999999999936,,
1997-02-14,NFH97,10.15,10.5,10.15,10.5,-0.3249999999999993,,
1997-02-17,NFH97,9.2,10.35,9.2,9.2,-1.3000000000000007,,
1997-02-18,NFH97,10,10,9.85,9.85,0.6500000000000004,,
1997-02-19,NFH97,10.85,10.85,10.55,10.69,0.8399999999999999,,
1997-02-20,NFH97,9.900001,10.1,9.900001,9.900001,-0.7899989999999999,,
1997-02-21,NFJ97,10.3,10.3,10.3,10.3,0.3999990000000011,,
1997-02-24,NFJ97,9.900001,9.900001,9.900001,9.900001,-0.3999990000000011,,
1997-02-25,NFJ97,9.985,9.985,9.985,9.985,0.08499899999999982,,
1997-02-26,NFJ97,10,10.005,10,10.005,0.02000000000000135,,
1997-02-27,NFJ97,10.4,10.4,10.4,10.4,0.3949999999999996,,
1997-02-28,NFJ97,10.34,10.34,10.34,10.34,-0.0600000000000005,,
1997-03-03,NFJ97,10.42,10.42,10.305,10.35,0.009999999999999787,,
1997-03-04,NFJ97,10.45,10.45,10.3,10.3,-0.049999999999998934,,
1997-03-05,NFJ97,10.2,10.2,10.2,10.2,-0.10000000000000142,,
1997-03-06,NFJ97,10.1,10.1,10.1,10.1,-0.09999999999999964,,
1997-03-07,NFJ97,10,10,10,10,-0.09999999999999964,,
1997-03-10,NFJ97,9.900001,9.900001,9.900001,9.900001,-0.0999990000000004,,
1997-03-11,NFJ97,9.835,9.835,9.835,9.835,-0.06500099999999875,,
1997-03-12,NFJ97,9.785,9.785,9.785,9.785,-0.05000000000000071,,
1997-03-13,NFJ97,9.8,9.8,9.8,9.8,0.015000000000000568,,
1997-03-14,NFJ97,9.825,9.825,9.825,9.825,0.02499999999999858,,
1997-03-17,NFJ97,9.7,9.7,9.7,9.7,-0.125,,
1997-03-18,NFJ97,9.690001,9.690001,9.690001,9.690001,-0.009998999999998759,,
1997-03-19,NFJ97,9.7,9.7,9.7,9.7,0.009998999999998759,,
1997-03-20,NFK97,9.705001,9.705001,9.705001,9.705001,0.005001000000000033,,
1997-03-21,NFK97,9.55,9.55,9.55,9.55,-0.1550009999999986,,
1997-03-24,NFK97,9.55,9.55,9.55,9.55,0,,
1997-03-25,NFK97,9.7,9.7,9.7,9.7,0.14999999999999858,,
1997-03-26,NFK97,10,10,10,10,0.3000000000000007,,
1997-03-27,NFK97,10.2,10.2,10.2,10.2,0.1999999999999993,,
1997-04-01,NFK97,10.15,10.15,10.15,10.15,-0.049999999999998934,,
1997-04-02,NFK97,10.005,10.025,10,10,-0.15000000000000036,,
1997-04-03,NFK97,10.05,10.175,10.05,10.175,0.1750000000000007,,
1997-04-04,NFK97,10.09,10.09,10.09,10.09,-0.08500000000000085,,
1997-04-07,NFK97,10.075,10.075,10.075,10.075,-0.015000000000000568,,
1997-04-08,NFK97,10.125,10.15,10.125,10.15,0.07500000000000107,,
1997-04-09,NFK97,10.2,10.3,10.2,10.28,0.129999999999999,,
1997-04-10,NFK97,10.25,10.25,10.25,10.25,-0.02999999999999936,,
1997-04-11,NFK97,10.225,10.225,10.225,10.225,-0.025000000000000355,,
1997-04-14,NFK97,10.2,10.3,10.2,10.3,0.07500000000000107,,
1997-04-15,NFK97,10.375,10.375,10.295,10.295,-0.005000000000000782,,
