"Symbol: XU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1984-05-03,XM84,1142,1146.5,1140.5,1142,0,1277,294
1984-05-04,XM84,1125.5,1136,1125.5,1125.5,-16.5,694,364
1984-05-08,XM84,1100.5,1117,1099,1100.5,-25,702,422
1984-05-09,XM84,1093,1110.5,1090,1093,-7.5,609,403
1984-05-10,XM84,1080,1083,1069,1080,-13,1182,481
1984-05-11,XM84,1058,1072,1054,1058,-22,755,530
1984-05-14,XM84,1066.5,1072,1055,1066.5,8.5,503,573
1984-05-15,XM84,1078.5,1079,1069,1078.5,12,508,571
1984-05-16,XM84,1084,1090,1079.5,1084,5.5,564,547
1984-05-17,XM84,1091,1101,1091,1091,7,406,519
1984-05-18,XM84,1081.5,1086,1075,1081.5,-9.5,616,674
1984-05-21,XM84,1085.5,1087,1080.5,1085.5,4,359,672
1984-05-22,XM84,1067.5,1078,1063.5,1067.5,-18,762,806
1984-05-23,XM84,1053.5,1072.5,1052,1053.5,-14,1065,962
1984-05-24,XM84,1043.5,1053.5,1036,1043.5,-10,1180,1194
1984-05-25,XM84,1045.5,1053,1032,1045.5,2,731,1170
1984-05-29,XM84,1046,1059,1046,1046,0.5,343,1148
1984-05-30,XM84,1023.5,1042,1023.5,1023.5,-22.5,966,1318
1984-05-31,XM84,1017.5,1042.5,1006.5,1017.5,-6,1445,1383
1984-06-01,XM84,1041,1042.5,1027,1041,23.5,1054,1244
1984-06-04,XM84,1068,1069,1049,1068,27,1111,1201
1984-06-05,XM84,1066,1068.5,1053,1066,-2,1322,1006
1984-06-06,XM84,1072,1077,1067.5,1072,6,719,1122
1984-06-07,XM84,1061,1075,1059.5,1061,-11,943,985
1984-06-08,XM84,1060,1060.5,1049.5,1060,-1,605,946
1984-06-11,XM84,1068.5,1072,1065.5,1068.5,8.5,374,1045
1984-06-12,XM84,1057.5,1060,1049,1057.5,-11,720,1113
1984-06-13,XM84,1060,1060,1051,1060,2.5,426,1065
1984-06-14,XM84,1045.5,1054,1044.5,1045.5,-14.5,741,1010
1984-06-15,XM84,1042.5,1045,1029,1042.5,-3,729,1022
1984-06-18,XM84,1039,1043.5,1031,1039,-3.5,431,1059
1984-06-19,XM84,1050,1055,1048.5,1050,11,658,1092
