"Symbol: LV20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1982-11-04,LZ82,91.49,91.56,91.45,91.49,0,1531,926
1982-11-05,LZ82,91.4,91.5,91.4,91.4,-0.0899999999999892,1295,1418
1982-11-08,LZ82,91.33001,91.35,91.27,91.33001,-0.06999000000000422,1127,1784
1982-11-09,LZ82,91.31,91.33001,91.27,91.31,-0.020009999999999195,958,1957
1982-11-10,LZ82,91.35,91.43,91.35,91.35,0.03999999999999204,1136,1981
1982-11-11,LZ82,91.29,91.32,91.25,91.29,-0.05999999999998806,535,2140
1982-11-12,LZ82,91.3,91.3,91.21,91.3,0.009999999999990905,850,2190
1982-11-15,LZ82,91.2,91.23,91.16,91.2,-0.09999999999999432,735,2168
1982-11-16,LZ82,91.05,91.11,91.04,91.05,-0.15000000000000568,1265,2185
1982-11-17,LZ82,91.08001,91.11,91.04,91.08001,0.03001000000000431,683,2271
1982-11-18,LZ82,91.07,91.08001,90.95,91.07,-0.01001000000000829,898,2245
1982-11-19,LZ82,91.24,91.3,91.1,91.24,0.1700000000000017,823,2112
1982-11-22,LZ82,91.2,91.2,90.99,91.2,-0.03999999999999204,697,2027
1982-11-23,LZ82,91.16,91.16,91.02,91.16,-0.04000000000000625,717,1981
1982-11-24,LZ82,91.05,91.11,91.05,91.05,-0.10999999999999943,819,1957
1982-11-25,LZ82,90.88,91.04,90.88,90.88,-0.1700000000000017,1566,1850
1982-11-26,LZ82,90.1,90.45,90.01,90.1,-0.7800000000000011,931,1931
1982-11-29,LH83,89.94,89.97,89.67,89.94,-0.1599999999999966,1152,1850
1982-11-30,LH83,90.25,90.3,89.87,90.25,0.3100000000000023,1631,1696
1982-12-01,LH83,90.67,90.69,90.55,90.67,0.4200000000000017,970,1778
1982-12-02,LH83,90.73,90.76,90.55,90.73,0.060000000000002274,1201,1889
1982-12-03,LH83,91.11,91.13,90.96,91.11,0.37999999999999545,779,2166
