"Symbol: MWU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,MWH80,425,425.5,417,417.5,0,920,6298
1980-01-03,MWH80,416,418,412.5,417.25,-0.25,1522,6427
1980-01-04,MWH80,417.25,421,416.5,420.75,3.5,1292,6171
1980-01-09,MWH80,400.75,400.75,400.75,400.75,-20,491,6237
1980-01-10,MWH80,380.75,396.5,380.75,394,-6.75,2443,6184
1980-01-11,MWH80,397,403.5,396,403.5,9.5,1565,6420
1980-01-14,MWH80,402.5,405.5,399.75,405,1.5,1068,6287
1980-01-15,MWH80,406,410.25,406,409.25,4.25,1216,6518
1980-01-16,MWH80,406,415.25,406,411,1.75,925,6460
1980-01-17,MWH80,410,426,410,423,12,1025,6648
1980-01-18,MWH80,421.75,425,420,421.75,-1.25,1898,6789
1980-01-21,MWH80,420.25,423.75,417,417,-4.75,1750,7097
1980-01-22,MWH80,416,419.75,415.25,419.25,2.25,1366,7337
1980-01-23,MWH80,419,429,419,424.5,5.25,1612,7675
1980-01-24,MWH80,423.5,423.5,418,418.25,-6.25,1257,7543
1980-01-25,MWH80,418,420.25,416.5,417,-1.25,1493,7903
1980-01-28,MWH80,417,423,416.25,420.5,3.5,1804,7143
1980-01-29,MWH80,421,423.5,420,420.75,0.25,936,7539
1980-01-30,MWH80,421,429.25,421,426,5.25,1234,7723
1980-01-31,MWH80,424.5,427,422.25,426.5,0.5,1020,7870
1980-02-01,MWH80,427.5,433.5,426.25,431.5,5,1692,8366
1980-02-04,MWH80,431.5,436.75,429.5,435.75,4.25,1947,8853
1980-02-05,MWH80,435,435,430.5,431.5,-4.25,1444,8859
1980-02-06,MWH80,431.5,438,424,425,-6.5,1993,9218
1980-02-07,MWH80,425,428,423,426.5,1.5,1230,9032
1980-02-08,MWH80,426,426.5,423.5,424.25,-2.25,980,8742
1980-02-11,MWH80,423.5,427,423,426.75,2.5,774,8746
1980-02-12,MWH80,426,426,421,423,-3.75,1147,8905
1980-02-13,MWH80,422.5,422.5,417.5,417.5,-5.5,1442,8766
1980-02-14,MWH80,418,420.5,415,415.5,-2,898,8666
1980-02-15,MWH80,415,417,415,416.75,1.25,896,8482
1980-02-19,MWH80,416.25,417,411.5,412,-4.75,1148,8625
1980-02-20,MWH80,411,414.75,411,414.25,2.25,880,8585
1980-02-21,MWH80,415,418.25,415,418,3.75,1190,8663
1980-02-22,MWH80,418,418.5,416,417.5,-0.5,1063,8615
1980-02-25,MWH80,417,419.5,417,419.25,1.75,1321,8573
1980-02-26,MWH80,419.5,419.75,414,415,-4.25,1463,8256
1980-02-27,MWH80,413,414.5,412,412.25,-2.75,1547,8064
1980-02-28,MWH80,411.5,415,411.5,413,0.75,1018,7984
1980-02-29,MWH80,412,413.75,412,412.75,-0.25,1903,7906
1980-03-03,MWH80,410.5,411.75,409.75,410.5,-2.25,974,7797
1980-03-04,MWH80,412,417,412,416.5,6,1121,7873
1980-03-05,MWH80,416.5,419,416.5,419,2.5,1284,7950
1980-03-06,MWH80,418,419.25,414,414,-5,1419,8038
1980-03-07,MWH80,413,413,412,412,-2,668,7705
1980-03-10,MWH80,406,409,402,405,-7,1001,7527
1980-03-11,MWH80,406,407,405,406.5,1.5,934,7535
1980-03-12,MWH80,408,408,404.5,404.5,-2,1135,7105
1980-03-13,MWH80,403,403,402,402,-2.5,1066,7163
1980-03-21,MWK80,405.75,407.25,404.5,405,3,790,6666
1980-03-24,MWK80,404.5,407.75,403.25,407.5,2.5,558,6862
1980-03-25,MWK80,407,413,407,409.25,1.75,913,6992
1980-03-26,MWK80,408,408.25,401,401,-8.25,672,6876
1980-03-27,MWK80,397,397,391,393.75,-7.25,1105,6905
1980-03-28,MWK80,395.75,396.75,389.5,390.25,-3.5,1539,7306
1980-03-31,MWK80,389,390.25,378.25,379,-11.25,1019,7285
1980-04-01,MWK80,377.75,380.5,374.5,379.75,0.75,1196,7265
1980-04-02,MWK80,379.75,383,379.5,382.5,2.75,1765,7165
1980-04-03,MWK80,384,394,383,393,10.5,1732,6862
1980-04-07,MWK80,399,401,391,391,-2,1029,6479
1980-04-08,MWK80,399,401,396,397.5,6.5,930,6388
1980-04-09,MWK80,402.5,406.5,399,403.25,5.75,1272,6447
1980-04-10,MWK80,401.25,402.5,392,393.5,-9.75,1298,6329
1980-04-11,MWK80,392,392,387,388.75,-4.75,774,6381
1980-04-14,MWK80,390.25,391.5,377,379.25,-9.5,1323,6183
1980-04-15,MWK80,378,378,374,376.5,-2.75,1352,6427
1980-04-16,MWK80,378.75,384,377.5,384,7.5,851,6355
1980-04-17,MWK80,382,382,376,378,-6,949,6273
1980-04-18,MWK80,373,374.25,371.5,372.25,-5.75,1007,6287
1980-04-21,MWK80,371.75,390,370.5,383.5,11.25,1331,6306
1980-04-22,MWK80,381.5,388.5,380.5,386,2.5,1214,6266
1980-04-23,MWK80,384.5,389.25,382.5,382.5,-3.5,1208,6093
1980-04-24,MWK80,382,388.5,381.5,388.25,5.75,1022,6036
1980-04-25,MWK80,400,403,392,392.75,4.5,1545,6032
1980-04-28,MWK80,390.25,390.5,384.5,385,-7.75,2002,5729
1980-04-29,MWK80,385.5,388.5,384.5,385.25,0.25,1688,5578
1980-04-30,MWK80,384,387.75,383,387,1.75,1439,5589
1980-05-01,MWK80,386.5,393.5,385.5,391.75,4.75,1728,5639
1980-05-02,MWK80,393,398.5,393,397.75,6,1895,5511
1980-05-05,MWK80,405.5,417.75,404,417.75,20,1874,5986
1980-05-06,MWK80,413,419,413,414,-3.75,2812,6526
1980-05-07,MWK80,411,424.5,410.5,422,8,1648,6650
1980-05-08,MWK80,420,427,420,422.5,0.5,1791,6643
1980-05-09,MWK80,421,421,415,418,-4.5,1518,6593
1980-05-12,MWK80,410,412,406,406,-12,1537,6510
1980-05-13,MWK80,407.5,414,407.5,414,8,1410,6318
1980-05-21,MWN80,429,432.25,424.5,426.25,12.25,2055,7299
1980-05-22,MWN80,427,431.25,427,430,3.75,1091,7318
1980-05-23,MWN80,428,429,425,427,-3,1419,7252
1980-05-27,MWN80,424,429.5,424,427,0,1438,7364
1980-05-28,MWN80,425,426.5,416,417.5,-9.5,1473,7449
1980-05-29,MWN80,415.75,417,410,410.5,-7,1457,7882
1980-05-30,MWN80,410.5,413,408.5,412.75,2.25,1294,8027
1980-06-02,MWN80,412.5,414,409.5,409.75,-3,1313,8423
1980-06-03,MWN80,412,416,409.5,415,5.25,952,8479
1980-06-04,MWN80,415,417,413.5,413.5,-1.5,2102,8497
1980-06-05,MWN80,412.75,413,407,408.75,-4.75,1668,8398
1980-06-06,MWN80,407,408.5,405.5,405.75,-3,1173,8466
1980-06-09,MWN80,406.5,409.5,406.5,407.5,1.75,1058,8327
1980-06-10,MWN80,407.75,409,406.25,408,0.5,1252,8216
1980-06-11,MWN80,408.75,410.75,408.5,409.75,1.75,1721,8529
1980-06-12,MWN80,409,412,408.25,410.25,0.5,1402,8524
1980-06-13,MWN80,410,411,409,410.75,0.5,697,8645
1980-06-16,MWN80,410.5,418,410.5,416.5,5.75,1177,8502
1980-06-17,MWN80,416,418.75,416,416.5,0,1495,8343
1980-06-18,MWN80,416.25,420.25,416,419,2.5,1223,8225
1980-06-19,MWN80,420.5,422.75,420.25,420.5,1.5,1089,8367
1980-06-20,MWN80,423.5,426,422,425,4.5,866,8436
1980-06-23,MWN80,428,439.25,428,437,12,1703,8403
1980-06-24,MWN80,437.25,438,432.5,432.5,-4.5,1231,8379
1980-06-25,MWN80,433,440.75,432,440,7.5,1764,8674
1980-06-26,MWN80,442.25,442.5,436.5,436.75,-3.25,2172,8639
1980-06-27,MWN80,436,436.5,433.5,436.25,-0.5,1589,8534
1980-06-30,MWN80,434,436.75,432.75,434.75,-1.5,1424,8258
1980-07-01,MWN80,435,451,434.75,444.25,9.5,1952,8284
1980-07-02,MWN80,448.25,461,447.25,455.5,11.25,2605,8193
1980-07-03,MWN80,454,458,452.5,457.75,2.25,1869,8218
1980-07-07,MWN80,465,471,463.5,466,8.25,2278,8447
1980-07-08,MWN80,462,465.5,460.5,465,-1,2522,8362
1980-07-09,MWN80,463,463,449.5,449.5,-15.5,2206,8332
1980-07-10,MWN80,457,457,452,453.5,4,1935,8260
1980-07-11,MWN80,468,468,456,456,2.5,1524,8347
1980-07-14,MWN80,475,476,468,476,20,1365,8387
1980-07-15,MWN80,470,470,459,460,-16,1578,8526
1980-07-23,MWU80,462,468.5,461,466.5,6.5,2549,8888
1980-07-24,MWU80,476.5,480,460,460.5,-6,1791,8969
1980-07-25,MWU80,461,463.5,454.5,458,-2.5,1711,9074
1980-07-28,MWU80,456,461.5,456,459.75,1.75,1384,8901
1980-07-29,MWU80,463.5,464,459.5,463.25,3.5,1853,9185
1980-07-30,MWU80,462,467.75,461.5,462,-1.25,1613,9100
1980-07-31,MWU80,471.75,471.75,471.75,471.75,9.75,2078,8869
1980-08-01,MWU80,472.5,474,466.5,467.75,-4,2147,9064
1980-08-04,MWU80,461.5,463,455,458.25,-9.5,1327,9248
1980-08-05,MWU80,460,464,458,463.75,5.5,1538,9280
1980-08-06,MWU80,465,467,462.5,464.25,0.5,1248,9351
1980-08-07,MWU80,464.25,465.75,460,461.25,-3,1104,8850
1980-08-08,MWU80,462,462,459,460,-1.25,1699,8531
1980-08-11,MWU80,458.75,459,456,456.25,-3.75,878,8623
1980-08-12,MWU80,458,469,458,462.75,6.5,1428,8916
1980-08-13,MWU80,461,463,459,459,-3.75,1114,8745
1980-08-14,MWU80,457.5,458,451,451.75,-7.25,1808,8403
1980-08-15,MWU80,449,451,449,449.75,-2,820,8022
1980-08-18,MWU80,448.75,450,448.5,450,0.25,1099,7868
1980-08-19,MWU80,451,453.5,450.5,452.75,2.75,1195,7998
1980-08-20,MWU80,454,454.75,451,453,0.25,1327,7745
1980-08-21,MWU80,452.75,453.5,450.5,451,-2,1691,7923
1980-08-22,MWU80,451,451.5,446.5,446.75,-4.25,1840,7920
1980-08-25,MWU80,443.5,445.5,442,443.75,-3,1664,8087
1980-08-26,MWU80,444,445.75,444,444.25,0.5,1594,8309
1980-08-27,MWU80,443.5,445.5,443,443.25,-1,2854,7541
1980-08-28,MWU80,442.25,443,441,441.5,-1.75,1471,7514
1980-08-29,MWU80,442,446.5,441.5,445.25,3.75,2114,7465
1980-09-02,MWU80,468.25,476,468,474.75,29.5,1081,6878
1980-09-03,MWU80,474.75,478.25,472.25,477.5,2.75,1287,6992
1980-09-04,MWU80,478,478,472.5,474.25,-3.25,1144,6994
1980-09-05,MWU80,474,479.75,473,478.5,4.25,1818,7135
1980-09-08,MWU80,480.75,486.75,480,482.5,4,1641,7180
1980-09-09,MWU80,482.25,482.5,478,479.5,-3,1416,7150
1980-09-10,MWU80,480,480,476.25,476.5,-3,1130,7284
1980-09-11,MWU80,476.5,477.75,475.25,477.25,0.75,927,7455
1980-09-12,MWU80,475.5,479,469,471.5,-5.75,1272,7394
1980-09-22,MWZ80,482.25,483,477,477.25,5.75,1216,7684
1980-09-23,MWZ80,477.25,478.25,472,477,-0.25,1374,7906
1980-09-24,MWZ80,479,481,474.75,477.25,0.25,1495,8226
1980-09-25,MWZ80,475.75,476,473.5,474.75,-2.5,1156,8454
1980-09-26,MWZ80,474,474,465.75,466.25,-8.5,1951,8782
1980-09-29,MWZ80,465,469,462.5,468.75,2.5,820,8642
1980-09-30,MWZ80,469.25,474.5,469,474.25,5.5,905,8791
1980-10-01,MWZ80,475,475.75,472.75,473.25,-1,731,8576
1980-10-02,MWZ80,472.5,473,466.5,466.75,-6.5,1082,8583
1980-10-03,MWZ80,465.5,469.5,465.5,468.75,2,892,8763
1980-10-06,MWZ80,471,475.5,470.5,475.25,6.5,1251,8659
1980-10-07,MWZ80,475.25,475.5,473,473.75,-1.5,778,8484
1980-10-08,MWZ80,477,478,475,476.25,2.5,1031,8528
1980-10-09,MWZ80,476.25,478,475.5,475.75,-0.5,1131,8485
1980-10-10,MWZ80,479.25,484.25,478.5,484,8.25,1159,8281
1980-10-13,MWZ80,496,501,494,497,13,1279,8351
1980-10-14,MWZ80,493,496,490,491.25,-5.75,1204,8440
1980-10-15,MWZ80,491.75,492,486.75,489,-2.25,1048,8332
1980-10-16,MWZ80,486.75,488.25,485.5,488,-1,1004,8253
1980-10-17,MWZ80,486,494,486,493.75,5.75,1526,8466
1980-10-20,MWZ80,496.25,497,491.5,492.5,-1.25,670,8519
1980-10-21,MWZ80,491,495.5,490.5,495.25,2.75,1055,8569
1980-10-22,MWZ80,506.5,510,502.5,506.5,11.25,1385,8541
1980-10-23,MWZ80,504.75,506,502,503.5,-3,1633,8350
1980-10-24,MWZ80,507,509,504.75,505,1.5,1524,8458
1980-10-27,MWZ80,504,504,498.5,499.75,-5.25,1197,8498
1980-10-28,MWZ80,500.25,507,500,506.5,6.75,1377,8577
1980-10-29,MWZ80,506.25,507,501,501.75,-4.75,1098,8551
1980-10-30,MWZ80,500.5,504,496.5,497,-4.75,1636,8537
1980-10-31,MWZ80,497.75,498.5,493.5,496,-1,1205,8288
1980-11-03,MWZ80,496,499.75,495,499.25,3.25,1042,8409
1980-11-05,MWZ80,501.5,502.25,499.5,501.25,2,1551,8210
1980-11-06,MWZ80,499,500,491,492.5,-8.75,1363,8472
1980-11-07,MWZ80,492.25,494.5,489.5,494.25,1.75,1195,8100
1980-11-10,MWZ80,494,494.75,488,488.25,-6,922,7910
1980-11-11,MWZ80,487.5,491.5,486,486.5,-1.75,987,7816
1980-11-12,MWZ80,488,493,488,492.75,6.25,999,7896
1980-11-13,MWZ80,492,493.25,487,487.25,-5.5,1278,7880
1980-11-14,MWZ80,486.25,489,485.5,488.5,1.25,1135,7905
1980-11-17,MWZ80,486.75,487.75,485,486.25,-2.25,1338,7764
1980-11-18,MWZ80,487.5,491,487.25,490.25,4,1377,7686
1980-11-19,MWZ80,490.5,491,487,487.25,-3,1299,7776
1980-11-20,MWZ80,486.5,490.5,485,489.5,2.25,1423,7764
1980-11-21,MWZ80,488.5,489.5,487,487.5,-2,912,7713
1980-11-24,MWZ80,486,486,469,475.75,-11.75,1393,7668
1980-11-25,MWZ80,476.5,480,474.25,477.25,1.5,2198,7532
1980-11-26,MWZ80,478.75,479.5,477,477.25,0,2047,7292
1980-11-28,MWZ80,479.5,482.5,479,481,3.75,1547,7177
1980-12-01,MWZ80,482,482,469.5,470.5,-10.5,1215,6374
1980-12-02,MWZ80,470.5,471,463,467.5,-3,1477,6132
1980-12-03,MWZ80,470,471,466.5,466.5,-1,1586,5767
1980-12-04,MWZ80,466,468.5,465.75,466,-0.5,820,5644
1980-12-05,MWZ80,462,467,462,466,0,1564,5499
1980-12-08,MWZ80,466,466,461,461,-5,569,5479
1980-12-09,MWZ80,457,457,441,441,-20,1264,5593
1980-12-10,MWZ80,440,442,438,438,-3,1505,5183
1980-12-11,MWZ80,430.5,430.5,423,423,-15,803,5096
1980-12-19,MWH81,463,463,457,459,36,568,4590
1980-12-22,MWH81,460,461,457.5,458,-1,369,4573
1980-12-23,MWH81,459.5,461.5,459,460,2,391,4630
1980-12-24,MWH81,456.5,458,453.5,455.5,-4.5,561,4654
1980-12-29,MWH81,454,459,452.5,458,2.5,411,4641
1980-12-30,MWH81,457,462.25,457,458.75,0.75,584,4545
1980-12-31,MWH81,455.5,476,455.5,472,13.25,839,4731
1981-01-02,MWH81,470.5,483,470,477.5,5.5,1552,4734
1981-01-05,MWH81,479.5,484,475.5,477.25,-0.25,1409,4877
1981-01-06,MWH81,474,477.25,471,476,-1.25,823,4923
1981-01-07,MWH81,474.5,476,472,475.25,-0.75,1052,4869
1981-01-08,MWH81,474,474.5,468,468.75,-6.5,571,4792
1981-01-09,MWH81,466.5,467.5,463.5,465.75,-3,902,4893
1981-01-12,MWH81,463.5,471.5,463.5,471,5.25,748,5064
1981-01-13,MWH81,470,473,470,472,1,757,5117
1981-01-14,MWH81,473,481,473,478,6,1137,5121
1981-01-15,MWH81,474.5,475,469,475,-3,1113,4902
1981-01-16,MWH81,477.25,477.5,473,475.5,0.5,568,4906
1981-01-19,MWH81,471.25,476.5,471,471.25,-4.25,1289,5157
1981-01-20,MWH81,468,471,467.5,470,-1.25,644,5093
1981-01-21,MWH81,472,472,469,469,-1,663,5095
1981-01-22,MWH81,468,468,449,460,-9,1356,5419
1981-01-23,MWH81,460,460,452.5,453,-7,622,5317
1981-01-26,MWH81,450.5,461,449,457,4,1093,5342
1981-01-27,MWH81,459.5,460,454.5,455.75,-1.25,766,5486
1981-01-28,MWH81,454.5,456,452.5,455.25,-0.5,959,5667
1981-01-29,MWH81,453.5,453.5,444,447.5,-7.75,1226,5647
1981-01-30,MWH81,446.75,450.5,446.25,448.5,1,744,5643
1981-02-02,MWH81,448,452.5,448,452.25,3.75,814,5710
1981-02-03,MWH81,456.25,462,456,461.25,9,1317,6103
1981-02-04,MWH81,461,461.5,456,456.25,-5,973,6172
