"Symbol: TPU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1999-09-07,TPZ99,415,417.5,414.8,417.5,0,,
1999-09-08,TPZ99,414,418,414,417.2,-0.30000000000001137,,
1999-09-09,TPZ99,418.6,422.5,418.2,421.5,4.300000000000011,,
1999-09-10,TPZ99,424,426.2,422.5,424,2.5,,
1999-09-13,TPZ99,424.2,425.2,421.5,421.85,-2.1499999999999773,,
1999-09-14,TPZ99,419.25,422.2,418.6,421.9,0.049999999999954525,,
1999-09-15,TPZ99,422.4,422.4,417.5,417.5,-4.399999999999977,,
1999-09-16,TPZ99,419,419,414,415.2,-2.3000000000000114,,
1999-09-17,TPZ99,416.5,420.4,415.5,419.2,4,,
1999-09-20,TPZ99,420.5,420.5,417.1,417.7,-1.5,,
1999-09-21,TPZ99,415.5,415.5,406.3,406.5,-11.199999999999989,,
1999-09-22,TPZ99,409,409,404.95,405.6,-0.8999999999999773,,
1999-09-23,TPZ99,407.2,407.5,399,400.2,-5.400000000000034,,
1999-09-24,TPZ99,399.5,401.5,393.3,396.5,-3.6999999999999886,,
1999-09-27,TPZ99,402.5,406.3,402.5,405.9,9.399999999999977,,
1999-09-28,TPZ99,407.5,408,401.1,404.6,-1.2999999999999545,,
1999-09-29,TPZ99,405,406.9,404,404.5,-0.10000000000002274,,
1999-09-30,TPZ99,406.5,411.9,406.3,411.5,7,,
1999-10-01,TPZ99,408.7,409.85,406.5,408.4,-3.1000000000000227,,
1999-10-04,TPZ99,411,419,411,418.85,10.450000000000045,,
1999-10-05,TPZ99,417.5,418.7,413.3,415.5,-3.3500000000000227,,
1999-10-06,TPZ99,416.3,418.7,416.2,418.7,3.1999999999999886,,
1999-10-07,TPZ99,419.5,420.8,417.8,420.4,1.6999999999999886,,
1999-10-08,TPZ99,420,424,419,423.45,3.0500000000000114,,
1999-10-12,TPZ99,425.5,426,423,424,0.5500000000000114,,
1999-10-13,TPZ99,422.8,422.8,415.5,416.3,-7.699999999999989,,
1999-10-14,TPZ99,417.5,417.5,412.5,413.8,-2.5,,
1999-10-15,TPZ99,408,410.3,405.8,408.3,-5.5,,
1999-10-18,TPZ99,408.9,408.9,403.1,408,-0.30000000000001137,,
1999-10-19,TPZ99,410.5,410.8,405.8,406.5,-1.5,,
1999-10-20,TPZ99,408.5,412.2,408.5,412,5.5,,
1999-10-21,TPZ99,408,413.6,407,413.6,1.6000000000000227,,
1999-10-22,TPZ99,414.6,421.5,414.5,420.2,6.599999999999966,,
1999-10-25,TPZ99,421,421,418.6,418.9,-1.3000000000000114,,
1999-10-26,TPZ99,421,422.4,418.8,419,0.10000000000002274,,
1999-10-27,TPZ99,419.4,420,414.9,416.6,-2.3999999999999773,,
1999-10-28,TPZ99,420.4,426.6,420.4,426.2,9.599999999999966,,
1999-10-29,TPZ99,429,433.65,429,432.6,6.400000000000034,,
