"Symbol: GCV20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,GCG80,566,566,566,566,0,31307,240063
1980-01-03,GCG80,591,591,591,591,25,50397,230878
1980-01-04,GCG80,589,626.5,574,611,20,51565,225562
1980-01-07,GCG80,627,636,618,634,23,48827,221365
1980-01-08,GCG80,618,623,609,609,-25,46519,224356
1980-01-09,GCG80,607,619,604,605,-4,33385,220241
1980-01-10,GCG80,608,610,597,603,-2,40829,218871
1980-01-11,GCG80,620,628,620,628,25,36816,215740
1980-01-14,GCG80,653,653,653,653,25,27781,212301
1980-01-15,GCG80,690.5,690.5,680,690.5,37.5,45363,211193
1980-01-16,GCG80,740.5,740.5,740.5,740.5,50,40492,207872
1980-01-17,GCG80,722.0001,790.5,720,790.5,50,47731,206473
1980-01-18,GCG80,815,840.5,815,823,32.5,51605,198652
1980-01-21,GCG80,873,873,815,834,11,38573,196986
1980-01-22,GCG80,784,784,784,784,-50,35283,196535
1980-01-23,GCG80,734,740,734,734,-50,30094,193328
1980-01-24,GCG80,710,723,684,684,-50,30830,189146
1980-01-25,GCG80,688,697.0001,634,635,-49,27826,183977
1980-01-28,GCG80,635,645,607,639,4,35125,179379
1980-01-29,GCG80,700,704,664,702.0001,63.000099999999975,23940,177297
1980-01-30,GCG80,690,705,654,658,-44.000099999999975,30114,173265
1980-01-31,GCG80,660,687.0001,638,681.5,23.5,24865,171425
1980-02-01,GCG80,677.0001,693,666,683.3,1.7999999999999545,20804,170051
1980-02-04,GCG80,670,677.7001,659,660,-23.299999999999955,16869,168720
1980-02-05,GCG80,670,698,667.0001,687.0001,27.000099999999975,25276,169759
1980-02-06,GCG80,705,721,705,713,25.999900000000025,29416,166680
1980-02-07,GCG80,705,708,685,689.5001,-23.499900000000025,16752,166444
1980-02-08,GCG80,691,700,688.5,694.5001,5,19949,167584
1980-02-11,GCG80,720,729,702.0001,702.0001,7.5,18761,166846
1980-02-12,GCG80,700,704.5001,693,697.5,-4.500099999999975,13659,167593
1980-02-13,GCG80,697.0001,700,681,688,-9.5,15931,166309
