"Symbol: HOV20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,HOG80,0.87,0.87,0.82,0.8205,0,251,1778
1980-01-03,HOG80,0.8175,0.8275,0.8,0.827,0.00649999999999995,344,1751
1980-01-04,HOG80,0.836,0.8525,0.8275,0.85,0.02300000000000002,350,1852
1980-01-07,HOG80,0.8425,0.8425,0.826,0.8275,-0.022499999999999964,218,1872
1980-01-08,HOG80,0.82,0.82,0.7855,0.7855,-0.04200000000000004,341,1907
1980-01-09,HOG80,0.77,0.795,0.77,0.7915,0.006000000000000005,375,1875
1980-01-10,HOG80,0.8,0.82,0.79,0.7975,0.006000000000000005,526,1848
1980-01-11,HOG80,0.7901,0.7901,0.77,0.776,-0.021499999999999964,394,1836
1980-01-14,HOG80,0.76,0.765,0.751,0.7575,-0.018500000000000072,339,1764
1980-01-15,HOG80,0.7525,0.7595,0.745,0.75,-0.007499999999999951,456,1886
1980-01-16,HOG80,0.74,0.74,0.73,0.73,-0.020000000000000018,517,1968
1980-01-17,HOG80,0.74,0.7425,0.73,0.73,0,385,2037
1980-01-18,HOG80,0.735,0.7375,0.725,0.7275,-0.0024999999999999467,145,2035
1980-01-21,HOG80,0.7175,0.725,0.7169999,0.7212,-0.006300000000000083,145,2035
1980-01-22,HOG80,0.7326,0.754,0.7325,0.75,0.028800000000000048,419,2119
1980-01-23,HOG80,0.77,0.79,0.745,0.754,0.0040000000000000036,556,2093
1980-01-24,HOG80,0.746,0.754,0.746,0.754,0,164,2130
1980-01-25,HOH80,0.78,0.7875,0.7751,0.7755,0.021499999999999964,275,2140
1980-01-28,HOH80,0.785,0.7869999,0.7805,0.7805,0.0050000000000000044,374,2135
1980-01-29,HOH80,0.7875,0.8005,0.7875,0.8005,0.020000000000000018,673,2155
1980-01-30,HOH80,0.8275,0.8275,0.81,0.812,0.011500000000000066,699,2364
1980-01-31,HOH80,0.829,0.829,0.815,0.817,0.004999999999999893,376,2186
1980-02-01,HOH80,0.817,0.8185,0.811,0.8128,-0.0041999999999999815,244,2009
1980-02-04,HOH80,0.8175,0.819,0.7925,0.806,-0.006799999999999917,651,2170
1980-02-05,HOH80,0.8,0.8069999,0.7951,0.8019999,-0.004000100000000062,446,2141
1980-02-06,HOH80,0.798,0.798,0.775,0.7794999,-0.022499999999999964,586,2057
1980-02-07,HOH80,0.779,0.78,0.7725,0.78,0.0005001000000000033,373,2053
1980-02-08,HOH80,0.7755,0.7755,0.759,0.7625,-0.01750000000000007,513,2107
1980-02-11,HOH80,0.77,0.772,0.765,0.7655,0.0030000000000000027,429,2204
1980-02-12,HOH80,0.761,0.761,0.75,0.752,-0.013499999999999956,389,2151
1980-02-13,HOH80,0.7475,0.7525,0.741,0.7482,-0.0038000000000000256,379,2208
1980-02-14,HOH80,0.745,0.7555,0.7419999,0.7423,-0.005900000000000016,231,2240
1980-02-15,HOH80,0.745,0.7485,0.744,0.747,0.0047000000000000375,454,2336
1980-02-19,HOH80,0.745,0.745,0.7269999,0.733,-0.014000000000000012,472,2493
1980-02-20,HOH80,0.73,0.735,0.726,0.7315,-0.0014999999999999458,364,2433
1980-02-21,HOH80,0.735,0.7575,0.7325,0.7445,0.013000000000000012,519,2441
1980-02-22,HOH80,0.74,0.74,0.735,0.7376,-0.006900000000000017,309,2392
1980-02-25,HOJ80,0.76,0.774,0.7565,0.76,0.022399999999999975,418,2407
1980-02-26,HOJ80,0.7625,0.7625,0.7535,0.755,-0.0050000000000000044,437,2620
1980-02-27,HOJ80,0.755,0.775,0.755,0.7675,0.012499999999999956,423,2524
1980-02-28,HOJ80,0.765,0.765,0.75,0.755,-0.012499999999999956,359,2515
1980-02-29,HOJ80,0.755,0.755,0.7425,0.7525,-0.0025000000000000577,359,2515
1980-03-03,HOJ80,0.745,0.745,0.741,0.7426999,-0.009800099999999978,166,2140
1980-03-04,HOJ80,0.745,0.7485,0.745,0.747,0.004300100000000029,86,2158
1980-03-05,HOJ80,0.745,0.748,0.7412,0.748,0.0010000000000000009,89,2145
1980-03-06,HOJ80,0.7475,0.76,0.745,0.747,-0.0010000000000000009,251,2205
1980-03-07,HOJ80,0.7415,0.7415,0.73,0.74,-0.007000000000000006,317,2159
1980-03-10,HOJ80,0.7375,0.738,0.735,0.7355,-0.0044999999999999485,379,2153
1980-03-11,HOJ80,0.7359999,0.7369999,0.7225,0.725,-0.010500000000000065,679,2262
1980-03-12,HOJ80,0.725,0.735,0.725,0.7325,0.007500000000000062,326,2246
1980-03-13,HOJ80,0.7334999,0.755,0.7334999,0.7415,0.009000000000000008,279,2239
1980-03-14,HOJ80,0.7475,0.7525,0.7425,0.7425,0.0010000000000000009,388,2221
1980-03-17,HOJ80,0.751,0.76,0.751,0.755,0.012499999999999956,458,2138
1980-03-18,HOJ80,0.7475,0.7475,0.7475,0.7475,-0.007499999999999951,388,2129
1980-03-19,HOJ80,0.74,0.7405,0.735,0.7375,-0.010000000000000009,180,2132
1980-03-20,HOJ80,0.74,0.745,0.74,0.745,0.007499999999999951,262,2258
1980-03-21,HOJ80,0.7475,0.7475,0.745,0.745,0,53,2194
1980-03-24,HOJ80,0.745,0.745,0.745,0.745,0,31,2177
1980-03-25,HOK80,0.75,0.75,0.7495,0.7495,0.0045000000000000595,80,2153
1980-03-26,HOK80,0.75,0.7575,0.749,0.755,0.005499999999999949,170,2140
1980-03-27,HOK80,0.76,0.7625,0.7575,0.7575,0.0024999999999999467,268,2102
1980-03-28,HOK80,0.76,0.76,0.7525,0.7538,-0.0036999999999999256,157,2109
1980-03-31,HOK80,0.755,0.76,0.7525,0.758,0.0041999999999999815,137,2032
1980-04-01,HOK80,0.7625,0.7625,0.7585,0.7625,0.0044999999999999485,24,1895
1980-04-02,HOK80,0.765,0.771,0.765,0.771,0.008500000000000063,119,1900
1980-04-03,HOK80,0.7725,0.788,0.7705,0.785,0.014000000000000012,402,2056
1980-04-07,HOK80,0.79,0.79,0.775,0.777,-0.008000000000000007,321,2128
1980-04-08,HOK80,0.78,0.785,0.777,0.781,0.0040000000000000036,349,2165
1980-04-09,HOK80,0.7835,0.7835,0.775,0.776,-0.0050000000000000044,288,2173
1980-04-10,HOK80,0.775,0.7825,0.7725,0.78,0.0040000000000000036,306,2194
1980-04-11,HOK80,0.7825,0.7825,0.78,0.78,0,251,2284
1980-04-14,HOK80,0.7765,0.7765,0.7705,0.7705,-0.009500000000000064,344,2342
1980-04-15,HOK80,0.77,0.77,0.765,0.766,-0.0044999999999999485,180,2342
1980-04-16,HOK80,0.766,0.773,0.766,0.77,0.0040000000000000036,144,2328
1980-04-17,HOK80,0.775,0.7785,0.775,0.775,0.0050000000000000044,138,2378
1980-04-18,HOK80,0.775,0.7769,0.775,0.7769,0.0019000000000000128,83,2373
1980-04-21,HOK80,0.775,0.775,0.7735,0.774,-0.0029000000000000137,112,2402
1980-04-22,HOK80,0.774,0.775,0.771,0.771,-0.0030000000000000027,195,2390
1980-04-23,HOK80,0.77,0.783,0.77,0.771,0,302,2363
1980-04-24,HOM80,0.78,0.7819999,0.7726,0.775,0.0040000000000000036,461,2445
1980-04-25,HOM80,0.78,0.793,0.78,0.788,0.013000000000000012,215,2476
1980-04-28,HOM80,0.784,0.811,0.778,0.778,-0.010000000000000009,227,2464
1980-04-29,HOM80,0.778,0.7801,0.7765,0.7765,-0.0015000000000000568,97,2446
1980-04-30,HOM80,0.779,0.7825,0.775,0.7805,0.0040000000000000036,240,2324
1980-05-01,HOM80,0.7775,0.78,0.7775,0.78,-0.0004999999999999449,92,2127
1980-05-02,HOM80,0.7801,0.7815,0.7794999,0.78,0,52,2102
1980-05-05,HOM80,0.7815,0.7825,0.7815,0.7825,0.0024999999999999467,78,2115
1980-05-06,HOM80,0.7819999,0.79,0.7819999,0.788,0.00550000000000006,283,2091
1980-05-07,HOM80,0.785,0.7869999,0.785,0.786,-0.0020000000000000018,154,2141
