"Symbol: PAV20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,PAH80,188.5,188.5,188.5,188.5,0,19,2226
1980-01-03,PAH80,197.5,197.5,197.5,197.5,9,261,2228
1980-01-04,PAH80,196,201,188,199,1.5,465,2327
1980-01-07,PAH80,205,208,203.1,204.5,5.5,612,2326
1980-01-08,PAH80,199,204.5,199,202.5,-2,289,2349
1980-01-09,PAH80,202.5,207.5,202.5,207,4.5,713,2197
1980-01-10,PAH80,207,207.5,203.5,204.75,-2.25,200,2196
1980-01-11,PAH80,210.75,210.75,209,210.75,6,262,2252
1980-01-14,PAH80,219.75,219.75,219.75,219.75,9,42,2246
1980-01-15,PAH80,231.75,231.75,231.75,231.75,12,171,2211
1980-01-16,PAH80,243.75,243.75,243.75,243.75,12,63,2234
1980-01-17,PAH80,255.75,255.75,248,255.75,12,401,2276
1980-01-18,PAH80,267.75,267.75,267.75,267.75,12,348,2347
1980-01-21,PAH80,279.75,279.75,258,274,6.25,630,2377
1980-01-22,PAH80,265,265,265,265,-9,163,2401
1980-01-23,PAH80,253,253,253,253,-12,105,2337
1980-01-24,PAH80,243,243,241,241,-12,225,2311
1980-01-25,PAH80,238,239,229,229,-12,229,2237
1980-01-28,PAH80,217,221,217,217,-12,351,2261
1980-01-29,PAH80,225.5,229,225,229,12,450,2212
1980-01-30,PAH80,240,240,227,229,0,404,2174
1980-01-31,PAH80,225,227,221,225,-4,251,2202
1980-02-01,PAH80,227,231,227,231,6,633,2170
1980-02-04,PAH80,235,238,231,237.2,6.199999999999989,560,2101
1980-02-05,PAH80,242,249.2,242,248.95,11.75,390,2089
1980-02-06,PAH80,260.5,260.95,260.5,260.95,12,288,2095
1980-02-07,PAH80,254,258,251,257.75,-3.1999999999999886,617,2089
1980-02-08,PAH80,257,265,256,263.25,5.5,283,2200
1980-02-11,PAH80,269.25,269.25,269.25,269.25,6,52,2188
1980-02-12,PAH80,268,277,265.5,275.1,5.850000000000023,446,2207
1980-02-13,PAH80,276,287.1,274.5,278,2.8999999999999773,562,2252
1980-02-14,PAH80,280,283,276.5,282,4,312,2170
1980-02-15,PAH80,281.5,284.5,277,284.5,2.5,325,2123
1980-02-19,PAH80,278.5,278.5,278.5,278.5,-6,98,2121
1980-02-20,PAH80,269.5,279,269.5,279,0.5,657,2125
1980-02-21,PAH80,285,285,279,280.5,1.5,602,2224
1980-02-22,PAH80,277,277,274.5,274.5,-6,390,2167
1980-02-25,PAH80,272,279,265.5,274.25,-0.25,395,2167
1980-02-26,PAH80,272,277,272,273,-1.25,557,2151
1980-02-27,PAH80,275,280,272.2,275,2,433,2127
1980-02-28,PAH80,279,281,275.5,277.5,2.5,269,2117
1980-02-29,PAH80,278,292,278,292,14.5,318,2272
1980-03-03,PAH80,290,295,280,280.5,-11.5,490,2258
1980-03-04,PAH80,298,310,298,306,25.5,336,2328
1980-03-05,PAH80,350,350,315,317.5,11.5,72,2243
1980-03-06,PAH80,307,307,295.5,295.5,-22,562,2287
1980-03-07,PAH80,275,293,275,285,-10.5,363,2267
1980-03-10,PAH80,270,280,262,264.25,-20.75,251,2226
1980-03-11,PAH80,249,272,249,268,3.75,226,2238
1980-03-12,PAH80,295,295,260,261.25,-6.75,535,2159
1980-03-13,PAH80,250,250,205,226.5,-34.75,389,2102
1980-03-14,PAH80,215,232,215,220,-6.5,111,2092
1980-03-17,PAH80,205,205,190,198,-22,301,2116
1980-03-18,PAH80,220,220,191.75,195,-3,566,2076
1980-03-19,PAH80,216,220,208,220,25,692,1977
1980-03-20,PAM80,230,230,222,222,2,447,1922
1980-03-21,PAM80,210,220,210,217.5,-4.5,194,1893
1980-03-24,PAM80,225,226.5,208.5,208.5,-9,295,1875
1980-03-25,PAM80,196.5,206,196.5,201,-7.5,345,1867
1980-03-26,PAM80,191,192,189,189,-12,472,1873
1980-03-27,PAM80,177,177,177,177,-12,307,1851
1980-03-28,PAM80,168,174,165,170.5,-6.5,190,1844
1980-03-31,PAM80,170,179.5,170,174,3.5,134,1791
1980-04-01,PAM80,180,183,173.5,174,0,65,1771
1980-04-02,PAM80,180,180,177.1,178.25,4.25,72,1756
1980-04-03,PAM80,178.25,183,173,175.25,-3,80,1724
1980-04-07,PAM80,179,181.25,177,180.5,5.25,39,1709
1980-04-08,PAM80,186.5,186.5,186.5,186.5,6,31,1719
1980-04-09,PAM80,195.5,195.5,193,193,6.5,162,1742
1980-04-10,PAM80,190,199,190,197.25,4.25,153,1720
1980-04-11,PAM80,198,205.5,198,202.25,5,112,1697
1980-04-14,PAM80,201.5,201.5,196.25,196.25,-6,81,1689
1980-04-15,PAM80,187.25,200,187.25,193.5,-2.75,203,1743
1980-04-16,PAM80,199.5,199.5,188.5,188.5,-5,183,1739
1980-04-17,PAM80,185,190,185,185.2,-3.3000000000000114,242,1745
1980-04-18,PAM80,188.5,188.5,183,183.2,-2,47,1742
1980-04-21,PAM80,175,175.05,174.2,174.35,-8.849999999999994,121,1752
1980-04-22,PAM80,171,186.35,170,184.2,9.849999999999994,309,1761
1980-04-23,PAM80,188,189,182.5,184,-0.19999999999998863,132,1755
1980-04-24,PAM80,189,191.9,187,190.6,6.599999999999994,212,1778
1980-04-25,PAM80,202.6,202.6,190,191.5,0.9000000000000057,208,1787
1980-04-28,PAM80,186.5,186.5,182.5,182.5,-9,114,1766
1980-04-29,PAM80,182.5,183,176,178.5,-4,115,1764
1980-04-30,PAM80,176,178,169.5,169.5,-9,179,1757
1980-05-01,PAM80,157.5,161,157.5,158,-11.5,359,1788
1980-05-02,PAM80,163.5,170,163.5,165.5,7.5,109,1789
1980-05-05,PAM80,168,168,162,164,-1.5,97,1795
1980-05-06,PAM80,163,165,163,163,-1,38,1774
1980-05-07,PAM80,166,169,165,166.5,3.5,129,1786
1980-05-08,PAM80,170,170,164.5,164.8,-1.6999999999999886,145,1782
1980-05-09,PAM80,160,165,160,163,-1.8000000000000114,119,1775
1980-05-12,PAM80,164,164,158,159,-4,81,1800
1980-05-13,PAM80,160,162.5,160,161.4,2.4000000000000057,120,1811
1980-05-14,PAM80,163.5,166,161,161.75,0.3499999999999943,198,1849
1980-05-15,PAM80,159,165,159,159,-2.75,125,1806
1980-05-16,PAM80,162,162.5,157,160,1,184,1883
1980-05-19,PAM80,159.1,160,155,158.3,-1.6999999999999886,151,1840
1980-05-20,PAM80,159,159,152.3,152.8,-5.5,176,1826
1980-05-21,PAM80,154.35,156.5,152,153,0.19999999999998863,350,1917
1980-05-22,PAM80,148,150,147,149,-4,181,1915
1980-05-23,PAM80,147,152,147,148.6,-0.4000000000000057,280,1859
1980-05-27,PAM80,152,154.6,152,154.6,6,272,1858
1980-05-28,PAM80,162,162,155.5,155.5,0.9000000000000057,249,1783
1980-05-29,PAM80,153,154.5,151,152,-3.5,315,1789
1980-05-30,PAM80,157,159,155,158,6,356,1853
1980-06-02,PAM80,165,166,157.5,159,1,242,1790
1980-06-03,PAM80,155,160,155,155.5,-3.5,115,1806
1980-06-04,PAM80,161,164,160,161.5,6,317,1867
1980-06-05,PAM80,163,167,160,163,1.5,334,1889
1980-06-06,PAM80,169,174,169,171.1,8.099999999999994,256,1929
1980-06-09,PAM80,185,187,183.25,183.25,12.150000000000006,271,1935
1980-06-10,PAM80,178,178,166.1,166.1,-17.150000000000006,223,1903
1980-06-11,PAM80,173,173,165,165,-1.0999999999999943,205,1936
1980-06-12,PAM80,171.2,171.2,165,166,1,188,1957
1980-06-13,PAM80,173,173,168,168,2,201,1946
1980-06-16,PAM80,163,168,162.5,162.75,-5.25,135,1955
1980-06-17,PAM80,163,168,162.5,166,3.25,176,1964
1980-06-18,PAM80,170,173,166,166,0,138,1956
1980-06-19,PAU80,170,172,168,168,2,118,1921
1980-06-20,PAU80,170,170,168.7,169,1,66,1934
1980-06-23,PAU80,164,170,164,169,0,33,1930
1980-06-24,PAU80,170,174.5,170,174,5,137,1952
1980-06-25,PAU80,178,178.5,170,170.85,-3.1500000000000057,306,2060
1980-06-26,PAU80,173.5,174.5,172,173.3,2.450000000000017,145,2045
1980-06-27,PAU80,179.3,179.3,178.05,179.3,6,293,2052
1980-06-30,PAU80,184,187.5,183,185.9,6.599999999999994,383,2084
1980-07-01,PAU80,196.25,197.4,191.75,196.85,10.949999999999989,492,2161
1980-07-02,PAU80,195,197.9,194,195.1,-1.75,291,2174
1980-07-03,PAU80,192.5,204.1,192.5,201.25,6.150000000000006,434,2236
1980-07-07,PAU80,199,208.4,199,204.25,3,447,2217
