"Symbol: PLV20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,PLF80,780,820,742.6,806.5,0,690,8918
1980-01-03,PLF80,850,870,765,798.2,-8.299999999999955,875,8937
1980-01-04,PLF80,758,780,720,767.3,-30.90000000000009,952,9001
1980-01-07,PLF80,799,799,730,748,-19.299999999999955,3238,9582
1980-01-08,PLF80,710,738,710,712.0001,-35.999900000000025,1688,9547
1980-01-09,PLF80,710,729,700,705,-7.000099999999975,2023,9163
1980-01-10,PLF80,712.0001,715,708,709,4,2170,9124
1980-01-11,PLF80,735,757.0001,731,746.5,37.5,559,9089
1980-01-14,PLF80,775,813,770,812.4,65.89999999999998,740,9042
1980-01-15,PLF80,860,877.0001,835,869.4,57,1083,9034
1980-01-16,PLF80,900,907.0001,879.6,882.3,12.899999999999977,654,8829
1980-01-17,PLF80,840,920,826,918,35.700000000000045,2661,9214
1980-01-18,PLF80,925,939,907.0001,913,-5,2306,9349
1980-01-21,PLF80,955,955,890,902.0001,-10.999900000000025,2306,9349
1980-01-22,PLJ80,904,904.5001,904,904,1.999900000000025,664,9223
1980-01-23,PLJ80,864,864,864,864,-40,1254,8946
1980-01-24,PLJ80,850,883,824,831.2,-32.799999999999955,1789,8850
1980-01-25,PLJ80,835,839,801.2,801.2,-30,1539,8585
1980-01-28,PLJ80,810,810,767.0001,778,-23.200000000000045,1669,8389
1980-01-29,PLJ80,808,808,800,808,30,786,8349
1980-01-30,PLJ80,808,835,804,828,20,1648,8224
1980-01-31,PLJ80,825,837.0001,807.0001,832.0001,4.000099999999975,1558,8200
1980-02-01,PLJ80,835,852.0001,827.0001,852.0001,20,1300,8148
1980-02-04,PLJ80,840,880,840,876.7001,24.700000000000045,1129,8201
1980-02-05,PLJ80,881,908,880,889.1,12.399900000000002,1298,8275
1980-02-06,PLJ80,929.1,929.1,924,928.1,39,761,8283
1980-02-07,PLJ80,930,930,892.0001,899.8,-28.300000000000068,1671,7897
1980-02-08,PLJ80,910,921,898,919.4,19.600000000000023,1550,8006
1980-02-11,PLJ80,959.4,959.4,940,946.6,27.200000000000045,1619,8032
1980-02-12,PLJ80,937.0001,958,929,945.8,-0.8000000000000682,1446,8029
1980-02-13,PLJ80,946,960,925.8,925.8,-20,1587,7988
1980-02-14,PLJ80,924,927.8,902.0001,922.1,-3.699999999999932,1839,7864
1980-02-15,PLJ80,923,925,903,909.7,-12.399999999999977,1204,7821
1980-02-19,PLJ80,900,900,889.7,889.7,-20,405,7835
1980-02-20,PLJ80,859.7,897.0001,859.7,879.2001,-10.499900000000025,1563,7912
1980-02-21,PLJ80,885,899.2001,884,899.2001,20,1465,7959
1980-02-22,PLJ80,880,882.0001,869.2001,869.2001,-30,711,7798
1980-02-25,PLJ80,850,897.0001,829.2001,885.2001,16,2169,7978
1980-02-26,PLJ80,885,896,876,879.2001,-6,1357,7944
1980-02-27,PLJ80,884.2001,899.2001,866,871.5,-7.70010000000002,1819,8077
1980-02-28,PLJ80,891.5,891.5,888,890.1,18.600000000000023,1596,8437
1980-02-29,PLJ80,885,920.1,880,920.1,30,1562,8522
1980-03-03,PLJ80,920,960.1,915,960.1,40,2507,8622
1980-03-04,PLJ80,960,1000.1,960,1000.1,40,2476,8876
1980-03-05,PLJ80,1040.1,1040.1,1040.1,1040.1,39.999999999999886,1392,8856
