"Symbol: SIV20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1980-01-02,SIH80,30.05,30.05,30.05,30.05,0,12240,123606
1980-01-03,SIH80,31.05,31.05,31.05,31.05,1,9992,121773
1980-01-04,SIH80,32.05,32.05,32.05,32.05,0.9999999999999964,6011,118828
1980-01-07,SIH80,33.05,33.05,33.05,33.05,1,12507,117455
1980-01-08,SIH80,34.05,34.05,32.5,32.75,-0.29999999999999716,8119,116720
1980-01-09,SIH80,33.5,33.5,33.5,33.5,0.75,7606,115963
1980-01-10,SIH80,34.5,34.5,34.5,34.5,1,7631,116213
1980-01-11,SIH80,35.5,35.5,35.5,35.5,1,5213,115666
1980-01-14,SIH80,36.5,36.5,36.5,36.5,1,10036,110992
1980-01-15,SIH80,37.5,37.5,37.5,37.5,1,9469,110222
1980-01-16,SIH80,38.5,38.5,38.5,38.5,1,8094,107060
1980-01-17,SIH80,39.5,39.5,39.5,39.5,1,5308,106480
1980-01-18,SIH80,40.5,40.5,40.5,40.5,1,17120,105187
1980-01-21,SIH80,41.5,41.5,41.5,41.5,1,217,105441
1980-01-22,SIH80,40.5,40.5,40.5,40.5,-1,8919,100389
1980-01-23,SIH80,39.5,39.5,39.5,39.5,-1,8771,96891
1980-01-24,SIH80,40.5,40.5,38.5,38.5,-1,13145,90581
1980-01-25,SIH80,37.9,38.6,37.5,37.5,-1,6200,84763
1980-01-28,SIH80,36.5,36.5,36.5,36.5,-1,5452,84437
1980-01-29,SIH80,37.5,37.5,35.5,37,0.5,4456,78606
1980-01-30,SIH80,36.1,37,36,36.5,-0.5,981,78393
1980-01-31,SIH80,36,36.25,35.75,35.75,-0.75,246,77856
1980-02-01,SIH80,35.25,35.4,34.75,34.75,-1,904,77724
1980-02-04,SIH80,34.62,34.65,33.75,33.75,-1,1899,76741
1980-02-05,SIH80,34.75,34.75,34.3,34.75,1,1231,76413
1980-02-06,SIH80,35.75,35.75,35.75,35.75,1,4336,75302
1980-02-07,SIH80,36.75,36.75,36.75,36.75,1,2080,74146
1980-02-08,SIH80,37.75,37.75,37.75,37.75,1,2028,73165
1980-02-11,SIH80,38.75,38.75,38.75,38.75,1,5716,72159
1980-02-12,SIH80,39.3,39.7,38.6,38.6,-0.14999999999999858,1199,71890
1980-02-13,SIH80,38.8,39.05,37.6,37.6,-1,1361,71725
1980-02-14,SIH80,37.55,38,36.6,36.6,-1,5484,71479
1980-02-15,SIH80,36.4,36.4,35.6,36,-0.6000000000000014,4229,70232
1980-02-19,SIH80,35,35,35,35,-1,4822,69567
1980-02-20,SIH80,34,34,34,34,-1,3755,69064
1980-02-21,SIH80,34,35,33,34.7,0.7000000000000028,4835,68742
1980-02-22,SIH80,33.7,33.7,33.7,33.7,-1,7446,68488
1980-02-25,SIH80,32.7,34,32.7,34,0.29999999999999716,7522,68020
1980-02-26,SIH80,34,34,33.1,33.6,-0.3999999999999986,6908,67341
