"Symbol: VBQ20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2002-05-08,VBK02,13380,13380,13360,13370,0,19504,37936
2002-05-09,VBM02,13410,13440,13410,13410,40,17232,38940
2002-05-10,VBM02,13370,13410,13370,13390,-20,20926,39202
2002-05-13,VBM02,13390,13420,13390,13400,10,30944,38626
2002-05-14,VBM02,13400,13430,13400,13420,20,27712,38538
2002-05-15,VBM02,13390,13420,13390,13400,-20,24090,36694
2002-05-16,VBM02,13380,13400,13380,13390,-10,27232,37190
2002-05-17,VBM02,13380,13390,13360,13360,-30,28894,36878
2002-05-20,VBM02,13320,13320,13250,13310,-50,19588,36524
2002-05-21,VBM02,13260,13300,13240,13260,-50,21010,36518
2002-05-22,VBM02,13290,13320,13290,13300,40,14416,36478
2002-05-23,VBM02,13290,13330,13290,13300,0,28676,36170
2002-05-24,VBM02,13310,13370,13310,13340,40,20540,35952
2002-05-27,VBM02,13360,13390,13340,13370,30,15036,35986
2002-05-28,VBQ02,13460,13490,13440,13450,80,33050,35920
2002-05-29,VBQ02,13490,13510,13420,13480,30,22498,36126
2002-05-30,VBU02,13480,13530,13480,13510,30,28414,35708
2002-05-31,VBU02,13500,13530,13500,13510,0,22436,35894
2002-06-03,VBU02,13540,13560,13520,13530,20,23146,36458
2002-06-04,VBU02,13520,13580,13520,13540,10,26900,37398
2002-06-05,VBU02,13650,13650,13570,13590,50,27750,40474
2002-06-06,VBU02,13570,13610,13550,13570,-20,27876,41894
2002-06-07,VBU02,13570,13590,13540,13560,-10,21756,43790
2002-06-10,VBU02,13530,13570,13530,13550,-10,31952,42994
2002-06-11,VBU02,13560,13570,13520,13530,-20,28156,44200
2002-06-12,VBU02,13500,13540,13500,13510,-20,23028,44770
2002-06-13,VBU02,13510,13510,13490,13500,-10,27326,44928
2002-06-14,VBU02,13500,13530,13470,13480,-20,28238,44752
2002-06-17,VBV02,13520,13540,13500,13520,40,20506,43554
2002-06-18,VBV02,13530,13530,13480,13510,-10,16500,43732
2002-06-20,VBV02,13520,13530,13510,13510,0,21214,43532
2002-06-21,VBV02,13480,13490,13400,13450,-60,22940,43514
2002-06-24,VBV02,13440,13500,13440,13460,10,13512,44492
2002-06-25,VBV02,13460,13470,13410,13440,-20,10282,44824
2002-06-26,VBV02,13460,13460,13420,13440,0,10362,44302
2002-06-27,VBV02,13500,13500,13440,13450,10,9376,42964
2002-06-28,VBV02,13500,13500,13450,13450,0,8884,43998
2002-07-01,VBV02,13480,13560,13480,13490,40,12362,44590
2002-07-02,VBX02,13460,13500,13450,13490,0,10060,46152
2002-07-03,VBX02,13450,13480,13450,13460,-30,12190,46880
2002-07-04,VBX02,13470,13510,13470,13480,20,7694,46542
2002-07-05,VBX02,13470,13480,13470,13470,-10,11460,46300
2002-07-08,VBX02,13500,13500,13440,13480,10,12100,46842
2002-07-09,VBX02,13460,13470,13430,13450,-30,13770,47284
2002-07-10,VBX02,13500,13500,13400,13420,-30,13430,47328
2002-07-11,VBX02,13420,13430,13410,13410,-10,10596,47688
2002-07-12,VBX02,13430,13440,13400,13410,0,12624,47770
2002-07-15,VBX02,13420,13420,13350,13390,-20,13372,45216
2002-07-16,VBX02,13360,13400,13360,13390,0,8986,45430
2002-07-17,VBX02,13390,13400,13380,13380,-10,10518,45002
2002-07-18,VBX02,13360,13380,13360,13370,-10,15356,44864
2002-07-19,VBX02,13380,13380,13330,13350,-20,16828,43406
2002-07-22,VBX02,13250,13360,13210,13260,-90,17146,43370
2002-07-23,VBX02,13240,13260,13220,13230,-30,17592,44790
2002-07-24,VBX02,13230,13230,12900,13010,-220,15378,45036
2002-07-25,VBX02,13000,13300,13000,13120,110,22014,45698
2002-07-26,VBX02,13080,13140,13080,13100,-20,16096,45936
2002-07-29,VBX02,13120,13140,13110,13120,20,16176,45534
2002-07-30,VBX02,13000,13190,13000,13160,40,17458,45836
2002-07-31,VBX02,13110,13160,13110,13150,-10,13146,46822
2002-08-01,VBX02,13140,13140,13030,13070,-80,10648,48016
2002-08-02,VBX02,13050,13080,13050,13060,-10,15996,48184
