"Symbol: VCU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2002-05-08,VCK02,15480,15510,15470,15480,0,25856,215870
2002-05-09,VCM02,15670,15690,15650,15670,190,41146,220102
2002-05-10,VCM02,15610,15690,15610,15640,-30,29858,226246
2002-05-13,VCM02,15680,15710,15680,15690,50,51004,228134
2002-05-14,VCM02,15710,15740,15670,15700,10,42618,232470
2002-05-15,VCM02,15710,15730,15700,15710,10,26180,220824
2002-05-16,VCM02,15740,15740,15680,15700,-10,31914,220392
2002-05-17,VCM02,15660,15660,15620,15630,-70,54082,216576
2002-05-20,VCM02,15590,15600,15560,15560,-70,24404,218226
2002-05-21,VCM02,15580,15580,15560,15570,10,21208,219144
2002-05-22,VCM02,15600,15600,15570,15580,10,17646,222156
2002-05-23,VCM02,15580,15610,15580,15580,0,43836,221062
2002-05-24,VCM02,15660,15690,15660,15680,100,21290,221460
2002-05-27,VCM02,15650,15660,15640,15640,-40,64284,226956
2002-05-28,VCV02,16150,16320,16130,16230,590,105396,224706
2002-05-29,VCV02,16380,16420,16320,16360,130,58130,227266
2002-05-30,VCV02,16300,16330,16280,16300,-60,46098,229956
2002-05-31,VCV02,16260,16380,16260,16300,0,61554,236048
2002-06-03,VCV02,16450,16470,16390,16420,120,55608,237950
2002-06-04,VCV02,16480,16490,16450,16470,50,125738,241086
2002-06-05,VCV02,16670,16710,16630,16660,190,35852,245776
2002-06-06,VCV02,16650,16670,16630,16650,-10,53256,248290
2002-06-07,VCV02,16580,16600,16570,16580,-70,27174,251860
2002-06-10,VCV02,16590,16630,16590,16610,30,75864,254952
2002-06-11,VCV02,16620,16640,16520,16560,-50,45182,251424
2002-06-12,VCV02,16480,16500,16460,16470,-90,37488,252540
2002-06-13,VCV02,16510,16540,16490,16510,40,25604,251174
2002-06-14,VCV02,16530,16530,16460,16490,-20,56974,252284
2002-06-17,VCV02,16530,16570,16510,16530,40,19994,234062
2002-06-18,VCV02,16520,16550,16510,16530,0,33994,235206
2002-06-20,VCV02,16470,16490,16450,16470,-60,68524,226848
2002-06-21,VCX02,16530,16550,16460,16490,20,55002,235160
2002-06-24,VCX02,16440,16520,16440,16490,0,50196,236564
2002-06-25,VCX02,16500,16520,16460,16480,-10,65238,234010
2002-06-26,VCX02,16500,16520,16370,16430,-50,45498,233680
2002-06-27,VCX02,16520,16530,16460,16490,60,30078,230422
2002-06-28,VCX02,16500,16530,16470,16500,10,54442,228610
2002-07-01,VCX02,16620,16630,16590,16610,110,51624,224234
2002-07-02,VCX02,16580,16580,16510,16530,-80,41628,226024
2002-07-03,VCX02,16450,16460,16420,16430,-100,17796,227510
2002-07-04,VCX02,16440,16470,16420,16450,20,25482,225618
2002-07-05,VCX02,16430,16440,16390,16410,-40,83644,231952
2002-07-08,VCX02,16500,16520,16100,16410,0,35782,223644
2002-07-09,VCX02,16410,16450,16390,16410,0,36928,220398
2002-07-10,VCX02,16410,16410,16350,16370,-40,62170,217174
2002-07-11,VCX02,16300,16310,16220,16260,-110,33132,217764
2002-07-12,VCX02,16290,16340,16280,16300,40,43028,216436
2002-07-15,VCX02,16250,16270,16210,16230,-70,34990,208216
2002-07-16,VCX02,16290,16300,16230,16230,0,19484,211120
2002-07-17,VCX02,16250,16280,16240,16260,30,43836,219402
2002-07-18,VCX02,16190,16210,16170,16180,-80,46318,222528
2002-07-19,VCZ02,16220,16230,16160,16190,10,104018,215578
2002-07-22,VCZ02,16020,16030,15830,15900,-290,65870,234514
2002-07-23,VCZ02,15770,15880,15770,15830,-70,77936,228332
2002-07-24,VCZ02,15540,15540,15350,15370,-460,144698,217648
2002-07-25,VCZ02,15600,15660,15360,15510,140,55132,223358
2002-07-26,VCZ02,15360,15410,15310,15370,-140,22322,222600
2002-07-29,VCZ02,15400,15400,15320,15350,-20,37074,222378
2002-07-30,VCZ02,15430,15500,15420,15450,100,30926,224712
2002-07-31,VCZ02,15380,15390,15340,15360,-90,108488,222048
2002-08-01,VCZ02,15210,15220,14940,15060,-300,50974,222396
2002-08-02,VCZ02,15090,15120,15050,15080,20,46880,227012
2002-08-05,VCZ02,15060,15070,14930,15000,-80,72968,222212
2002-08-06,VCZ02,14800,14800,14730,14760,-240,51392,228558
2002-08-07,VCZ02,14900,14920,14830,14880,120,38812,224342
2002-08-08,VCZ02,14830,14930,14820,14880,0,37028,224586
2002-08-09,VCZ02,14980,15080,14970,15020,140,27884,226480
2002-08-12,VCZ02,15000,15060,14930,14980,-40,23578,228004
2002-08-13,VCZ02,14990,15040,14990,15010,30,53752,229788
2002-08-14,VCZ02,14850,14880,14810,14840,-170,54848,241072
2002-08-15,VCF03,15010,15120,15010,15080,240,47226,226802
2002-08-16,VCF03,15220,15250,15160,15210,130,32864,228110
2002-08-19,VCF03,14980,15010,14940,14970,-240,23178,227400
2002-08-20,VCF03,15040,15070,15000,15030,60,35046,224734
2002-08-21,VCF03,15090,15100,14980,15030,0,18620,221746
2002-08-22,VCF03,14950,15060,14950,15020,-10,33110,220226
2002-08-23,VCF03,15110,15140,15070,15090,70,9120,218848
2002-08-26,VCF03,15060,15110,15030,15060,-30,23098,216958
2002-08-28,VCF03,15170,15240,15150,15190,130,25162,219134
2002-08-29,VCF03,15110,15130,15100,15110,-80,37946,221550
2002-08-30,VCF03,15110,15220,15110,15170,60,19540,222968
2002-09-02,VCF03,15150,15240,15150,15190,20,22382,224454
2002-09-03,VCF03,15200,15200,15120,15160,-30,85084,232260
2002-09-04,VCF03,14920,14940,14870,14910,-250,23028,234148
2002-09-05,VCF03,14940,14940,14890,14910,0,58022,242864
2002-09-06,VCF03,14820,14840,14780,14800,-110,59138,237180
2002-09-09,VCF03,14950,15080,14920,14980,180,76394,220922
2002-09-10,VCF03,15190,15210,15160,15190,210,65040,218954
2002-09-11,VCF03,15290,15300,15220,15240,50,40930,222718
2002-09-12,VCF03,15160,15220,15160,15200,-40,45592,224350
2002-09-13,VCF03,15190,15230,15120,15160,-40,32988,222288
2002-09-16,VCF03,15160,15240,15160,15200,40,59878,207506
2002-09-17,VCG03,15140,15250,15130,15200,0,48204,209478
2002-09-18,VCG03,15100,15100,15020,15060,-140,36460,214246
2002-09-19,VCG03,15000,15050,14990,15010,-50,34386,220418
2002-09-20,VCG03,14910,14950,14900,14920,-90,20050,218138
2002-09-23,VCG03,15020,15040,15010,15020,100,38410,223256
2002-09-24,VCG03,14940,14950,14870,14890,-130,35772,227184
2002-09-25,VCG03,14820,14880,14810,14850,-40,28032,225484
2002-09-26,VCG03,14950,15010,14930,14960,110,18536,223856
2002-09-27,VCG03,14970,15010,14960,14980,20,29282,229094
2002-10-08,VCG03,14770,14850,14770,14820,-160,19174,229796
2002-10-09,VCG03,14820,14830,14790,14810,-10,30854,234650
2002-10-10,VCG03,14790,14950,14790,14850,40,38868,232552
2002-10-11,VCG03,14940,15010,14930,14970,120,53384,225454
2002-10-14,VCG03,15100,15120,15000,15060,90,40724,227778
2002-10-15,VCG03,14900,14950,14870,14900,-160,29052,219222
2002-10-16,VCG03,14980,15000,14900,14960,60,64960,220042
2002-10-17,VCH03,14980,15150,14980,15090,130,100752,215102
2002-10-18,VCH03,15300,15350,15280,15300,210,28476,215402
2002-10-21,VCH03,15250,15280,15230,15250,-50,65920,206650
2002-10-22,VCH03,15380,15380,15280,15310,60,36102,206820
2002-10-23,VCH03,15260,15350,15250,15290,-20,30378,207410
2002-10-24,VCH03,15260,15330,15250,15290,0,55870,209874
2002-10-25,VCH03,15300,15400,15260,15340,50,72600,203888
2002-10-28,VCH03,15400,15460,15380,15420,80,54238,204686
2002-10-29,VCH03,15390,15410,15340,15370,-50,44744,199758
2002-10-30,VCH03,15360,15370,15300,15340,-30,23814,201936
2002-10-31,VCH03,15290,15370,15290,15340,0,94852,208088
2002-11-01,VCH03,15480,15580,15470,15520,180,84468,208940
2002-11-04,VCH03,15630,15720,15620,15660,140,72460,209866
2002-11-05,VCH03,15680,15690,15600,15640,-20,48178,211256
2002-11-06,VCH03,15650,15790,15630,15720,80,65268,221058
2002-11-07,VCH03,15760,15800,15670,15720,0,56942,219854
2002-11-08,VCH03,15570,15610,15550,15580,-140,33478,218728
2002-11-11,VCH03,15590,15620,15540,15580,0,48114,220486
2002-11-12,VCH03,15630,15730,15630,15680,100,39542,219560
2002-11-13,VCH03,15610,15620,15550,15580,-100,34246,220186
2002-11-14,VCH03,15630,15670,15620,15640,60,46926,216262
2002-11-15,VCJ03,15650,15820,15650,15750,110,92518,207302
2002-11-18,VCJ03,15770,15990,15770,15920,170,55204,205538
2002-11-19,VCJ03,16000,16040,15930,15970,50,72432,207118
2002-11-20,VCJ03,16000,16130,15960,16060,90,101650,198978
2002-11-21,VCJ03,16220,16280,16160,16230,170,64734,206684
2002-11-22,VCJ03,16230,16330,16190,16260,30,38910,207026
2002-11-25,VCJ03,16190,16220,16150,16180,-80,49660,202522
2002-11-26,VCJ03,16200,16240,16090,16150,-30,54094,201992
2002-11-27,VCJ03,16010,16050,15970,16010,-140,134314,198098
2002-11-28,VCJ03,16370,16470,16360,16400,390,83918,207076
2002-11-29,VCJ03,16370,16560,16370,16460,60,112742,206516
2002-12-02,VCJ03,16690,16760,16660,16710,250,58978,204972
2002-12-03,VCJ03,16620,16660,16550,16580,-130,142232,220548
2002-12-04,VCJ03,16600,17070,16530,16770,190,92118,219482
2002-12-05,VCJ03,16610,16680,16510,16590,-180,79450,216496
2002-12-06,VCJ03,16320,16370,16290,16320,-270,46448,219120
2002-12-09,VCJ03,16380,16420,16250,16330,10,73842,223626
2002-12-10,VCK03,16250,16340,16250,16300,-30,49272,222124
2002-12-11,VCK03,16380,16420,16320,16360,60,51878,221292
2002-12-12,VCK03,16410,16480,16380,16430,70,43956,225472
2002-12-13,VCK03,16350,16440,16350,16380,-50,57516,233290
2002-12-16,VCK03,16260,16300,16230,16260,-120,41922,230034
2002-12-17,VCK03,16290,16330,16230,16270,10,40050,232606
2002-12-18,VCK03,16260,16320,16250,16280,10,43186,233412
2002-12-19,VCK03,16200,16240,16180,16210,-70,43768,233088
2002-12-20,VCK03,16150,16180,16120,16150,-60,58614,245592
2002-12-23,VCK03,16150,16280,16150,16220,70,17456,243948
2002-12-24,VCK03,16280,16290,16220,16250,30,22916,233766
2002-12-26,VCK03,15970,15990,15920,15960,-290,42818,231678
2002-12-27,VCK03,15790,15900,15780,15830,-130,36822,230880
2002-12-30,VCK03,16010,16050,15960,16000,170,38876,235246
2002-12-31,VCK03,15910,15980,15900,15940,-60,36532,238198
2003-01-02,VCK03,15990,15990,15890,15930,-10,111920,256788
2003-01-03,VCK03,16240,16400,16220,16330,400,155900,277350
2003-01-06,VCK03,16450,16810,16400,16620,290,112194,281788
2003-01-07,VCM03,16730,16880,16480,16640,20,76276,289616
2003-01-08,VCM03,16640,16720,16560,16660,20,123636,291440
2003-01-09,VCM03,16900,16970,16830,16880,220,81788,300442
2003-01-10,VCM03,16960,16980,16840,16890,10,51858,295450
2003-01-13,VCM03,16740,16740,16590,16650,-240,58948,294866
2003-01-14,VCM03,16850,16850,16730,16790,140,97502,291248
2003-01-15,VCM03,16930,16990,16850,16920,130,54942,280942
2003-01-16,VCM03,16900,16930,16830,16870,-50,63694,273926
2003-01-17,VCM03,16780,16840,16750,16790,-80,40386,271808
2003-01-20,VCM03,16790,16850,16750,16790,0,96466,279902
2003-01-21,VCM03,17040,17140,17010,17080,290,44276,277148
2003-01-22,VCM03,17000,17060,16960,17000,-80,60992,272692
2003-01-23,VCM03,17110,17170,17050,17100,100,40144,262466
2003-01-24,VCM03,17080,17110,17030,17060,-40,24776,253602
2003-01-27,VCM03,16980,17010,16950,16980,-80,40862,243662
2003-01-28,VCM03,16830,16850,16790,16820,-160,27740,238964
2003-01-29,VCM03,16830,16940,16810,16870,50,40304,249438
2003-02-10,VCM03,16880,16960,16780,16840,-30,68172,255070
