"Symbol: WFU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2011-11-04,WFZ11,15215,15535,15215,15410,0,566,3514
2011-11-07,WFZ11,15480,15480,15350,15390,-20,538,3432
2011-11-08,WFZ11,15415,15450,15300,15360,-30,560,3492
2011-11-09,WFZ11,15450,15510,15385,15440,80,2060,3998
2011-11-10,WFZ11,15200,15250,14605,14795,-645,934,3952
2011-11-11,WFZ11,15005,15025,14610,14900,105,1000,3876
2011-11-14,WFZ11,15200,15620,15200,15435,535,738,3810
2011-11-15,WFZ11,15455,15490,15315,15370,-65,1178,3208
2011-11-16,WFF12,15400,15420,15180,15305,-65,710,3134
2011-11-17,WFF12,15295,15420,15170,15325,20,1078,3240
2011-11-18,WFF12,14900,15280,14900,15170,-155,662,3182
2011-11-21,WFF12,15250,15400,15250,15340,170,870,3250
2011-11-22,WFF12,15205,15350,15175,15310,-30,654,3252
2011-11-23,WFF12,15445,15450,15235,15325,15,846,3358
2011-11-24,WFF12,15240,15305,14935,15130,-195,880,3508
2011-11-25,WFF12,15180,15195,15000,15120,-10,892,3408
2011-11-28,WFF12,15270,15500,15270,15425,305,1052,3474
2011-11-29,WFF12,15450,15490,15355,15420,-5,490,3496
2011-11-30,WFF12,15395,15445,15270,15325,-95,1214,3698
2011-12-01,WFF12,16185,16185,15730,15825,500,674,3794
2011-12-02,WFF12,15715,15715,15650,15680,-145,478,3702
2011-12-05,WFF12,15710,15710,15600,15635,-45,432,3648
2011-12-06,WFF12,15600,15615,15510,15570,-65,670,3560
2011-12-07,WFF12,15750,15795,15650,15715,145,756,3618
2011-12-08,WFF12,15715,15765,15660,15715,0,496,3580
2011-12-09,WFF12,15540,15680,15535,15630,-85,440,3502
2011-12-12,WFF12,15715,15715,15590,15650,20,356,3440
2011-12-13,WFF12,15515,15575,15500,15530,-120,1386,3266
2011-12-14,WFF12,15490,15490,15255,15360,-170,1338,3506
2011-12-15,WFG12,15000,15145,14810,15040,-320,948,2858
2011-12-16,WFG12,15150,15300,15080,15170,130,1154,2836
2011-12-19,WFG12,15205,15230,15060,15105,-65,408,2858
2011-12-20,WFG12,15100,15120,15020,15080,-25,480,2838
2011-12-21,WFG12,15180,15245,15160,15200,120,428,2852
2011-12-22,WFG12,15120,15200,15095,15155,-45,918,2682
2011-12-23,WFG12,15300,15340,15200,15275,120,648,2774
2011-12-26,WFG12,15305,15305,15095,15150,-125,400,2676
2011-12-27,WFG12,15050,15220,15025,15165,15,440,2636
2011-12-28,WFG12,15155,15215,15135,15180,15,612,2610
2011-12-29,WFG12,15010,15120,14910,15055,-125,568,2564
2011-12-30,WFG12,15240,15290,15180,15235,180,644,2498
2012-01-04,WFG12,15405,15490,15285,15350,115,470,2458
2012-01-05,WFG12,15270,15405,15270,15345,-5,850,2580
2012-01-06,WFH12,15250,15300,15150,15210,-135,1106,2946
2012-01-09,WFH12,15095,15220,15085,15155,-55,754,3042
2012-01-10,WFH12,15200,15330,15125,15220,65,440,3106
2012-01-11,WFH12,15350,15385,15225,15330,110,566,3242
2012-01-12,WFH12,15265,15420,15220,15340,10,916,3374
2012-01-13,WFH12,15455,15490,15370,15420,80,578,3076
2012-01-16,WFH12,15350,15495,15265,15385,-35,544,3030
2012-01-17,WFH12,15480,15700,15435,15580,195,1242,3022
2012-01-18,WFH12,15665,15825,15665,15745,165,1028,3118
2012-01-19,WFH12,15885,16000,15860,15925,180,694,3056
2012-01-20,WFH12,16010,16225,15890,16095,170,848,2954
2012-01-30,WFH12,16440,16440,16100,16260,165,638,2900
2012-01-31,WFH12,16110,16200,16060,16145,-115,516,2870
2012-02-01,WFH12,16100,16130,15960,16040,-105,152,2898
2012-02-02,WFH12,16130,16140,16025,16080,40,378,2956
2012-02-03,WFH12,15990,16170,15940,16075,-5,348,2928
2012-02-06,WFH12,16265,16300,16225,16275,200,366,3010
2012-02-07,WFH12,16190,16200,16040,16085,-190,290,3116
2012-02-08,WFH12,16060,16250,16060,16150,65,872,3110
2012-02-09,WFH12,16110,16205,16080,16125,-25,298,3070
2012-02-10,WFH12,16225,16225,16045,16125,0,454,3010
2012-02-13,WFJ12,16080,16190,16040,16090,-35,696,3038
2012-02-14,WFJ12,16040,16040,15830,15955,-135,878,3256
2012-02-15,WFJ12,15825,15975,15825,15915,-40,996,2998
2012-02-16,WFJ12,15815,15815,15530,15605,-310,858,3206
2012-02-17,WFJ12,15755,15755,15585,15655,50,342,3188
2012-02-20,WFJ12,15600,15795,15600,15685,30,542,3178
2012-02-21,WFJ12,15715,15830,15695,15760,75,602,3262
2012-02-22,WFJ12,15895,15930,15775,15815,55,596,3114
2012-02-23,WFJ12,15835,15930,15830,15885,70,756,3090
2012-02-24,WFJ12,15950,16025,15940,15985,100,928,3058
2012-02-27,WFJ12,16150,16195,16105,16150,165,990,3268
2012-02-28,WFJ12,16195,16360,16180,16265,115,578,3232
2012-02-29,WFJ12,16255,16385,16220,16300,35,794,3212
2012-03-01,WFJ12,16150,16195,16050,16145,-155,742,3294
2012-03-02,WFJ12,16095,16210,16095,16150,5,146,3272
2012-03-05,WFJ12,16160,16205,16120,16155,5,538,3122
2012-03-06,WFJ12,16060,16100,15900,15975,-180,1272,3162
2012-03-07,WFJ12,15660,15700,15620,15665,-310,538,3222
2012-03-08,WFK12,15740,16025,15740,15830,165,382,3266
2012-03-09,WFK12,15900,16020,15895,15935,105,754,3326
2012-03-12,WFK12,15970,15975,15870,15920,-15,440,3286
2012-03-13,WFK12,15980,16070,15965,16030,110,326,3266
2012-03-14,WFK12,16170,16170,15910,16010,-20,678,3252
2012-03-15,WFK12,15820,15890,15760,15840,-170,306,2490
2012-03-16,WFK12,15965,16020,15905,15965,125,538,2524
2012-03-19,WFK12,15895,15900,15835,15860,-105,512,2604
2012-03-20,WFK12,15905,15910,15805,15850,-10,1602,3426
2012-03-21,WFK12,15760,15760,15655,15700,-150,1638,3744
2012-03-22,WFM12,15760,15760,15600,15655,-45,1448,4166
2012-03-23,WFM12,15510,15600,15510,15560,-95,730,4268
2012-03-26,WFM12,15645,15680,15540,15610,50,602,4404
2012-03-27,WFM12,15680,15680,15610,15635,25,1108,4700
2012-03-28,WFM12,15570,15625,15450,15560,-75,1034,4782
2012-03-29,WFM12,15440,15470,15380,15435,-125,692,4872
2012-03-30,WFM12,15450,15570,15450,15495,60,792,4852
2012-04-05,WFM12,15350,15550,15350,15460,-35,532,4820
2012-04-06,WFM12,15660,15680,15360,15580,120,506,4798
2012-04-09,WFM12,15645,15720,15580,15650,70,788,4430
2012-04-10,WFM12,15525,15670,15525,15640,-10,514,4566
2012-04-11,WFM12,15420,15520,15420,15465,-175,1184,4098
2012-04-12,WFM12,15580,15845,15530,15615,150,960,3792
2012-04-13,WFM12,15745,15785,15695,15735,120,542,3886
2012-04-16,WFM12,15525,15590,15525,15565,-170,568,3654
2012-04-17,WFM12,15660,15670,15600,15635,70,662,3590
2012-04-18,WFM12,15645,15750,15625,15705,70,284,3568
2012-04-19,WFM12,15655,15695,15625,15650,-55,646,3410
2012-04-20,WFM12,15660,15760,15660,15720,70,670,3280
2012-04-23,WFM12,15740,15820,15740,15785,65,360,3236
2012-04-24,WFN12,15765,15765,15700,15730,-55,408,3238
2012-04-25,WFN12,15770,15770,15705,15735,5,224,3228
2012-04-26,WFN12,15750,15815,15735,15765,30,628,3060
2012-04-27,WFN12,15850,15875,15755,15835,70,832,2942
2012-05-02,WFN12,15815,15950,15815,15925,90,818,2824
2012-05-03,WFN12,15825,15925,15825,15850,-75,366,2674
2012-05-04,WFN12,15795,15800,15770,15785,-65,212,2686
2012-05-07,WFN12,15700,15720,15680,15700,-85,398,2590
2012-05-08,WFN12,15715,15800,15705,15765,65,618,2350
2012-05-09,WFN12,15700,15730,15615,15665,-100,590,2178
2012-05-10,WFN12,15610,15695,15580,15640,-25,470,2172
2012-05-11,WFN12,15650,15680,15555,15610,-30,762,2194
2012-05-14,WFN12,15700,15700,15400,15575,-35,592,2292
2012-05-15,WFN12,15410,15520,15410,15460,-115,586,2270
2012-05-16,WFQ12,15405,15445,15250,15360,-100,1040,2550
2012-05-17,WFQ12,15300,15340,15220,15280,-80,1228,3044
2012-05-18,WFQ12,15150,15185,15050,15115,-165,320,3090
2012-05-21,WFQ12,15195,15285,15190,15220,105,312,3250
2012-05-22,WFQ12,15255,15265,15200,15225,5,254,3278
2012-05-23,WFQ12,15100,15190,15055,15100,-125,502,3232
2012-05-24,WFQ12,15190,15190,15010,15095,-5,130,3252
2012-05-25,WFQ12,15140,15155,15115,15130,35,216,3262
2012-05-28,WFQ12,15200,15300,15165,15245,115,592,3536
2012-05-29,WFQ12,15230,15280,15200,15245,0,238,3520
2012-05-30,WFQ12,15200,15200,15065,15125,-120,488,3604
2012-05-31,WFQ12,15000,15100,14900,15030,-95,214,3628
2012-06-01,WFQ12,15030,15085,15020,15045,15,222,3636
2012-06-04,WFQ12,15000,15000,14880,14920,-125,448,3598
2012-06-05,WFQ12,15040,15100,14955,15030,110,582,3742
2012-06-06,WFQ12,15070,15110,15020,15065,35,230,3822
2012-06-07,WFQ12,15120,15125,15005,15070,5,338,3876
