"Symbol: VRU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2002-05-08,VRK02,7600,7600,7600,7600,0,1846,2824
2002-05-09,VRM02,7915,7915,7915,7915,315,2178,2842
2002-05-10,VRM02,7915,7915,7915,7915,0,3276,2882
2002-05-13,VRM02,7915,7915,7915,7915,0,1326,2874
2002-05-14,VRM02,7710,7760,7710,7725,-190,934,2720
2002-05-15,VRM02,7500,7540,7490,7500,-225,384,2578
2002-05-16,VRM02,7500,7500,7500,7500,0,840,2576
2002-05-17,VRM02,7500,7500,7500,7500,0,1596,2880
2002-05-20,VRM02,7500,7500,7500,7500,0,850,2630
2002-05-21,VRM02,7500,7500,7500,7500,0,440,2710
2002-05-22,VRM02,7500,7500,7500,7500,0,390,2532
2002-05-23,VRM02,7500,7500,7500,7500,0,470,2146
2002-05-24,VRM02,7500,7500,7500,7500,0,668,1748
2002-05-27,VRN02,7620,7620,7580,7605,105,996,1750
2002-05-28,VRV02,7635,8070,7635,7850,245,832,3160
2002-05-29,VRV02,7950,8085,7950,8035,185,1240,4240
2002-05-30,VRV02,8120,8355,8120,8300,265,1692,5136
2002-05-31,VRV02,8350,8475,8300,8375,75,856,5228
2002-06-03,VRV02,8420,8625,8420,8560,185,1950,5936
2002-06-04,VRV02,8635,8740,8585,8650,90,2440,6808
2002-06-05,VRV02,8680,8815,8625,8720,70,3328,9500
2002-06-06,VRV02,8795,8980,8790,8830,110,3840,10688
2002-06-07,VRV02,8990,9075,8955,9030,200,1566,11046
2002-06-10,VRV02,9060,9300,9060,9205,175,4300,12246
2002-06-11,VRV02,9450,9545,9345,9435,230,5522,14268
2002-06-12,VRV02,9450,9480,9150,9265,-170,5972,15560
2002-06-13,VRV02,9140,9330,9090,9255,-10,3852,16500
2002-06-14,VRV02,9290,9290,9210,9250,-5,638,16352
2002-06-17,VRV02,9525,9525,9515,9520,270,7784,17504
2002-06-18,VRV02,9680,9680,9450,9555,35,8036,21830
2002-06-20,VRV02,9725,9785,9635,9710,155,7600,22890
2002-06-21,VRV02,9640,9680,9470,9600,-110,7200,24212
2002-06-24,VRV02,9505,9590,9485,9530,-70,6580,25200
2002-06-25,VRV02,9595,9625,9510,9560,30,6914,26550
2002-06-26,VRV02,9550,9610,9505,9555,-5,9822,28014
2002-06-27,VRV02,9535,9550,9385,9460,-95,12896,28976
2002-06-28,VRV02,9450,9450,9320,9380,-80,6660,29586
2002-07-01,VRV02,9410,9460,9380,9410,30,8862,30686
2002-07-02,VRV02,9355,9410,9345,9375,-35,11304,31814
2002-07-03,VRV02,9360,9360,9220,9285,-90,12994,33132
2002-07-04,VRV02,9220,9335,9220,9290,5,14500,35198
2002-07-05,VRV02,9290,9325,9150,9225,-65,20068,36060
2002-07-08,VRV02,9175,9200,8945,9055,-170,22078,37848
2002-07-09,VRV02,9010,9035,8915,8975,-80,20380,38862
2002-07-10,VRV02,8980,9015,8880,8930,-45,28274,41394
2002-07-11,VRV02,8970,9020,8920,8965,35,24902,41782
2002-07-12,VRV02,9025,9110,9000,9070,105,23418,44148
2002-07-15,VRV02,9060,9100,8960,9020,-50,20812,45928
2002-07-16,VRV02,9000,9070,8985,9020,0,24880,43900
2002-07-17,VRV02,9090,9175,9070,9135,115,18384,44380
2002-07-18,VRV02,9155,9170,9090,9125,-10,24458,46420
2002-07-19,VRV02,9155,9195,9090,9140,15,19188,45516
2002-07-22,VRV02,9110,9120,9035,9070,-70,22522,45256
2002-07-23,VRV02,9010,9080,8985,9025,-45,37208,44056
2002-07-24,VRV02,9045,9045,8750,8875,-150,30722,44762
2002-07-25,VRV02,8780,8800,8615,8725,-150,16412,45828
2002-07-26,VRV02,8750,8760,8700,8720,-5,17430,46706
2002-07-29,VRV02,8755,8835,8755,8795,75,24032,47520
2002-07-30,VRV02,8865,8935,8850,8880,85,37352,47974
2002-07-31,VRV02,8930,8975,8835,8885,5,28696,48060
2002-08-01,VRV02,8935,9000,8905,8950,65,33832,48226
2002-08-02,VRV02,8990,9215,8970,9140,190,33226,48376
2002-08-05,VRV02,9300,9505,9300,9460,320,51258,49484
2002-08-06,VRV02,9500,9570,9370,9450,-10,45956,50574
2002-08-07,VRX02,9500,9585,9405,9495,45,56702,49864
2002-08-08,VRX02,9520,9740,9450,9605,110,54956,51978
2002-08-09,VRX02,9510,9540,9410,9470,-135,38992,52052
2002-08-12,VRX02,9430,9430,9335,9375,-95,51522,55078
2002-08-13,VRX02,9340,9515,9340,9440,65,76690,55254
2002-08-14,VRX02,9580,9700,9560,9620,180,59948,55934
2002-08-15,VRX02,9680,9740,9560,9660,40,47028,56700
2002-08-16,VRX02,9630,9705,9615,9655,-5,45064,59516
2002-08-19,VRX02,9630,9685,9610,9645,-10,80490,62594
2002-08-20,VRX02,9670,9845,9645,9785,140,77518,62392
2002-08-21,VRX02,9840,9960,9820,9880,95,41436,64802
2002-08-22,VRX02,9855,9920,9805,9865,-15,56280,64390
2002-08-23,VRX02,9850,9890,9750,9800,-65,57804,65556
2002-08-26,VRX02,9900,9945,9860,9905,105,51952,68668
2002-08-28,VRX02,9810,9885,9780,9825,-80,33396,67988
2002-08-29,VRX02,9850,9870,9820,9840,15,45004,66992
2002-08-30,VRX02,9890,9920,9855,9885,45,25206,68988
2002-09-02,VRF03,9900,9910,9845,9870,-15,34588,68486
2002-09-03,VRF03,9860,9880,9815,9845,-25,45496,68056
2002-09-04,VRF03,9800,9895,9780,9830,-15,19070,69510
2002-09-05,VRF03,9850,9875,9835,9850,20,24024,69320
2002-09-06,VRF03,9850,9870,9815,9835,-15,72218,69370
2002-09-09,VRF03,9860,10130,9845,10025,190,63570,70478
2002-09-10,VRF03,10135,10175,10100,10140,115,84588,72838
2002-09-11,VRF03,10140,10250,10060,10155,15,66724,72630
2002-09-12,VRF03,10115,10200,10110,10150,-5,78902,73178
2002-09-13,VRF03,10160,10165,10065,10110,-40,35374,73678
2002-09-16,VRF03,10135,10135,10020,10055,-55,40368,72902
2002-09-17,VRF03,10045,10095,10045,10075,20,20300,72440
2002-09-18,VRF03,10075,10105,10070,10085,10,85478,68958
2002-09-19,VRF03,10050,10065,9780,9905,-180,61352,69074
2002-09-20,VRF03,9760,9810,9700,9765,-140,62532,70888
2002-09-23,VRF03,9800,9940,9795,9875,110,48286,71418
2002-09-24,VRF03,9845,9845,9740,9775,-100,61692,70672
2002-09-25,VRF03,9700,9785,9660,9725,-50,45472,73120
2002-09-26,VRF03,9800,9845,9770,9800,75,45220,72478
2002-09-27,VRF03,9765,9870,9755,9815,15,50576,69970
2002-10-08,VRF03,9650,9650,9535,9580,-235,60260,69474
2002-10-09,VRF03,9550,9580,9495,9530,-50,113634,71124
2002-10-10,VRF03,9475,9510,9360,9440,-90,54352,71494
2002-10-11,VRF03,9465,9480,9420,9450,10,33824,73354
2002-10-14,VRF03,9530,9530,9405,9430,-20,53674,74572
2002-10-15,VRF03,9390,9475,9380,9440,10,48526,72384
2002-10-16,VRF03,9515,9520,9440,9465,25,38434,70388
2002-10-17,VRF03,9430,9455,9385,9425,-40,70076,66892
2002-10-18,VRH03,9360,9480,9355,9430,5,63290,66340
2002-10-21,VRH03,9520,9555,9475,9510,80,41874,66466
2002-10-22,VRH03,9480,9500,9460,9480,-30,96770,66728
2002-10-23,VRH03,9490,9690,9480,9575,95,81838,69010
2002-10-24,VRH03,9660,9690,9620,9650,75,123710,71866
2002-10-25,VRH03,9710,9800,9700,9750,100,58466,72750
2002-10-28,VRH03,9745,9790,9720,9755,5,56982,75528
2002-10-29,VRH03,9695,9720,9675,9695,-60,54714,74064
2002-10-30,VRH03,9705,9775,9690,9745,50,96504,78204
2002-10-31,VRH03,9795,9855,9780,9815,70,121404,79590
2002-11-01,VRH03,9840,10100,9840,9980,165,114318,81280
2002-11-04,VRH03,10100,10210,10090,10145,165,115444,83970
2002-11-05,VRH03,10145,10255,10120,10185,40,87466,84650
2002-11-06,VRH03,10205,10280,10180,10235,50,109504,87558
2002-11-07,VRH03,10280,10295,10085,10160,-75,142616,90962
2002-11-08,VRH03,10090,10205,10000,10105,-55,75030,95880
2002-11-11,VRH03,10050,10150,10050,10100,-5,145474,97226
2002-11-12,VRH03,10165,10270,10090,10205,105,83282,99708
2002-11-13,VRH03,10180,10240,10135,10180,-25,92980,100256
2002-11-14,VRH03,10250,10290,10190,10240,60,76646,98972
2002-11-15,VRH03,10245,10255,10150,10180,-60,57576,98318
2002-11-18,VRH03,10200,10240,10160,10195,15,124424,96148
2002-11-19,VRH03,10185,10340,10175,10270,75,142322,98288
2002-11-20,VRH03,10200,10235,10080,10145,-125,95920,99182
2002-11-21,VRH03,10155,10250,10155,10215,70,88382,96474
2002-11-22,VRH03,10265,10290,10190,10240,25,71724,95056
2002-11-25,VRH03,10240,10280,10170,10240,0,45858,94056
2002-11-26,VRH03,10200,10255,10195,10225,-15,144586,100264
2002-11-27,VRH03,10235,10330,10155,10255,30,123456,104670
2002-11-28,VRH03,10330,10400,10265,10350,95,112564,101288
2002-11-29,VRH03,10415,10520,10410,10470,120,139922,98910
2002-12-02,VRH03,10550,10655,10470,10570,100,81764,99020
2002-12-03,VRH03,10590,10610,10500,10550,-20,76892,97682
2002-12-04,VRH03,10520,10555,10440,10495,-55,76516,99080
2002-12-05,VRH03,10415,10505,10385,10435,-60,105530,93906
2002-12-06,VRH03,10480,10500,10355,10405,-30,151194,96908
2002-12-09,VRH03,10360,10630,10300,10490,85,106188,94990
2002-12-10,VRH03,10610,10680,10590,10640,150,56492,97068
2002-12-11,VRH03,10635,10660,10610,10640,0,37112,98294
2002-12-12,VRH03,10630,10645,10605,10620,-20,89004,96242
2002-12-13,VRH03,10620,10705,10620,10675,55,50924,98536
2002-12-16,VRH03,10670,10700,10630,10670,-5,143938,95104
2002-12-17,VRH03,10700,10740,10555,10620,-50,57814,98712
2002-12-18,VRH03,10605,10625,10560,10585,-35,54242,97546
2002-12-19,VRH03,10675,10675,10575,10620,35,65722,99856
2002-12-20,VRH03,10625,10625,10560,10590,-30,74838,97712
2002-12-23,VRH03,10625,10695,10620,10660,70,81992,93282
2002-12-24,VRH03,10715,10715,10630,10670,10,159928,87956
2002-12-26,VRJ03,10825,10980,10825,10915,245,83182,87916
2002-12-27,VRJ03,10965,11005,10930,10970,55,58362,86276
2002-12-30,VRJ03,11000,11025,10940,10970,0,41188,82000
2002-12-31,VRJ03,10915,10990,10915,10960,-10,84148,79160
2003-01-02,VRK03,10980,11280,10975,11165,205,164756,70510
2003-01-03,VRK03,11390,11830,11365,11665,500,103540,69332
2003-01-06,VRK03,11840,12010,11840,11970,305,111998,65446
2003-01-07,VRK03,11980,11980,11610,11750,-220,75284,65906
2003-01-08,VRK03,11720,11990,11720,11905,155,94352,67582
2003-01-09,VRK03,11885,12260,11840,12065,160,90580,76928
2003-01-10,VRK03,12350,12425,12250,12370,305,153364,90862
2003-01-13,VRK03,12430,12650,12000,12420,50,151614,109438
2003-01-14,VRK03,12420,12560,12210,12365,-55,112064,110324
2003-01-15,VRK03,12420,12520,12380,12455,90,99182,114960
2003-01-16,VRK03,12500,12550,12380,12435,-20,81286,117288
2003-01-17,VRK03,12400,12475,12390,12440,5,121494,117582
2003-01-20,VRK03,12420,12810,12415,12700,260,170792,111598
2003-01-21,VRK03,12995,13095,12830,12970,270,95688,120990
2003-01-22,VRK03,12955,13045,12920,13000,30,231724,131804
2003-01-23,VRK03,13050,13230,12610,13000,0,122478,127478
2003-01-24,VRK03,12985,13150,12950,13025,25,182762,146750
2003-01-27,VRK03,13175,13365,12930,13120,95,138948,163876
2003-01-28,VRK03,12920,13115,12920,13050,-70,127114,169398
2003-01-29,VRK03,13150,13205,13130,13170,120,176274,194154
2003-02-10,VRK03,13210,13210,12855,13075,-95,169728,202420
2003-02-11,VRK03,13100,13260,13030,13140,65,165236,215124
2003-02-12,VRK03,13055,13210,13000,13110,-30,149462,212150
2003-02-13,VRK03,13210,13500,13190,13355,245,303616,189086
2003-02-14,VRK03,13800,14155,13710,13940,585,65696,194832
2003-02-17,VRK03,14290,14355,14220,14285,345,440448,142762
2003-02-18,VRK03,14900,15100,14420,14745,460,283854,137594
2003-02-19,VRM03,14175,14510,14015,14295,-450,229822,144578
2003-02-20,VRM03,14065,14530,14065,14405,110,262394,149698
2003-02-24,VRM03,15100,15300,14920,15100,695,69648,149266
2003-02-25,VRM03,15130,15200,14645,14750,-350,327218,144518
2003-02-26,VRM03,14450,14990,14020,14635,-115,125374,149556
2003-02-27,VRM03,14810,14900,14650,14765,130,137280,148672
2003-02-28,VRM03,14750,14890,14700,14810,45,105510,152794
2003-03-03,VRM03,14840,14880,14365,14725,-85,215888,151310
2003-03-04,VRM03,14060,14620,14050,14425,-300,202836,148896
2003-03-05,VRM03,14510,14640,14000,14370,-55,93614,151446
2003-03-06,VRM03,14700,14800,14425,14570,200,198200,149372
2003-03-07,VRM03,14995,15130,14680,14915,345,78080,151922
2003-03-10,VRM03,14465,14695,14465,14530,-385,220338,162666
2003-03-11,VRM03,14415,14830,14255,14610,80,211440,178412
2003-03-12,VRM03,14570,15045,14520,14820,210,250384,192670
2003-03-13,VRM03,15075,15260,14980,15185,365,280516,204114
2003-03-14,VRM03,15255,15610,15060,15345,160,202246,217034
2003-03-17,VRM03,15540,15695,15455,15590,245,241714,221208
2003-03-18,VRM03,15655,15660,15130,15465,-125,161860,226096
2003-03-19,VRM03,15400,15545,15360,15470,5,241664,236662
2003-03-20,VRM03,15430,15495,15005,15300,-170,176422,235046
2003-03-21,VRM03,15320,15410,15260,15350,50,118432,235376
2003-03-24,VRM03,15405,15550,15405,15485,135,262538,246712
2003-03-25,VRM03,15590,15880,15475,15735,250,234692,262626
2003-03-26,VRM03,15580,15690,15350,15560,-175,203278,261236
2003-03-27,VRM03,15655,15735,15620,15675,115,227404,273138
2003-03-28,VRM03,15600,15680,15420,15565,-110,358206,274520
2003-03-31,VRM03,15405,15550,15095,15350,-215,280866,291410
2003-04-01,VRN03,14030,14280,13990,14160,-1190,407040,296624
2003-04-02,VRN03,14050,14410,13740,14105,-55,284864,317864
2003-04-03,VRN03,14430,14515,14270,14385,280,111002,309300
2003-04-04,VRN03,14300,14300,13950,14075,-310,371236,306068
