"Symbol: VPV20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2009-03-27,VPU09,3550,3663,3513,3577,0,145888,49728
2009-03-30,VPU09,3550,3580,3528,3548,-29,71002,45918
2009-03-31,VPU09,3538,3566,3531,3549,1,28388,43236
2009-04-01,VPU09,3560,3561,3543,3549,0,236480,70388
2009-04-02,VPU09,3545,3548,3456,3481,-68,153874,77068
2009-04-03,VPU09,3481,3481,3436,3456,-25,243464,102722
2009-04-07,VPU09,3410,3518,3410,3482,26,147714,94146
2009-04-08,VPU09,3480,3491,3456,3469,-13,88100,97168
2009-04-09,VPU09,3476,3486,3460,3472,3,121774,102686
2009-04-10,VPU09,3483,3499,3470,3485,13,110892,112270
2009-04-13,VPU09,3485,3493,3464,3481,-4,541858,153526
2009-04-14,VPU09,3475,3600,3469,3558,77,256590,154898
2009-04-15,VPU09,3570,3590,3550,3566,8,251234,172990
2009-04-16,VPU09,3582,3628,3570,3597,31,340950,223986
2009-04-17,VPU09,3594,3648,3581,3622,25,260904,242662
2009-04-20,VPU09,3620,3648,3608,3632,10,333156,244330
2009-04-21,VPU09,3580,3590,3486,3539,-93,169038,237870
2009-04-22,VPU09,3550,3566,3508,3536,-3,131110,238052
2009-04-23,VPU09,3529,3531,3488,3507,-29,102004,251366
2009-04-24,VPU09,3513,3522,3497,3506,-1,102958,259882
2009-04-27,VPU09,3510,3520,3492,3505,-1,97352,268106
2009-04-28,VPU09,3496,3515,3496,3507,2,102924,280628
2009-04-29,VPU09,3507,3520,3503,3511,4,249142,304374
2009-04-30,VPU09,3536,3575,3523,3543,32,575670,333112
2009-05-04,VPU09,3573,3660,3571,3624,81,176798,317136
2009-05-05,VPU09,3636,3644,3570,3588,-36,104310,320716
2009-05-06,VPU09,3578,3598,3573,3591,3,151292,326604
2009-05-07,VPU09,3628,3630,3591,3608,17,104146,330660
2009-05-08,VPU09,3599,3616,3589,3602,-6,337180,346724
2009-05-11,VPU09,3615,3678,3606,3649,47,194050,347022
2009-05-12,VPU09,3645,3660,3630,3647,-2,119000,348088
2009-05-13,VPU09,3655,3657,3634,3646,-1,140800,343940
2009-05-14,VPU09,3616,3620,3590,3598,-48,132894,345766
2009-05-15,VPU09,3600,3618,3596,3606,8,105328,344404
2009-05-18,VPU09,3595,3612,3581,3596,-10,95996,343220
2009-05-19,VPU09,3630,3630,3611,3617,21,119384,345506
2009-05-20,VPU09,3616,3644,3612,3624,7,118058,349972
2009-05-21,VPU09,3620,3642,3618,3629,5,60846,348174
2009-05-22,VPU09,3619,3627,3608,3617,-12,96118,361360
2009-05-25,VPU09,3629,3629,3600,3607,-10,114466,351202
2009-05-26,VPU09,3609,3620,3596,3606,-1,46624,344940
2009-05-27,VPU09,3628,3628,3606,3610,4,194440,354262
2009-06-01,VPU09,3630,3657,3622,3643,33,200640,352100
2009-06-02,VPU09,3660,3682,3652,3663,20,105942,353088
2009-06-03,VPU09,3659,3672,3656,3665,2,371940,372872
2009-06-04,VPU09,3650,3712,3645,3693,28,269288,354748
2009-06-05,VPU09,3721,3778,3720,3754,61,295768,358158
2009-06-08,VPU09,3755,3793,3747,3770,16,216332,354894
2009-06-09,VPU09,3797,3807,3768,3782,12,240044,359942
2009-06-10,VPU09,3792,3813,3774,3797,15,638952,390384
2009-06-11,VPU09,3810,3940,3807,3869,72,593530,368156
2009-06-12,VPU09,3888,3928,3835,3893,24,370066,359880
2009-06-15,VPU09,3855,3877,3823,3850,-43,363330,358108
2009-06-16,VPU09,3829,3882,3828,3864,14,219252,355684
2009-06-17,VPU09,3861,3878,3841,3857,-7,194002,346052
2009-06-18,VPU09,3852,3865,3830,3845,-12,567686,374264
2009-06-19,VPU09,3852,3920,3846,3891,46,506902,384702
2009-06-22,VPU09,3908,3936,3900,3917,26,503470,393540
2009-06-23,VPU09,3898,3900,3835,3868,-49,287118,403700
2009-06-24,VPU09,3888,3897,3858,3874,6,287590,409052
2009-06-25,VPU09,3862,3888,3858,3871,-3,380966,433620
2009-06-26,VPU09,3870,3887,3846,3860,-11,293528,408706
2009-06-29,VPU09,3846,3853,3823,3838,-22,218656,402508
2009-06-30,VPU09,3832,3840,3817,3828,-10,231074,435736
2009-07-01,VPU09,3826,3845,3820,3835,7,317248,465560
2009-07-02,VPU09,3856,3878,3845,3864,29,293702,454390
2009-07-03,VPU09,3867,3883,3858,3869,5,172134,462272
2009-07-06,VPU09,3858,3874,3855,3866,-3,140088,465448
2009-07-07,VPU09,3876,3880,3864,3869,3,160412,449212
2009-07-08,VPU09,3861,3870,3837,3851,-18,113150,444678
2009-07-09,VPV09,3840,3871,3839,3855,4,311404,466222
2009-07-10,VPV09,3876,3912,3876,3895,40,271126,465118
2009-07-13,VPV09,3911,3933,3906,3921,26,200484,467118
2009-07-14,VPV09,3932,3937,3916,3926,5,419780,518906
2009-07-15,VPV09,3936,4005,3935,3974,48,451608,536138
