"Symbol: VGU20",,,,,,,"Study: VOL",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
2007-05-23,VGN07,30110,30350,29920,30130,0,61948,30428
2007-05-25,VGN07,29310,29880,29310,29800,-330,2336,28920
2007-05-28,VGN07,30650,30650,30650,30650,850,64832,29672
2007-05-29,VGN07,31200,31200,30120,30245,-405,76866,28308
2007-05-30,VGN07,30200,30655,30005,30125,-120,55730,30142
2007-05-31,VGN07,30365,30780,30295,30705,580,57082,29830
2007-06-01,VGN07,31010,31095,30490,30685,-20,43406,30044
2007-06-04,VGQ07,30900,30965,30400,30400,-285,56942,31628
2007-06-05,VGQ07,30980,31010,30730,30905,505,35208,30152
2007-06-06,VGQ07,30600,30850,30535,30675,-230,43598,28392
2007-06-07,VGQ07,30300,30485,30010,30140,-535,35160,28068
2007-06-08,VGQ07,30100,30250,29780,29925,-215,52628,30918
2007-06-11,VGQ07,30010,30280,29730,30270,345,37382,28776
2007-06-12,VGQ07,30490,30530,29960,29980,-290,21938,27516
2007-06-13,VGQ07,29900,30050,29780,29955,-25,18912,28816
2007-06-14,VGQ07,30010,30045,29730,29830,-125,50698,27520
2007-06-15,VGQ07,29850,29900,28820,29220,-610,51534,28270
2007-06-18,VGQ07,29080,29360,28785,29050,-170,38768,27894
2007-06-19,VGQ07,28980,28980,28615,28790,-260,40074,27854
2007-06-20,VGQ07,28610,29050,28580,28835,45,24042,27264
2007-06-21,VGQ07,28805,28880,28680,28780,-55,45980,29558
2007-06-22,VGQ07,28480,28490,28110,28220,-560,63402,35086
2007-06-25,VGQ07,28205,28220,27090,27540,-680,113528,36506
2007-06-26,VGQ07,27270,27290,26445,26690,-850,48934,38054
2007-06-27,VGU07,26000,26000,25625,25700,-990,207860,41804
2007-06-28,VGU07,25410,26620,25410,26175,475,267496,42876
2007-06-29,VGU07,26565,27015,25850,26500,325,174114,42494
2007-07-02,VGU07,26415,26750,26165,26480,-20,123882,40806
2007-07-03,VGU07,27100,27535,27000,27235,755,193778,45724
